id,created_at,text
985137266233368576,2018-04-14 12:46:41,RT @NBA: #NBAPlayoffs #NBAPlayoffs #NBAPlayoffs #NBAPlayoffs #NBAPlayoffs #NBAPlayoffs #NBAPlayoffs #NBAPlayoffs #NBAPlayoffs #NBAPlayoffs…
983806836448137216,2018-04-10 20:40:02, and Man City lost as well. https://t.co/cto1CzJpMu
983156595717820416,2018-04-09 01:36:13,Thank you Bob! https://t.co/sQUqaEe0m8
980284533387005952,2018-04-01 03:23:40,Yes!  https://t.co/kcirgdPwps
979023862502375425,2018-03-28 15:54:12,"RT @espn: In 2002, Vladimir Guerrero Jr. raised his helmet alongside his father.

Last night, he hit a walk-off HR in that same stadium, we…"
978688549485719552,2018-03-27 17:41:48,Gracias por el apoyo! Robinson y Manny!!! ☘️#Celtics https://t.co/AtZeYs5hb2
978687674805452801,2018-03-27 17:38:19,The most important team in my life is my family.  Happy to be part of this year’s Lean In Campaign.  … https://t.co/OWwhTwiJrD
976974000235593728,2018-03-23 00:08:47,Congrats Walt! @waltermccarty Best of luck with this new journey!
975211947477086209,2018-03-18 03:27:01,RT @FloridaGators: Current mood: https://t.co/GRAQgCJ1MF
975184310918672384,2018-03-18 01:37:12,Tremenda carrera! https://t.co/dAFMCx5cor
975033262266515457,2018-03-17 15:36:59,Get the W Gators!!  https://t.co/va6Cg6Se4z
974849660912357376,2018-03-17 03:27:25,UMBC! I picked the upset ...  #underdog #MarchMadness2018
974849459434741761,2018-03-17 03:26:37,Después del juego con uno de los grandes!!! Alfonso Soriano. https://t.co/bDjRGT5TA4
971973351982841857,2018-03-09 04:58:00,We are in. Go Celtics! https://t.co/KD49QLgrPt
971054486071468032,2018-03-06 16:06:45,Grateful to be a part of the NBA family. https://t.co/rUbTYC1FqL
971053742790463488,2018-03-06 16:03:48,Check out my interview on #HorfordHappyHour with Anna and Josh https://t.co/2zXzgQA1BS
965350199081058304,2018-02-18 22:19:57,https://t.co/my3ZPCTetK
965349282499866625,2018-02-18 22:16:18,Siempre dando las Gracias a Dios. Cumpliendo sus promesas! ☘️ https://t.co/Bv3kyvq4NG
965346179474112513,2018-02-18 22:03:59,#ad #StateFarmSaturday is in the books!  Now it's almost gametime! #NBAAllStar
965044900533215233,2018-02-18 02:06:48,#ad You can’t miss this… Change the channel to TNT now!  #StateFarmSaturday #NBAAllStar
965015505818894336,2018-02-18 00:10:00,#ad Coming right up!  #StateFarmSaturday is underway on TNT.  Tune in now!
964995446505525248,2018-02-17 22:50:17,RT @celtics: #AlHorford all smiles heading into practice https://t.co/lOuclidEik
964995188606214144,2018-02-17 22:49:16,RT @NBAAllStar:  @Al_Horford’s #NBAAllStar #NBAKicks  https://t.co/LdvZOqJe88
964724884956786688,2018-02-17 04:55:10,"RT @NBA: Poetry in motion...Jaylen Brown goes between his legs for the jam!

#PhantomCam #KickstartRisingStars https://t.co/MuA7wJIFAL"
964686784876527616,2018-02-17 02:23:47,I’m sitting courtside with @marriottrewards members at #NBAAllStar. Check out what experiences you can redeem point… https://t.co/ayfto3lNHy
964268311574794240,2018-02-15 22:40:55,#ad Almost time for another #StateFarmSaturday.  Are you ready?  Don’t forget to check it out on 2/17 at 5pm PT!
961998088289255424,2018-02-09 16:19:51,#ad Ready to bring it for #StateFarmSaturday.  Watch all the action on 2/17 at 5pm PT on TNT.
961650640022921216,2018-02-08 17:19:13,Go Gators! https://t.co/cejyX314TV
960160471704854528,2018-02-04 14:37:50,Gameday! Love these #SBLII headphones from @Bose. Doubleheader for Boston - @celtics @patriots. Let’s Go! #NotDone… https://t.co/mu5cRNPI3K
959642553481072641,2018-02-03 04:19:48,Proud of the groups performance tonight!!! ☘️☘️☘️☘️☘️ Go Celtics! https://t.co/decoD4cXCW
958214185241935872,2018-01-30 05:43:59,Great way to finish the road trip. Celtics fans showed up tonight!! The support was awesome. Go Celtics! #Celtics
955969462837981184,2018-01-24 01:04:15,"Thanks to my Family, teammates, Coaches, and all the fans for the support. Go Celtics!"
955968099831857152,2018-01-24 00:58:50,"Humbled, Blessed and Grateful for the All-Star selection. Bendecido y muy agradecido por la selección al juego de e… https://t.co/zXsiTuqrhQ"
951424624570654720,2018-01-11 12:04:41,"RT @celtics: TODAY  #Celtics vs @sixers in London 
@TheO2 
⏰ 3:00 p.m.
 https://t.co/B1lvM9HPcY 
 @NBCSBoston &amp; @NBATV 
@985TheSports…"
949744298953789440,2018-01-06 20:47:40,"RT @GatorsMBK: 🧀🧀 with the walkoff steal and layup at the other end at the buzzer

:00
#Gators 77, Mizzou 75 https://t.co/95xGNDoRRX"
949511629422678016,2018-01-06 05:23:08,@JoshHorford 
948016325976317957,2018-01-02 02:21:20,What a game Georgia Oklahoma! #RoseBowl #Classic
948016116231753729,2018-01-02 02:20:30,"RT @celtics: Al Horford’s New Year’s resolution: no easy layups

1 retweet = 1 #NBAVote https://t.co/CPY589U558"
