id,created_at,text
985947904945700864,2018-04-16 18:27:53,I also put in my work by introducing #statacademy to Harvard University. Thanks John Frankel from @HBO for being a… https://t.co/VORZVM2gtf
985947902265540608,2018-04-16 18:27:52,Amazing opportunity to visit the beautiful campus of @harvard. Great times and a beautiful experience at The Israel… https://t.co/xI8AadYjNC
983969724080979968,2018-04-11 07:27:18,I've done all the research &amp; showed proof that we African Americans are from the ancient tribes of Israel. Believe… https://t.co/eoYuaPzkII
983969159208980480,2018-04-11 07:25:03,"You know you made it, when your online college course reaches students at @Harvard  #Statacademy… https://t.co/qz8xm7A3nE"
983472779566682113,2018-04-09 22:32:37,"RT @Sothebys: Earlier this year, Sotheby’s joined former NBA star @Amareisreal as he spoke with photographer LaToya Ruby Frazier on the occ…"
981247983982440448,2018-04-03 19:12:04,"#WinterAlexandriaMiller Thank u for this amazing painting. ""I see u did your research"" (Zoom in ) Fly work!!… https://t.co/oitMXFvbuy"
980923112991666178,2018-04-02 21:41:09,#georgecondo  #themelechcollection https://t.co/UqmQouts6e
978337536643760129,2018-03-26 18:27:00,Is it Cinco de Mayo yet? Congratulations @CenoteTequila! #tequilawithasoul https://t.co/9k6VftuWDD
975917663917690880,2018-03-20 02:11:17,@kevinmccabecbs Love u man. My guy
975832370355032064,2018-03-19 20:32:21,https://t.co/4TcsHtHTIq
974700991961591808,2018-03-16 17:36:40,"RT @IsraelinMiami: Live with @Amareisreal and #Stoudemire wines at @setaimiami with @IsraelinMiami, @LiorHaiat, &amp; @GuyGilady.  #repost:…"
974700588964466688,2018-03-16 17:35:04,"RT @IsraelinMiami: @Amareisreal talks to #Miami elected officials, media, influencers, and locals about his new signature #Israeli wine. ht…"
969781604959703040,2018-03-03 03:48:46,"RT @FOXSPORTSAZ: .@Amareisreal is a busy man these days — wine company, art curator, @thebig3 — so he enjoyed some old highlights and seein…"
968990701693288448,2018-02-28 23:26:00,"RT @Suns: Going against one of the best players in the NBA, @Amareisreal averaged 37 points, 9.8 rebounds and 1.6 blocks in the 2005 Wester…"
968977565154123776,2018-02-28 22:33:48,Chill with my guy @BIGKRIT in ATL. https://t.co/Lb8MxTTppG
966444225452584960,2018-02-21 22:47:13,Excited to introduce the World  to The Stoudemire Wines Collection!! I won’t be taking any baths in this fine wine… https://t.co/k8Z0o6DG4j
964251540704739328,2018-02-15 21:34:16,RT @Sothebys: Join us #LIVE on Facebook at 4:30pm EST / 1:30pm PST as we kick-off @NBAAllStar Weekend with @Amareisreal and our very own Er…
963916626277023744,2018-02-14 23:23:27,RT @Sothebys: We’re kicking off @NBAAllStar Weekend in #LA with @Amareisreal and our very own Eric Shiner. Join us #LIVE tomorrow on Facebo…
959480675681234944,2018-02-02 17:36:34,"Stopped by #sport_5 for the All -Star special segment in Tel Aviv, Israel. Great times !! https://t.co/oOXxGRfDwE"
948331539183517696,2018-01-02 23:13:52,"Snowboarding  for the fellas, skiing  for the ladies. The best way to start 2018 !! Can't wait to watch my boy… https://t.co/OVIjr3XEsf"
945064215932387329,2017-12-24 22:50:42,Sick work right here. @Jonni_Cheatwood love it. #TheKingCollection #Themelechcollection #shabbatshalom https://t.co/ERIgJXQpEB
