id,created_at,text
983610173272018944,2018-04-10 07:38:34,"RT @memgrizz: Strong showing tonight from @BenMcLemore who got the start in Minny

#TrophyGame https://t.co/Ysjbih7TNh"
980144118071361536,2018-03-31 18:05:42,GameDay!!!! #RockChalk https://t.co/OtTQeR8Mej
978787622758899713,2018-03-28 00:15:28,It’s coming back https://t.co/8uXJeIcNwo
978056058865270785,2018-03-25 23:48:30,All I have to say is... KUCMB!! #FinalFour Let’s get it!!!!  #RockChalk
966924056699191296,2018-02-23 06:33:54,RT @LoQuinn_11: Thanks B. I appreciate you my friend. God bless you https://t.co/gpCenbirJY
966922768750018560,2018-02-23 06:28:47,"Praying for my friend Logan’s mother to beat cancer . If you can, any small or large donation will help: https://t.co/t5MTHyO6EY"
962163878011527171,2018-02-10 03:18:39,RT @Brotherhood05: I’ve always embraced the challenge of helping players take their game to another level. Everything is a process but @Ben…
962163235901362176,2018-02-10 03:16:06,RT @lildurk: Stop screaming free a nigga if y’all ain’t doing nun for his kids or him #ONGOD
957108877539102720,2018-01-27 04:31:53,Prayers up to my brother @boogiecousins 
954769564939808768,2018-01-20 17:36:17,RT @SLAMonline: Ben McLemore’s fit  https://t.co/duWcPAeicb
951355324824477696,2018-01-11 07:29:19,You can never QUESTION my Work Ethic!!! #HardWorkGonePayOff #UNLEASHED
941490092971057152,2017-12-15 02:08:24,Happy Holidays https://t.co/7licvI2lzB
941084222667853826,2017-12-13 23:15:37,RT @uninterrupted: .@BenMcLemore has his game plan ready to face @JohnWall &amp; the Wiz. #GrindCity https://t.co/huNnaooJo5
941017317529530369,2017-12-13 18:49:46,"In order to be GREAT you gotta have a WHY!!!!! What's my WHY??? ""Making sure my DAUGHTER don't want for nothing"". ""… https://t.co/vuh0zs43hu"
939255113050460160,2017-12-08 22:07:24,"Great talk with my big bro. ""Go Hard or Go Home"" #GameDay #FreePlatinumFriday"
936277323783065601,2017-11-30 16:54:43,Locked in. #NuffSaid https://t.co/UUlzQ17vuZ
933751352781656064,2017-11-23 17:37:25,RT @uninterrupted: .@BenMcLemore counts his many blessings of family &amp; hoops on #Thanksgiving. #PutYouOn https://t.co/pCKpawGfsM
933440638984638464,2017-11-22 21:02:45,Gameday MOOD https://t.co/FelKwQIIIL
930873482849738752,2017-11-15 19:01:47,RT @uninterrupted: “Obviously the better team came out with the W.” @BenMcLemore S/O @Devonte_Graham4 after the @KUHoops big victory. #KUbb…
930662941766115329,2017-11-15 05:05:10,GAME TIME!!!!! #RCJH #BeatUK #KUBB
930662342291058688,2017-11-15 05:02:47,Close it out @Devonte_Graham4
930659775146274816,2017-11-15 04:52:35,Ok @Devonte_Graham4 It's Go Time Now!!!!!
930647396454977536,2017-11-15 04:03:24,ROCK CHALK JAYHAWK!!!!!
928841724339900416,2017-11-10 04:28:18,"RT @memgrizz: “I’m ready.” 

@BenMcLemore speaks to the media after practice today: https://t.co/knltTXLJGM"
927709342916403201,2017-11-07 01:28:38,"""Can't listen to no rumors cause it block my mind
Can't feed into that bullshit ain't got the time"" @lildurk #STS2.5"
926932010970636295,2017-11-04 21:59:47,Great Win Fellas!!!!! Way to bounce back. #GrindCity
925539457436176384,2017-11-01 01:46:17,RT @uninterrupted: Can we start a petition to give @BenMcLemore the best homemade #Halloween costume award?  https://t.co/9OCyXwoFkO
917884025330655232,2017-10-10 22:46:19,RT @memgrizz: .@BenMcLemore making progress  https://t.co/MIULagHsgg
917744669349568512,2017-10-10 13:32:34,"@Roto_Wan First of all that's not me Pimp and Second of all never would be shook, so try someone else Pimp."
915763258916777984,2017-10-05 02:19:09,M Y  F E E T https://t.co/iw1EHjBGen
914397475372437504,2017-10-01 07:52:01,"RT @KUHoops: This is how @BenMcLemore says #RockChalk.

#KULateNight https://t.co/x93j6oZKBS"
914162177661128705,2017-09-30 16:17:02,RT @memgrizz: Student of the game.  #GrizzCamp https://t.co/whCPGtKDKf
908482936714010630,2017-09-15 00:09:45, https://t.co/M3VA7EDtvI
906202956428660736,2017-09-08 17:09:55,RT @uninterrupted: “I’m excited with the process.” — @BenMcLemore gives an update on his rehab status. https://t.co/5J6smNwf8T
905946992387518468,2017-09-08 00:12:49,"RT @KUHoops: ""I appreciate everything; how you helped me grow as a person, a man and a basketball player.""
-Ben McLemore (KU, 2012-13)

#Bi…"
905201800768311296,2017-09-05 22:51:41,"""THE POSSESSION OF ANYTHING BEGINS IN THE MIND"" -Bruce Lee"
902767531131363330,2017-08-30 05:38:46,Still waiting for my challenge..... @kobebryant
902701456251289601,2017-08-30 01:16:13,"RT @memgrizz: ""I can't wait to get back on the court"" 

@alexiskmorgan goes 1-on-1 with  @BenMcLemore: 
https://t.co/v6SkysYpNF https://t.c…"
902679202083868672,2017-08-29 23:47:47,RT @memgrizz: .@BenMcLemore  https://t.co/BpQsUQMzVl
899360503406972928,2017-08-20 20:00:27,RT @uninterrupted: Promising signs for @BenMcLemore after first week of rehab.  #GrindCity https://t.co/bWfAA8wgDN
898294851258781697,2017-08-17 21:25:56,Tuff  https://t.co/bqjdhB6AYP
898294170795855875,2017-08-17 21:23:14,"RT @memgrizz: .@BenMcLemore putting that work in!  

(b_mclemore23 / IG) https://t.co/0WGl020yf8"
896794709733068800,2017-08-13 18:04:55,"Foot feeling better, looking great and Rehab is going perfect. Coming back better and stronger. #TrustTheProcess #MemphisGang"
896096307592404993,2017-08-11 19:49:43,RT @uninterrupted: .@benmclemore touches down in Memphis. First day of rehab: complete. ✔️ https://t.co/68LuZBGjXP
893558639918628865,2017-08-04 19:45:55,"RT @NBA2K: Get your 1st look at the newest member of the @memgrizz family, @BenMcLemore in #NBA2K18! #2KFirstLook https://t.co/Y7FTWgnc1y"
891791316882993152,2017-07-30 22:43:13,RT @uninterrupted: #SundayFunday with @BenMcLemore &amp; the fam at @Disneyland. https://t.co/iJE1Yl0eD7
883856181940428800,2017-07-09 01:11:49,RT @BALLisLIFEeast: NEW NBA Player Gets Call of Lifetime from @RichPaul4 | @BenMcLemore Emotional Reaction to Joining @Memgrizz (VIDEO) htt…
883399961798258689,2017-07-07 18:58:58,RT @Zer0McLemore0: U N L E A S H E D  #GRIZZGANG @BenMcLemore @memgrizz #NewChapter https://t.co/wYH8VOtGqK
883399058064236550,2017-07-07 18:55:22,@Kings_6thMan Thank you.
883380500857008128,2017-07-07 17:41:38,"RT @memgrizz: .@BenMcLemore is the newest member of the Grizz family! 
https://t.co/zjwMIzbfdQ https://t.co/ZQLtCbyF2E"
882423625831370754,2017-07-05 02:19:21,"RT @uninterrupted: BBQ, the lake and some quality family time make up the perfect #4thofJuly for @BenMcLemore. https://t.co/XRc6YWmh8M"
879397471708786688,2017-06-26 17:54:30,"Week 3, Day 1 #GrindMode"
878299638213824512,2017-06-23 17:12:06,RT @uninterrupted: Late night jams will always be in @BenMcLemore’s memories from the #NBADraft.  https://t.co/ZZiP6DR6L6
877936261507334144,2017-06-22 17:08:10,"Week 2, Day 3 #GrindMode"
876892588304875520,2017-06-19 20:00:59,"New day, New Opportunity 
Week 2, Day 1 #GrindMode"
875424827443601408,2017-06-15 18:48:38,Day 3 #GrindMode
875074737709252608,2017-06-14 19:37:30,Day 2 #GrindMode
874777175249092608,2017-06-13 23:55:05,"Come out and kick it tomorrow! @adidashoops. #CrazyExplosive , 4-6 pm https://t.co/fOUOs579Fw"
874685722334175232,2017-06-13 17:51:41,Day 1 #GrindMode
873283298839076864,2017-06-09 20:58:57,"RT @MattGKSNT: Highlights from the 2017 @RCRClassic! Former #kubball stars put on a show: @BenMcLemore, @PElliz, @mchalmers15, @JeffWithey,…"
872952807736922118,2017-06-08 23:05:42,"@RCRClassic today I'm so excited, can't wait to see everyone #RockChalkJayhawk"
872438623135596545,2017-06-07 13:02:31,"On the move again, next ✈️ Kansas"
867844686773272579,2017-05-25 20:47:51,RT @THEROYALBARBER_: Last night late night special @BenMcLemore one of the humblest ppl I've met  https://t.co/pyRqq2dqRd
865618424579334144,2017-05-19 17:21:29,#FreePlatinumFriday
862115423818440704,2017-05-10 01:21:49,You gotta understand the lifestyle!!!!! https://t.co/oo9fERjdEt
861710388030844930,2017-05-08 22:32:20,Instagram contest!! Click link for rules https://t.co/HcKzTyuht7 https://t.co/LNrbVLxK1x
856905569747124224,2017-04-25 16:19:43,"Confidence- confidence is not saying that I hope people like me, CONFIDENCE IS SAYING IM OK IF THEY DONT LIKE ME. -@LoniLove Love It!!!!!"
849710942447206402,2017-04-05 19:50:50,RT @SacramentoKings: .@BenMcLemore drops 21 points in the 2nd half on 5-of-5 from distance  https://t.co/t3oXmBjI7r
848277594999009280,2017-04-01 20:55:13,Congrats to the GOAT @CoachBillSelf #HallOfFame #RockChalkJayhawk
845432916683325440,2017-03-25 00:31:29,"I notice everybody love you when you got something to give, but what if I ain't have it would you still be my real? If I didn't have to give"
845122765271195651,2017-03-24 03:59:03,@Bobby9Nichols @FrankMason0 m'yeah
845115882405703681,2017-03-24 03:31:42,"Rock Chalk Jayhawk 
#MovingOn"
844383002046050304,2017-03-22 02:59:30,RT @CSNKings: A behind the scenes view as @BenMcLemore walks @kayte_c  through his pregame shooting routine https://t.co/hfYGaXRPd1
843934813551710208,2017-03-20 21:18:33,Welcome Teagan!!! https://t.co/iXofXXTvQm
843881763130683392,2017-03-20 17:47:45,How the Jayhawks still feeling heading to KC for the #SWEET16 https://t.co/vWG3Hwh9Ye
842901918863126528,2017-03-18 00:54:12,KU on to the next one.
842901409678815234,2017-03-18 00:52:11,@T_Self11 for 3 
842556269093240832,2017-03-17 02:00:43,RT @uninterrupted: .@BenMcLemore is going all day with his alma mater @KUHoops to win the #NationalChampionship. #MarchMadness https://t.co…
842520476760989696,2017-03-16 23:38:29,Everyone go vote!!! @IIGonZ_ https://t.co/ymoEUkFa63
841723261285150721,2017-03-14 18:50:38,314 Day!!!!!
841723102761385984,2017-03-14 18:50:00,RT @SacramentoKings: Back-to-back pull-ups from for @BenMcLemore https://t.co/rmcD6GbHnh
839303373396578305,2017-03-08 02:34:52,I'm literally watching Get Out right now and was the sister brother about to put him in a choke hold? 
837442997239193601,2017-03-02 23:22:24,"#snake97 Score 
Best game from the 90's go check it out and send me your high scores.  https://t.co/0feIcYVgb4 https://t.co/KDX7Tj0T5a"
837023915599790081,2017-03-01 19:37:07,@BriCoffman12 yeah I saw this lol they really did.
835008846330388480,2017-02-24 06:09:57,RT @1future: #HNDRXX https://t.co/nkRxg20D6e
