id,created_at,text
987412880780738560,2018-04-20 19:29:10,"RT @espn: DeMar DeRozan and Kyle Lowry grace the cover of ESPN The Magazine's Month of Mayhem issue, on newsstands April 27. https://t.co/G…"
983753046638383104,2018-04-10 17:06:18,You never know who your competition is on @PlayStation https://t.co/QW399GUZgD Stay tuned to @Raptors to see how it… https://t.co/xVqPSifq4g
983752727049195520,2018-04-10 17:05:02,"If you want to be a pro, you gotta play like a pro. #PS4Pro #PlayStation @PlayStationCA #Sponsored .… https://t.co/LAgTShbyzR"
981988572730277889,2018-04-05 20:14:54,"If you want to be a pro, you gotta play like a pro. #PS4Pro #PlayStation @PlayStationCA #sponsored https://t.co/QW399HcA8b"
981988218055802880,2018-04-05 20:13:30,https://t.co/jANb5GKIiV
981762530526691328,2018-04-05 05:16:42,"RT @NickDePaula: DeMar DeRozan is debuting his Kobe 1 Protro PE tonight on @ESPN.

Caught up with the #Raptors All-Star &amp; LA native on what…"
981762490659819520,2018-04-05 05:16:32,"RT @nicekicks: .@demar_derozan in his Kobe 1 Protro PE tonight in Toronto. #KicksOnCourt

#NiceKicks  _kishanmistry / N/A https://t.co/Dvr…"
980991699194347520,2018-04-03 02:13:41,https://t.co/0qOhhJltMB
980866589615632385,2018-04-02 17:56:33,@TheRock 
980599709789237248,2018-04-02 00:16:04,Yoooo @Arike_O cold blooded!!!
979127570745638912,2018-03-28 22:46:18,Congratulations to the top performers in the #SunLifeDunkForDiabetes Winter Session! I am so proud and impressed by… https://t.co/egGHaAOalF
976965844449222661,2018-03-22 23:36:23,https://t.co/ZWiI5LJyWG
976965645647491072,2018-03-22 23:35:35,Heading into the weekend like...  #madebygoogle @MadeByGoogle https://t.co/Hlg9d8RaKS
976495791312285696,2018-03-21 16:28:33,"Lupus Remission – what is it? My family often asks this question. To learn more, check out @LupusCanada’s edition o… https://t.co/58KFQSFu1w"
976491770065244160,2018-03-21 16:12:34,"RT @SLAMonline: Don't . DeMar DeRozan and the @Raptors are for real.

@DeMar_DeRozan covers SLAM 215: https://t.co/pDrwI6JW02 https://t.co…"
976491741908942848,2018-03-21 16:12:28,Shoutout to @SLAMonline for the love. https://t.co/BzcztTCbmF
974074737113620480,2018-03-15 00:08:09,For a chance to win one of my limited edition player created hats (via a @LupusCanada drawing) all you need to do i… https://t.co/R0xLT1ui1L
972687332435480576,2018-03-11 04:15:06,@Cartwright_2014 love bro. Way to do yo thing.
971426505128644614,2018-03-07 16:45:01,Much respect to @kevinlove!!!!
970690477920931840,2018-03-05 16:00:19,Product of Compton. Great role model for young women across the world. #UntilWeAllWin https://t.co/Bkiqdb4yQC
966071670980005888,2018-02-20 22:06:49,"RT @Raptors: Family Over Everything. 

Happy #FamilyDay, T.O. https://t.co/YYQN3Vl42W"
965497349266026497,2018-02-19 08:04:40,RT @UNDEFEATEDinc: Ok ok ok ... @DeMar_DeRozan in his UNDEFEATED x Nike Zoom Kobe 1 Protro PE mismatched with the released Camo https://t.c…
965281644998373376,2018-02-18 17:47:32,At the @Spalding #SpaldingBackcourt space with @Dame_Lillard yesterday. #NBAAllStar https://t.co/63boyDUDd7
965008874007752705,2018-02-17 23:43:39,"RT @Spalding: In the end it was #DameTime. @Dame_Lillard for the win 
#NBAAllStar #SpaldingBackcourt https://t.co/XqZXnYcc9E"
965008863303839744,2018-02-17 23:43:36,RT @Spalding: Who ya got? @Dame_Lillard and @DeMar_DeRozan battle it out in @NBA2K  #SpaldingBackcourt #NBAAllStar https://t.co/KMpRcHElbd
964938002874036224,2018-02-17 19:02:02,RT @SLAMonline: Live from Mamba League out in LA with @KevinHart4real and @DeMar_DeRozan. #MambaMentality https://t.co/3Eu6OYoL0C
964937974331748352,2018-02-17 19:01:55,RT @kustoo: #mambaleague with @KevinHart4real and @DeMar_DeRozan.  The @UNDEFEATEDinc Kobe 1 “Protro” https://t.co/VqCuEd4ffJ
964937900570828800,2018-02-17 19:01:37,I’m giving my boy @Dame_Lillard a quick lesson in mid-range on #NBA2K18 at the #SpaldingBackcourt today. Stop by or… https://t.co/ajCTSsUEZ8
964903613918138368,2018-02-17 16:45:23,RT @NBAAllStar: #NBAAllStar teammates @Klow7 and @DeMar_DeRozan help build the new playground with @kaboom at Jefferson Elementary! https:/…
964903588458782720,2018-02-17 16:45:17,RT @nbacares: #KyleLowry and #DeMarDeRozan visit the 7th grade class at Jefferson Elementary in Compton! #NBAAllStar https://t.co/ob3dGdmrh1
964903566346301440,2018-02-17 16:45:11,RT @NBAAllStar: #NBAAllStar teammates @DeMar_DeRozan and @Klow7 join class at Jefferson Elementary in Compton! #NBACares https://t.co/7BOs0…
964903535652454401,2018-02-17 16:45:04,RT @nbacares: Compton’s own @DeMar_DeRozan and @Klow7 are in Compton for our #NBAAllStar Day of Service with @kaboom! https://t.co/ZXbmvfU9…
964818383303688197,2018-02-17 11:06:42,This depression get the best of me...
964550724162998272,2018-02-16 17:23:07,"RT @USC_Hoops: Man of the people. 

Glad to have @DeMar_DeRozan in the house to support tonight!

#USCtotheNBA | #ItTakesATeam https://t.c…"
964550673114132480,2018-02-16 17:22:55,"RT @Raptors: ""People ask me what I would have done if it wasn't for basketball. I can never give a good story because I honestly don't know…"
964536236445585408,2018-02-16 16:25:33,RT @MarkKriegel: .@DeMar_DeRozan - the NBA's most egregiously undermentioned MVP candidate  - doesn't confuse his brand with his game. Comp…
962520575972319237,2018-02-11 02:56:02,"RT @Spalding: Follow us during #NBAAllStar 2018 to see action at the first #SpaldingBackcourt, featuring a panel with @CP3 discussing the #…"
962077282692104192,2018-02-09 21:34:33,"RT @Raptors: ""I never wanna be average. I never just wanna be an OK player."" - @DeMar_DeRozan

Open Gym S6E17 pres by @Bell. #OGSeasonVI

W…"
962052795460337664,2018-02-09 19:57:15,The #ISangforLupusChallenge is in full swing and gaining momentum. But more awareness is needed and #LupusCanada ne… https://t.co/4n5I9fOGTs
962051507330809856,2018-02-09 19:52:08,"RT @NickDePaula: Inside @DeMar_DeRozan’s journey to headlining @KobeBryant’s new Nike Protro series:

https://t.co/VCHQcTHhug"
962001880682582017,2018-02-09 16:34:56,"RT @NikeLA: .@kobebryant leads the way for LA as the next generation of playmakers arrive.

Respect the legacy. Invent the future. We are #…"
962001274823639040,2018-02-09 16:32:31,"RT @footlocker: #WeTheNorth

@DeMar_DeRozan's @nikebasketball Kobe A.D. PE is available at #HouseOfHoops Harlem and #HouseOfHoops Yonge Str…"
962001167864729601,2018-02-09 16:32:06,RT @DeMar_DeRozan: My new #KobeAD PE is available at the Yonge Street @footlockercad #HouseOfHoops. Let me know if you’re getting a pair. @…
961697370407763968,2018-02-08 20:24:55,"RT @footlockercad: #WeTheNorth 

@demar_derozan’s @nikebasketball Kobe A.D. PE arrives at #HouseOfHoops 247 Yonge Street, #Toronto tomorrow…"
961697360093970432,2018-02-08 20:24:52,My new #KobeAD PE is available at the Yonge Street @footlockercad #HouseOfHoops. Let me know if you’re getting a pa… https://t.co/9QZqe5Acem
960583995162578949,2018-02-05 18:40:45,"This week we take #SunLifeDunkforDiabetes across Canada, with 600 more kids at @BGCC learning about the importance… https://t.co/I2J44D8a2j"
959696757515956224,2018-02-03 07:55:11,@joshhart I am the plug lol
958788396075405312,2018-01-31 19:45:41,This one hurts. Lost a good dude. Learn a lot from a humble individual. Rest easy to you and your wife! #RasualButler
956959523129901056,2018-01-26 18:38:24,RT @NBAAllStar: #TeamStephen as drafted by @StephenCurry30 for #NBAAllStar 2018! https://t.co/xOMfF2tGsi
954140686697168896,2018-01-18 23:57:21,RT @Raptors: Best fans in the world. #WeTheNorth https://t.co/QsEnJgwZsT
954140617625321472,2018-01-18 23:57:04,"RT @NBAonTNT: ""I don't know why we don't get it, but we're working towards getting that respect, for sure."" 

@DeMar_DeRozan joined the #TN…"
954135655918915584,2018-01-18 23:37:22,"RT @NBAAllStar: Making his 4th #NBAAllStar appearance... @DeMar_DeRozan of the @Raptors! 

#WeTheNorth #DeMarDeRozan https://t.co/UhThWrz4pb"
953411319381635072,2018-01-16 23:39:06,#Lupus can be a very difficult disease to diagnose. For more information check out #LupusCanada’s #LetsTalkLupus vi… https://t.co/rE1t1KkabI
953345359870382082,2018-01-16 19:17:00,"Whether it's   or  , got to beat the clock. #madebygoogle  #madebydemar #ad https://t.co/wkAZ7TIKEh"
952223639662878720,2018-01-13 16:59:41,@CMHbirney @NikeToronto @NIKEiD @nikebasketball I’m gonna wear at least one more fan design after this one. Here’s… https://t.co/MFFvX33z6c
952222972395233280,2018-01-13 16:57:02,I’m wearing another fan designed #KobeAD tonight. Shoutout to @CMHbirney for designing these for me on #NIKEiD.… https://t.co/1BMA4A6tAA
951999670468853760,2018-01-13 02:09:43,"RT @Raptors: This week on Open Gym, the team returns home to Toronto, and @DeMar_DeRozan rings in the new year w/ 52 points. #NBAVote

Full…"
951999577518850049,2018-01-13 02:09:21,"RT @CBSSportsNet: ""As long as my legs work, I'm going to figure out someway somehow to continue to get better.""

@DeMar_DeRozan explains to…"
