id,created_at,text
983906410235822081,2018-04-11 03:15:42,#happynationalsiblingday @Careless_World5 love u bro!!! https://t.co/noRrTlrnvN
981999054711386112,2018-04-05 20:56:33,So i found the original video to the trump one i posted yesterday for everyone who said FAKE.… https://t.co/vW43BtyMLt
981566501579730944,2018-04-04 16:17:45,This might be the funniest video I’ve ever seen in my life.... i was in tears 🤣 🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/yZkwgaWQPi
981252341126127622,2018-04-03 19:29:23,This episode of ballersandbrawlers we have another one of my Illini brothers @weatherford5 check… https://t.co/OvB7TNMn9L
980528962202951683,2018-04-01 19:34:56,Happy Easter  🥚 don’t worry @dmwmama and me are the only ones looking at the camera!!!… https://t.co/Kxyo0eJSzZ
978830641688178688,2018-03-28 03:06:25,This is pure comedy but murder of a poor mayfly! denaeewilliams isn’t scared of much but… https://t.co/ycBa4CHqWD
978428442189365248,2018-03-27 00:28:13,Proud to be a part of fortismma.... What sayifsaud has been able to accomplish with these… https://t.co/tclmVHGL5n
977356067628711936,2018-03-24 01:26:59,New ballersandbrawlers podcast is up now! This episode we had my brother from another mother… https://t.co/ViyiXazthC
973930062247546882,2018-03-14 14:33:16,I told @dmwmama she wouldn’t be faster than me she wasn’t even close. Check out the video of me… https://t.co/7RpgXHYfmu
973391031705141249,2018-03-13 02:51:21,"Part 2..... i don’t know what’s more funny denaeewilliams laugh or the jokes!!!! @ Park City, Utah https://t.co/Kuj5gEFoxn"
973390106986938368,2018-03-13 02:47:40,So it’s officially time to take youtube completely off the iPads. Today we were in the car and… https://t.co/CbADrB7y5X
973388077665345536,2018-03-13 02:39:37,So i think it’s official i need to up the blocker on YouTube! Bc our of nowhere in the car today… https://t.co/1VgfUwTKHK
973376999451439104,2018-03-13 01:55:35,I’m the luckiest guy in the world to be blessed with this amazing family that gets to do amazing… https://t.co/rCFUO4KiEo
972337190222012416,2018-03-10 05:03:45,"Can’t believe this lil dude is 7 years old! He definitely brings the most energy, excitement and… https://t.co/ajZg3zEmja"
971581549282983937,2018-03-08 03:01:07,When your 15 year old gets her permit and wants to drive home but is a spaz! This is what… https://t.co/r8CY7MKTmR
963913438056468480,2018-02-14 23:10:46,Happy Valentine’s Day to my Valentine for the last 18 years!!!   #loveyoubabe https://t.co/XayMq5PZOr
962099917216014337,2018-02-09 23:04:29,"A little Race Course action from Yesterday! Not my best run, arms where swinging a bit but still… https://t.co/GEXKxkY17N"
959908241714171906,2018-02-03 21:55:33,My baby denaeewilliams turned 15 today 🤦‍♂️ where did the time go? I swear i was just changing… https://t.co/R1P3THbnQA
959418567077892096,2018-02-02 13:29:46,New ballersandbrawlers episode is up at the link in the bio!!! In this episode @realocsports… https://t.co/ah50T6ESWn
956182520281911302,2018-01-24 15:10:52,Congrats on fastest human being to 30k if tho you really aren’t human! Had the honor to play… https://t.co/ozNEtWlMwj
955942135035031552,2018-01-23 23:15:40,"New Episode is up (link in bio)!!! Tune in as we talk about literally everything with comedian,… https://t.co/th6AyBfR8g"
954131257461526529,2018-01-18 23:19:53,New episode is up at the link in the bio and ITunes with NFL great @teamvic ...Tune in as we… https://t.co/psTnkvdNdM
948313314836140034,2018-01-02 22:01:27,Had my boy @the_diesel_dave from the @skyscraperlive show diesel.brothers on the… https://t.co/G1PCLQ9M7R
947713710277189632,2018-01-01 06:18:50,"Happy New Year!!!  celebrating with these two lil dudes, our girls are too cool to hang with… https://t.co/NamtzhenPm"
944634094838845441,2017-12-23 18:21:33,I’m a big fan of this weeks guest on ballersandbrawlers houstontexans QB @shaunwatson4 . Thanks… https://t.co/qjjwZeUgXp
943262167121453057,2017-12-19 23:30:00,Never been able to ski bc of my NBA contract but have always wanted 2! No contract means… https://t.co/wGMlJK5DLj
942236810264104961,2017-12-17 03:35:36,Happy Born day @MattMitnick This dude right here even tho we don’t have the same parents has… https://t.co/dVW58WcVkg
941476253818937344,2017-12-15 01:13:25,We have this class coming to fortis_mma stay tuned 🤣 🤣🤣🤣🤣🤣🤣🤣 @ Fortis MMA https://t.co/VudqJM1gl4
941385507598209025,2017-12-14 19:12:49,"#Repost ballersandbrawlers (get_repost)
・・・
ballersandbrawlers episode 18 is now up at the link… https://t.co/GuV7KR51NY"
