id,created_at,text
987434202785345536,2018-04-20 20:53:54,"#Givingback, it’s what feels right. Especially in a place I grew up in. https://t.co/fiX14kLxI7"
986755956519395329,2018-04-18 23:58:47,Season may have ended but we still putting in work!  #grind https://t.co/9YGu5Q2EIy
986644729910779904,2018-04-18 16:36:49,"You will be missed, Mrs. Bush. It was a privilege to work with you and #BushHoustonLit to improve lives through lit… https://t.co/nfqtzk1y2R"
986342244419555330,2018-04-17 20:34:51,#Dab! Glad to be back with these kids from the boys and girls club JR NBA Clinic. Couldn’t have asked for a better… https://t.co/ayKPlHsSsd
984195862334201856,2018-04-11 22:25:53,"RT @hornets: ⚠️@NBA MILESTONE ALERT ⚠️

@DwightHoward has passed Shaquille O'Neal for 14th place on the league's all-time rebounding leader…"
984081335928094720,2018-04-11 14:50:48,#BuzzCity – Thanks for your support this year even though it didn’t end as we’d hoped. It’s an honor to play for yo… https://t.co/HlaRw2Da4l
982478828395261952,2018-04-07 04:43:00,@Ace32387 My dawg
982478688477474816,2018-04-07 04:42:27,@Ace32387 M m
982329023203246086,2018-04-06 18:47:44,"#BuzzCity – @hornetsgive is hosting a virtual Books on Break Book Drive benefiting @PromisingPages, and all books w… https://t.co/yJRIi0cfxI"
981523969944768515,2018-04-04 13:28:44,"Thank you everyone who made this even possible, especially The Man Above  #NBA #Blessings https://t.co/8tgTkHOSMG"
980403593844019206,2018-04-01 11:16:46,"May the miracle of Easter bring you renewed hope, faith, love and joy. #HappyEaster #Resurrection ✝️ https://t.co/al8WszxDCT"
979303044356755456,2018-03-29 10:23:35,Congrats Brother !!  It’s an Honor to be your teammate.  #more2come  from @KembaWalker https://t.co/ZRug2Nzped
979024516562214912,2018-03-28 15:56:48,"7,000 packages!!  #SwarmtoServe #NBACares #BuzzCity https://t.co/k2UeK5KxfO"
978722430675046401,2018-03-27 19:56:25,"@JoeBeast95 @NBA @BankofAmerica @FoodLion Thanks man, blessed to have the opportunity to help "
978702848652402689,2018-03-27 18:38:37,Having fun making care packages for deployed service members! #BuzzCity #SwarmtoServe #NBACares https://t.co/WGEoE2WDS5
977581603655385093,2018-03-24 16:23:11,@hoopsmixtapes All luv - appreciate ya back
977581452937367553,2018-03-24 16:22:35,"@Spaceman_Spiff3 Thank you, appreciate the Luv"
977568762294685697,2018-03-24 15:32:09,"@mattgio1 🤔,,, Nope.    Mamma taught me well - lol"
977568460858372096,2018-03-24 15:30:58,"@NikkiBCon Great ,, HB "
977566245104046081,2018-03-24 15:22:09,@ArminJNadjm That’s funny
977565395166093312,2018-03-24 15:18:47,What up ? TMB
976934613015818241,2018-03-22 21:32:16,@kevinlove Thanks my g.  I really appreciate you. This message from you means a lot
976767074709143554,2018-03-22 10:26:32,@kevinlove Thanx Bro
976761512399376384,2018-03-22 10:04:26,Blessings Beyond Measure   #AnythingIsPossible https://t.co/4SZXThrBmk
976166409133805569,2018-03-20 18:39:42,@loganwarmoth @SUUGGGYYY_4 @DiamondHeels Hmmm? 🤔
976164132985692160,2018-03-20 18:30:40,Maybe Half-Time Talent Option 4 #BuzzCity ? 🤣🤣  what’s up with the spy glasses -btw ? https://t.co/V8txS9s1Ii
975505518537080834,2018-03-18 22:53:34,Just how we do it  #BuzzCity https://t.co/w8nx8Ub8XH
974791265194737664,2018-03-16 23:35:23,@julia_cav nice meeting u
974605466474082305,2018-03-16 11:17:05,Great seeing my hometown fans #12isBack #Hometown ❤️ https://t.co/EVV67CSF7V
974394319237984256,2018-03-15 21:18:03,Let’s do this !  #GameUp #NBA #BuzzCity
972657065222135813,2018-03-11 02:14:50,"🤨
 _/||\_                                                             _/¯ ¯\_

       \
               || \_… https://t.co/QbIL2lEglG"
971963052785463296,2018-03-09 04:17:04,@kelkelllll happy bday
971752726509080578,2018-03-08 14:21:18,"Happy #IWD2018! I am so blessed to have such incredible, strong, &amp; smart women in my life who give me unconditional… https://t.co/IuvoPtwaNB"
971553323789770752,2018-03-08 01:08:57,@Taystockton215_ 
971422071514378240,2018-03-07 16:27:24,"The accolades are all appreciated and I am blessed 2Play a game I love, but giving my Teammates &amp; #BuzzCity Fans a… https://t.co/LMwuc5V9nM"
970840408996700160,2018-03-06 01:56:05,"Simple, yet refined #peaksport #DH3 #Kicks https://t.co/nMl3ozZEsF"
970478422186188800,2018-03-05 01:57:41,Losing is Not Part of the #BuzzCity DNA !! #WeFightBack
970401411338047488,2018-03-04 20:51:40,@herr_ray it was nice meeting him
970401251526631429,2018-03-04 20:51:02,@clyburn10 thank u
970297439239524352,2018-03-04 13:58:31,Always glad to help  @DonorsChoose #EducationForAll https://t.co/GBQ6JlEmgh
969687305039511553,2018-03-02 21:34:04,"RT @hornets: ""We have to win the rebounding game. Besides [Joel] Embiid, their other bigs really crash the boards. We got to get back [on d…"
969587986315776000,2018-03-02 14:59:24,This Man Does It All  #RicFlairDrip 🤴@RicFlairNatrBoy https://t.co/XIgpCCr3Ta
969389873735053312,2018-03-02 01:52:10,"RT @Senaptec: .@DwightHoward working to get better focus, timing, visualization, coordination, and balance with the Senaptec Strobe #strobe…"
968673887834828800,2018-02-28 02:27:06,Thanx- but just doing my job #more2follow https://t.co/mCNfPdEzVI
968672852940677121,2018-02-28 02:22:59,I am liking this Run  5️⃣nRow  https://t.co/PDdoPUaA76
968557806327607297,2018-02-27 18:45:50,You guys are killin me 🤣 #BeThere https://t.co/pNeJzgcrc9
968277657396883456,2018-02-27 00:12:37,"Enjoyed our conversation, thanx @NickCarboniWCNC https://t.co/fwrUvN6A8X"
967952547498659841,2018-02-26 02:40:45,"My heart and prayers go out to the family, especially Dan’s young son who was apparently injured in this accident.… https://t.co/HhsW9aUSY4"
967013241338593280,2018-02-23 12:28:17,I will try harder next time Pete  https://t.co/iaTAk9EC8X
966722322056056832,2018-02-22 17:12:17,Talking style in #BuzzCity  https://t.co/b9UQRMopR1
966714104013574144,2018-02-22 16:39:37,"Enjoyed a little time off, but dang !!!  I just wanna play ball    #GameDay 4 #BuzzCity https://t.co/cRODqnNSOs"
966079918210781186,2018-02-20 22:39:36,Speechless ! https://t.co/vkvU5EBsb2
965942641560096768,2018-02-20 13:34:06,  #StylePoints @KristenLedlow https://t.co/T2SLWxrJgi
965745245135691776,2018-02-20 00:29:43,@truebeauty37 Amen
965743932750614528,2018-02-20 00:24:30,Never accept ordinary from yourself. #staylockedin  #FindAWay https://t.co/E4s6RbmCik
965582617117589504,2018-02-19 13:43:30,#Gameup in #BuzzCity Next Year #NBAAllStar2019 https://t.co/F0v5gcEKoA
964953176515465223,2018-02-17 20:02:19,"Happy Birthday, Boss  
#DoubleNickel 5️⃣5️⃣ #GOAT  #BuzzCity https://t.co/GoowFNSXO2"
964552744253247494,2018-02-16 17:31:09,#FlashbackFriday to my #PEAKSport trip to China last summer. Happy #ChineseNewYear to everyone who's celebrating! https://t.co/3AFEyPanL5
963964399244464129,2018-02-15 02:33:17,Thanx @kyle_s1987  -My fans have given me so much more in return #ThankYouBack https://t.co/8HACABKKgU
963771326719815685,2018-02-14 13:46:04,Show Some Luv ❤️ Today #Valentines https://t.co/x8Ihspv5bT
963483830744121344,2018-02-13 18:43:40,What’s up FLA ? In the #407 tomorrow #WeHungry 4Win
962880363369558017,2018-02-12 02:45:42,Who is that boy??  🤣 You been gettin old pictures from my parents or what?  #12OldSchool https://t.co/j9tLxFdIyZ
962671225431568386,2018-02-11 12:54:40,Back in #BuzzCity. Up early because it’s Game Day!
962050098896109569,2018-02-09 19:46:32,Proud to be part of this organization #BuzzCity #BlackHistoryMonth https://t.co/rxhite7pW6
962006322018332679,2018-02-09 16:52:35,RT @HornetsGive: Its #FitnessFriday and we want YOU to sign up for Ride at the Hive on February 24th! Everyone who signs up &amp; raises $100 b…
962002399157260289,2018-02-09 16:36:59,Congrats bro!  https://t.co/ok5VwX2sIC
961675149815828480,2018-02-08 18:56:37,Need 🥤 for all the #NBA twitter posts 🤣🤣
961571813896675329,2018-02-08 12:06:00,Welcome 2 the Fam!   @willyhg94 #BuzzCity https://t.co/ESH0GTs6de
961064431491997696,2018-02-07 02:29:50,Now it’s all about Portland #NBA #GameUp https://t.co/7lpNalaiKt
961034325675388933,2018-02-07 00:30:13,@ChantalLisette @Bojangles1977 ok
960688067869802501,2018-02-06 01:34:18,Amazing Journey  #GrowInFaith #PhillyPhilly @ZERTZ_86 https://t.co/bY9iCOhTrd
960353878586875904,2018-02-05 03:26:21,"As they now say,, Philly-Philly #SuperBowlChamps https://t.co/RmeBVYMP6m"
