id,created_at,text
987338479540547589,2018-04-20 14:33:32, https://t.co/juAEl1wkbr
987001130210222081,2018-04-19 16:13:01,RT @DwyaneWade: #HeatNation let’s gooooo!!! #WhiteHot
986766046811090944,2018-04-19 00:38:53,R.I.P.  https://t.co/xJSnnTOyuL
986690736405000193,2018-04-18 19:39:38,Svaka čast Dejan Marić !!! #mojster #tattoo https://t.co/1tvvjaSRdG
986261807315783680,2018-04-17 15:15:13,"RT @MiamiHEAT: Miami took a 14-point lead over Philly into halftime of Game 2.

Watch these explosive 1st half highlights then catch the 2n…"
986096482188132352,2018-04-17 04:18:16,RT @zoran_dragic: Now back to MIAMI good job fellas!!! @Goran_Dragic @DwyaneWade @MiamiHEAT @NBA 
986094995882041346,2018-04-17 04:12:22,RT @MiamiHEAT: BIG mood.  https://t.co/MKsdJp6bol
984931149402304517,2018-04-13 23:07:39,RT @MiamiHEAT: SOUTHEAST DIVISION CHAMPIONS!!!!!!!!! https://t.co/2qGKwqnyJ5
982991175434100736,2018-04-08 14:38:53,Hristos Vaskrse! Happy Easter to all my fellow Orthodox friends! https://t.co/e0RQudloFi
982794131738169345,2018-04-08 01:35:55,Thanks brother for the jersey !! Continue killing it this season @gianluigibuffon  #SoccerLegend https://t.co/HPAqI4pA63
982445662892675073,2018-04-07 02:31:13,RT @EuroLeague: 'Slovenia Magic'  https://t.co/MNYfoxtwJQ
981971954990223360,2018-04-05 19:08:52,RT @NBASTORE: Fans take on @Goran_Dragic in our 'Nothing But Nets' pop-a-shot tournament! https://t.co/676xpkjMcM
981971876430929920,2018-04-05 19:08:34,Thank you guys for coming!!! https://t.co/Vf4LjF4bDj
981971656125100034,2018-04-05 19:07:41,RT @BDA_Sports: .@Goran_Dragic visiting the #NBAStore to meet with fans https://t.co/hao2FLdwRy
981971611908804609,2018-04-05 19:07:31,RT @ThisIsUD: Congratulations to my guy @WayneElli22 for making history. Most 3’s by a reserve in a NBA season. It’s been a pleasure being…
981933028506259458,2018-04-05 16:34:12,RT @ThisIsUD: Thought it was!! No free bees round here!!🤷‍♂️ #notonmywatch #og https://t.co/NX02h5tFWH
981932904526893056,2018-04-05 16:33:42,RT @NBASTORE: See you soon @Goran_Dragic ! #NBAStoreNYC https://t.co/vT7iILIk31
981622749213978624,2018-04-04 20:01:15,RT @espn: Boban living his best life 🤣 (via @LAClippers) https://t.co/R8ZfL8s38B
981563571590049794,2018-04-04 16:06:06,"RT @GogiCamp: Danes si je vrata v končnico odprl @MiamiHEAT našega @Goran_Dragic, mi pa bomo prijave za letošnji kamp odprli jutri  Ne zam…"
981380586517430272,2018-04-04 03:58:59, PLAYOFFS BABY  @MiamiHEAT @RodneyMcGruder #TheDragon   #dracarys  https://t.co/iktincWP9q
981152723793047552,2018-04-03 12:53:32,Hvala  https://t.co/hXBCttBAFw
980977334131060736,2018-04-03 01:16:36,RT @MiamiHEAT: Mr. 35 #Captain40  https://t.co/qmZoxsTgUn
980886333349560320,2018-04-02 19:15:00,"RT @ThisIsUD: I’ve learned a lot from my experiences in high school, through college, overseas, and everything in life. That's what prepare…"
980193269387800582,2018-03-31 21:21:01,"RT @NBATV: Congrats to 19-year @NBA veteran, 7x NBA All-Star and our very own @realgranthill33 for being inducted into the #18HoopClass! ht…"
980190539915104256,2018-03-31 21:10:10,ZLATAN taking over @MLS
980118909348171778,2018-03-31 16:25:32,RT @BDA_Sports: So proud of this guy!! Congrats @SteveNash for this well deserved honor! https://t.co/MWnf8nE3IQ
979889219517714433,2018-03-31 01:12:50,"We may have an off-day, but there's always a game on!  Watching the Marlins with my #FOXSportsGO app. @FOXSportsFL… https://t.co/JhdWbjXjjR"
978328306348109826,2018-03-26 17:50:19,R.I.P.  https://t.co/DD4eqQ2RbN
977799331221790720,2018-03-25 06:48:21,RT @KdSlovan: Delček naše vizije predstavljen tudi v @Dnevnik_si. #KDSlovan https://t.co/2ow8NvRM3W
977384636941729792,2018-03-24 03:20:31,"RT @MiamiHEAT: #KaBoom!

Only the 2nd time in Miami HEAT history 4 players have knocked down 100+ ’s! https://t.co/NInMwnV0NX"
976832710743293952,2018-03-22 14:47:21,"RT @NBAspain: 

@ivanrakitic, @lukamodric10 y @Mateo_Kova23 visitaron a los @MiamiHEAT 

 @Goran_Dragic y @DwyaneWade hicieron de anfitr…"
976814059860488193,2018-03-22 13:33:14,"Let the future tell the truth, and evaluate each one according to his work and accomplishments. The present is thei… https://t.co/pc3lGUSv6t"
976793108401786881,2018-03-22 12:09:59,RT @AnzeMacek: Learning from the best  Thank you @ForanStrength for best experience. See you soon ☺️✌ https://t.co/jehKPFDGsQ
976651408316432385,2018-03-22 02:46:55,Great meeting you guys!Thanks for coming by to watch us play and good luck tomorrow!! @lukamodric10 @Mateo_Kova23… https://t.co/rfQp9W2wGc
976277142718775296,2018-03-21 01:59:43,"RT @MiamiHEAT: Enter the Dragon.

Learn the story of our All-Star point guard in ""Inside the HEAT: @Goran_Dragic."" 
Full episode - https://…"
976125694681010177,2018-03-20 15:57:55,"RT @MiamiHEAT:  Join us in wishing Miami HEAT President, Pat Riley a happy birthday!  https://t.co/LTUVD5nCKB"
975981498510737408,2018-03-20 06:24:56,"Good night @MiamiHEAT NATION !!! It was awesome game, thanks for all support!!!   #TheDragon "
975959365718069248,2018-03-20 04:56:59,RT @egarcia0921: Would dragon roll be inappropriate?? @Goran_Dragic https://t.co/S92ummaMii
975784781182132224,2018-03-19 17:23:15,RT @MiamiHEAT: Check out how @Goran_Dragic spent his Sunday at @BrickellCityCtr! https://t.co/LNs5jTwqS2
975781647735050241,2018-03-19 17:10:48,RT @BleacherReport: This is pretty fire  (via @vouks) https://t.co/0h7owP9EZT
975414062044647425,2018-03-18 16:50:09,"RT @MiamiHEAT: From Slovenia's Superstar... to Miami's All-Star...

Catch the story of #TheDragon, tomorrow at 10:30pm in the premiere of ""…"
975179669766135808,2018-03-18 01:18:45, https://t.co/acJmqR90Le
975114932432916480,2018-03-17 21:01:31,Ninja Rich ⚔️ @J_Rich1 https://t.co/BMUtwn9L9K
975051129833730048,2018-03-17 16:47:59,See you tomorrow at Brickell City Centre! #TheDragon  @MiamiHEAT https://t.co/T8OETU35Kp
975028503392342019,2018-03-17 15:18:05,RT @NBATV: .@Goran_Dragic (30 PTS) made play after play including a GW to defeat the Lakers on the road! https://t.co/XE3dEiDdBs
974890244980948993,2018-03-17 06:08:41,Thank u trey !!! Come back soon  https://t.co/LNb08tD6mw
974889066335322112,2018-03-17 06:04:00,RT @zoran_dragic: Bravo BURAZ  @Goran_Dragic  https://t.co/WGopzgqA1L
974738524833378304,2018-03-16 20:05:48,RT @gregapenny: Intervju z @Goran_Dragic: Nemogoče je bilo ohraniti igro z evropskega prvenstva https://t.co/PWbbNlmfbr #mojtim https://t.c…
974342752933588992,2018-03-15 17:53:09,"RT @NBA: Dragic and Peja share a laugh in Sacramento!

#HeatCulture x #SacramentoProud - 10:00 PM/ET on NBALP

: https://t.co/2pt5MyD8rh h…"
973740917285797888,2018-03-14 02:01:40,RT @GregorVucajnk: Kids super excited about tomorrow's @MiamiHEAT game. They have even made a poster sign for @Goran_Dragic https://t.co/H2…
973467495129477120,2018-03-13 07:55:11,RT @FilipNiko3: Happy Birthday!!! https://t.co/8n9LjjKrNS
971113397025673216,2018-03-06 20:00:50,RT @gregapenny: .@Goran_Dragic z @MiamiHEAT proti nekdanjemu moštvu @Suns @NBA https://t.co/5oC1EYB6LO
970877447037177856,2018-03-06 04:23:16,Let’s go HEAT @IAmJustise @RodneyMcGruder @KellyOlynyk and ✋ https://t.co/cFi9flAfNA
970875356239581184,2018-03-06 04:14:57,RT @kristenhewitt: .@TheJaxShow is taking the challenge as we try to acquire 100 lollipops from 100 people. Will you help us? @lollipop4loc…
970514109950234624,2018-03-05 04:19:29,RT @ByTimReynolds: He likes gold. https://t.co/jI2WCOHSEJ
970493962162237440,2018-03-05 02:59:26,"RT @SLAMonline: Kobe: ""As basketball players, we're really supposed to shut up and dribble."" 

Kobe takes a shot at that Fox News reporter.…"
970444324067532800,2018-03-04 23:42:11,RT @MiamiHEAT: Today's 21st Annual Family Festival presented by @CarnivalCruise​ raised over half a million dollars for the Miami HEAT Char…
970327891073470464,2018-03-04 15:59:31,"RT @vKavticnik: Z vsem spostovanjem (v kolikor je to resno izjavil) do Iztoka Copa in njegove uspehe, vedno  sem zelo navijal, ga spremljal…"
970321073978920960,2018-03-04 15:32:26,Iztok Čop 🤫 https://t.co/h0c4PNSgKi
969602083258290179,2018-03-02 15:55:25,"RT @ttiinnaauu: #dragiclanguage Spavaš li mirno, Google translate? 🤫 https://t.co/LokroFYvhF"
