id,created_at,text
979193839893217280,2018-03-29 03:09:38,"Had to get the win first, but can't let the day go without telling my nephew happy b-day! Love you Dez!! https://t.co/YgT2a4bzLk"
978308832525987840,2018-03-26 16:32:56,"Another day, another opportunity.."
977994214482042880,2018-03-25 19:42:45,Prayers Zeke Upshaw!
977926515462758400,2018-03-25 15:13:44,#GoBlue !!
977925991095037952,2018-03-25 15:11:39,Happy b-day to my brother from another. From Day zero. One of a kind @ant_ent https://t.co/8GdMrruBBw
977408585884938240,2018-03-24 04:55:40,Prayers up for Steph.
977396232703406082,2018-03-24 04:06:35,@IsiahThomas-You know how I feel about you. You helped inspire the way I dribble. You're the reason I wear 11. Thank U for always believing!
977380874680459264,2018-03-24 03:05:34,Nothing like coming to play in the Gar-den!
977375906112180225,2018-03-24 02:45:49,#AllEyesNorth
977375542503792640,2018-03-24 02:44:22,"""@NBATOP250: Gotta be something about jumping your old boss. @JCrossover takes #59 from @iamisiahthomas in #NYC  #Timberwolves.""--wow......"
976841776391737344,2018-03-22 15:23:22,"One of my favorite pictures ever, &amp; the most fun I ever had to this day hooping! 20 years ago wow. #beach #TBT https://t.co/5ZLXHPX4ya"
976609527293497344,2018-03-22 00:00:30,"""@Khalilshabazz0: I finished Winter quarter with a 3.931 GPA ��✏️""--that's what it's really about bro. Proud of you!!"
976583537481736198,2018-03-21 22:17:14,"Happy b-day to my sister Lori. Been a second mom my whole life, thanx for taking your little bro everywhere. lol https://t.co/CuyqoqVomc"
976340570279895040,2018-03-21 06:11:46,"@OsheaJacksonJr --likewise my guy, appreciate you!!!"
976338401526861825,2018-03-21 06:03:09,"Appreciate all the birthday wishes, peace and love!!"
976327997736275968,2018-03-21 05:21:48,@DeAndre --my brother for life!!! No time or space can change that!
976308263523364865,2018-03-21 04:03:23,@Major_Tae --my guy! Respect bro
976308085047230464,2018-03-21 04:02:41,"@Al_Snowman --my brother, we all learn from each other!! Much love &amp; respect"
976307079748055040,2018-03-21 03:58:41,"@DejounteMurray when I see you, I see me.. On and off the court bro. Love!"
976306778374774784,2018-03-21 03:57:29,"@nate_robinson thank you my bro, thanks for pushing me to be  better bro!"
976305589587386368,2018-03-21 03:52:46,"@isaiahthomas --and now you're inspiring, glad I'm part of your journey bro!!"
976305367096307712,2018-03-21 03:51:53,"@TheDougChristie --thank you big bro, no way I'm here without you. Thank you for making it believable to me!"
975938807580233728,2018-03-20 03:35:18,"Take it one day at a time, but always think big picture.."
975924355988381696,2018-03-20 02:37:52,"RT @JaceFrederick: I think eating a lot of preservatives is the best way to preserve your body. 

Jamal Crawford, who turns 38 on Tuesday,…"
975923975242084352,2018-03-20 02:36:22,"@CHILLCONROY --wowww, you held out with that one lol. My brother from another!"
975923870795526144,2018-03-20 02:35:57,RT @CHILLCONROY: Happy Bday big bruh .. keep defying the odds @JCrossover https://t.co/4U0P0Rr3Kk
975923729296486403,2018-03-20 02:35:23,"RT @UW_MBB: Follow the second round of the NIT vs. Saint Mary's. Tipoff is at 8PM.
#TougherTogether

 ESPNU
 https://t.co/exmOt94Sag 
 K…"
975923164726333440,2018-03-20 02:33:08,"@mrseahawk206 --big homie, thank you!!"
975783088331677697,2018-03-19 17:16:32,"RT @TJCotterill: Check out our TNT all-state (all classifications) boys basketball team. 

State player of the year: Rainier Beach’s USC-bo…"
975778012707860481,2018-03-19 16:56:21,Prayers up for T Lue
975777388150886406,2018-03-19 16:53:53,What changes would you like to see law enforcement or our President make to help safety in schools across the country ?  #AskMSDStudents
975751521689366528,2018-03-19 15:11:06,"Another day, another opportunity.."
974709122338877443,2018-03-16 18:08:58,"@cliffavril --ha ha, I got you bro! The finest Lake Washington has to offer lol."
974144152677036032,2018-03-15 04:43:59,Music gets you through..
974116903986843648,2018-03-15 02:55:42,This Wizards/ Celtics game though!
974105282442915840,2018-03-15 02:09:31,"@jgthomas --Great advice, always appreciated from you. A pro's pro.. Much respect JT!"
974084910565781507,2018-03-15 00:48:34,"""@Realjockwasher: @JCrossover https://t.co/5z4VIeO8sb…""--good one, thank you!!"
974079879686885376,2018-03-15 00:28:35,Anything good to watch on youtube?
973990619528953857,2018-03-14 18:33:54,"RT @JWFOCKE: This was a blast, chatted with @seimoneaugustus about @minnesotalynx off-season additions, we broke down @JCrossover cross-ove…"
973763302370283520,2018-03-14 03:30:37,Appreciate y'all!
973762951835463680,2018-03-14 03:29:14,"""@Neffery_14: @JCrossover Are you excited Ichiro is back in Seattle to finish his career?""--how it should be!"
973761455953719296,2018-03-14 03:23:17,"""@thareeltdott: Why U think they don't mention u when they say the best ball handler?...@JCrossover""--i'm like Mcdonalds. Been around 4ever"
973760346530942976,2018-03-14 03:18:52,"""@jimbo_lati: Was Baron Davis a ""BAD MAN"" ? @JCrossover""--one of the most talented by far. LOVE his game!"
973759178970890240,2018-03-14 03:14:14,"""@jpwayne3: @JCrossover favorite Knicks memory?""--scoring 52 in the garden!"
973757861078724608,2018-03-14 03:09:00,"""@SheLovesMe_NOT: @JCrossover If you could retire with a team, who would it be?""--probably be a team I've already played for......"
973757662239318016,2018-03-14 03:08:12,"""@lilromeyrome: @JCrossover what’s it like havin drose on the squad ?""--dope. Anyone that knows me knows how big of a fan I am of him"
973757502872543232,2018-03-14 03:07:34,"""@MattYIAG11: @JCrossover I miss you in LA����""--respect"
973756968904085504,2018-03-14 03:05:27,"""@EthanQuinn4: @JCrossover If you could go pro at any other sport, which one?""--baseball"
973756860598751232,2018-03-14 03:05:01,"""@JosephPalazzi: @JCrossover Thoughts on the Lakers young core""--fun to watch, they keep getting better"
973756546202112000,2018-03-14 03:03:46,"""@owenlewis99: @JCrossover Thoughts on lou williams?""--having a spectacular year, happy for him!"
973756332640784386,2018-03-14 03:02:55,"""@W0uld: @JCrossover Thoughts on jrue holiday?""--one of, if not the most underrated. Love his game"
973756128784977925,2018-03-14 03:02:07,"""@s3bas9: @JCrossover How many years left in the tank""--no idea. God will tell me!"
973755544468115456,2018-03-14 02:59:47,Q and A?
973743808352571392,2018-03-14 02:13:09,RT @SLAMonline: Jamal Crawford out here slicing and dicing up defenses like it’s easy 🤦‍♂️🤦‍♂️🤦‍♂️ (via @Timberwolves) https://t.co/RsWQ…
973742659943718915,2018-03-14 02:08:36,#AllEyesNorth
973581207056379907,2018-03-13 15:27:02,RIP Craig Mack
973289400984629250,2018-03-12 20:07:30,@otrillmaine killed this year!! : https://t.co/wvgl2sxCf2
973284324270379008,2018-03-12 19:47:20,"Yessir @CoachRomar. Back at where I came to the midnight madness and just wanted to be recruited by you. Happy for you, respect!!"
973283866885713921,2018-03-12 19:45:31,"@JustRL --thank you big homie, means everything hearing it from you. Respect!!"
973190992672313349,2018-03-12 13:36:28,"Another day, another opportunity.."
973018998576238593,2018-03-12 02:13:01,"RT @Shifty_sheferaw: Utterly grateful to be able to present Shifty’s 1st ever “Shifty’s Giveaway” , Special s/o to my big dawg @JCrossover…"
972257834011385856,2018-03-09 23:48:25,"""Sky's the limit"""
972174146955300870,2018-03-09 18:15:53,RIP BIG!
972174061638995968,2018-03-09 18:15:33,"@RSherman_25, thank you for all you did for the city on &amp; off the field. You brought a passion, toughness, and swagger when we needed it!!"
971755987236515846,2018-03-08 14:34:16,RT @usatodaysports: .@NovaMBB's Jalen Brunson named USA TODAY Sports college basketball player of the year. https://t.co/tpdyqQWzeG
971428732102762497,2018-03-07 16:53:52,Happy birthday pops!! https://t.co/PY12WxwETw
969843329310560256,2018-03-03 07:54:03,Random thoughts..
969837609827602432,2018-03-03 07:31:19,@brandonjennings --always loved your game. You're as good as your peers think you are. Nothing but respect!!
969836958477377536,2018-03-03 07:28:44,"Tough loss, proud of the squad though.."
969257146889265153,2018-03-01 17:04:46,@Kenny_Mayne --respect!!
969042892915396609,2018-03-01 02:53:24,"""@MrAnthonyMorrow: KD out there playin like he in the Goodman League ����""--it's unfair aint it!"
968575949997531136,2018-02-27 19:57:56,"Another day, another opportunity.."
968411656056315904,2018-02-27 09:05:05,"Happy g-day to @yp27. A real one, respect!"
968372788770811904,2018-02-27 06:30:38,"Taking off, appreciate the questions!"
968372710832312320,2018-02-27 06:30:20,"""@AllThingsMN: @JCrossover thoughts on the potential of Justin Patton?""--love his skill set, bright future!"
968372503285559296,2018-02-27 06:29:30,"""@Schneides97: @JCrossover You think seattle will get a team back ?""--have too!"
968372448545660930,2018-02-27 06:29:17,"@DudeismMonk --stay strong, much respect!!"
968372345273569282,2018-02-27 06:28:53,"""@21AGM: @JCrossover favorite song on Victory Lap?""--Dedication"
968372169435766784,2018-02-27 06:28:11,"""@Jh_Burton22: @JCrossover Do you think you were once an all star""--or twice"
968372113710120960,2018-02-27 06:27:58,"""@1017wizz: @JCrossover How old were u when you created that behind the back hopstep move that has ended so many careers?""--16, on accident"
968372004205268992,2018-02-27 06:27:31,"""@King__A23: @JCrossover Toughest person to guard all time?""--Kobe, Iverson, Dwade, Hibachi"
968371921598414848,2018-02-27 06:27:12,"""@BadmonJohnson: @JCrossover Who’s--W your go-to pregame artist to listen to?""@wale"
968371124517130242,2018-02-27 06:24:02,"""@bctwpbtc: @JCrossover Where is MGH?""--sitting right next to me"
968370893071310849,2018-02-27 06:23:07,"""@_Virgox: @JCrossover How do ur kids react 2 ur ball handling ?--my daughter said it makes her happy lol. My sons think they can dribble!"
968370058694144002,2018-02-27 06:19:48,"""@ERUNNINGONE: @JCrossover Which jersey are u leaning on retiring with when it's all set and done ��""--wouldn't you like to know lol"
968368101241868290,2018-02-27 06:12:01,"""@Jaguarsfan7: @JCrossover Favorite movie all time?""--Coming to America"
968367884115365888,2018-02-27 06:11:09,"""@hydro23: Would you ever consider visiting my classroom in Burien and talking to them about the importance of education? @JCrossover""--yes!"
968367802456461314,2018-02-27 06:10:50,"""@AlexKennedyNBA: @JCrossover Podcast soon?""--why not!"
968367647246180354,2018-02-27 06:10:13,"""@alioshin: @JCrossover Why don’t you age""--why do I have too?"
968367545664311297,2018-02-27 06:09:48,"@PlayersTribune --lol, they shall remain nameless!"
968366280465100800,2018-02-27 06:04:47,"""@dlockhart24: @JCrossover Will you play in your 40’s?""--time will tell!"
968366184642080769,2018-02-27 06:04:24,"""@Broke_DZA: @JCrossover You think Markelle's gonna be alright?""--he will be a stud. Think long term, don't judge him off one season."
968365319617241088,2018-02-27 06:00:58,"""@BamBamSuydam: @JCrossover Reflect on your season in Portland?""--wasn't the best, but was a chapter of my story..no hard feelings."
968364914069909504,2018-02-27 05:59:21,"""@ColynHalbert: @JCrossover Favorite game you’ve ever played?""--state championship!"
968364841139306497,2018-02-27 05:59:04,"""@richboylilfolkz: @JCrossover Did you enjoy your time with the bulls? And do you wish you’d stay longer?""--loved playing in Chi!"
968364292780314624,2018-02-27 05:56:53,"""@Livingnthe90s: @JCrossover What keeps you playing the game after all of this time?""--pure love"
968364205207375873,2018-02-27 05:56:32,"""@akjones_11: @JCrossover What do you think of how Baby Boy’s been playing for the Spurs ?""--future star, glad everyone else is catching on"
968364064329097217,2018-02-27 05:55:58,"""@kodizzy2: @JCrossover welcome to the nba moment?""--playing the Knicks in preseason &amp; pregame Spree screaming out "" okayyy, I'm reloaded"""
968363784023650304,2018-02-27 05:54:52,"""@AntyEatsPeople: @JCrossover What you bumping rn?""--@NipseyHussle . #victorylap! Go get it if you don't have it!!"
968363571909419008,2018-02-27 05:54:01,"""@HermanGrewal87: @JCrossover Favorite show right now?""--The Chi!"
968363419081560064,2018-02-27 05:53:25,"""@b_good23: @JCrossover What is your favorite memory from Michigan""--playing Duke!"
968363250302832640,2018-02-27 05:52:44,"""@monixpande1: @JCrossover You think Malachi Flynn could make the league?""--yes, little bro has that Mike Bibby game"
