id,created_at,text
984867130058260480,2018-04-13 18:53:16,"RT @GQMagazine: Presenting GQ's newest cover star: @JHarden13, photographed by Erik Madigan Heck https://t.co/otwM5jmXvT https://t.co/57Kal…"
984489403744567296,2018-04-12 17:52:19,Thank you #Rednation for all of the support through out the year but this is when it matters most. Let’s #RunAsOne.......stay #LockedIn
984168432726781952,2018-04-11 20:36:53,"#ad My @StateFarm agent gets me so well, it's like he's inside my head... Now @HoustonRockets fans know what that's… https://t.co/c4Tys9LzER"
982398551966867457,2018-04-06 23:24:01,Looking forward to schooling kids at my annual Youth  @ProCamps in partnership with @kroger again this summer! Det… https://t.co/vzTi8V1kTU
974078026907574273,2018-03-15 00:21:13,@SLAMonline She’s an Assassin !
973693954783940610,2018-03-13 22:55:03,@art_vandelay_9 @stancehoops Really?? Who you got ?
973676095252914176,2018-03-13 21:44:05,You know who I'm riding with. Stay the course! @stancehoops https://t.co/WvTCBhKEIl
973665531277578241,2018-03-13 21:02:07,Tourney time!! Who y’all rolling with for the tourney ????
973634567356796929,2018-03-13 18:59:04,"#ad There's an elite club of people that get me like this... @CP3 of course, annnnd our @StateFarm Agent Cole. https://t.co/9lMP6Un6fs"
973591717264969728,2018-03-13 16:08:48,What a feeling !!!! Let’s get it #ForksUp https://t.co/TPYQ3B4k8L
972661052709142528,2018-03-11 02:30:40,"Welcome to the Harden collection, @Trolli_USA! Grab a bag of #SourSneaks exclusively at @7Eleven. #ad https://t.co/KiDbL9c5in"
971860855628357633,2018-03-08 21:30:58,"Let the countdown begin…
#ad #BlackOps4 https://t.co/C6lG55HdJg"
971428165397680128,2018-03-07 16:51:37,Big-ups to Coach Sampson doing a hell of a job over there at @UHouston. Stay the course  https://t.co/gV5oyVovb7
970721547697754113,2018-03-05 18:03:46,Congrats Bean!... you’re more than just an Athlete. @kobebryant https://t.co/HXMlTFABur
970713541065039874,2018-03-05 17:31:57,"New week!  Same grind! 
STAY THE COURSE......"
969371329718726656,2018-03-02 00:38:29, https://t.co/dhqNA4JOP2
968595158471077889,2018-02-27 21:14:16,"Wishing everyone a great day. Whatever you’re going through today. Just remember, 
“Stay the Course”"
968364486473199616,2018-02-27 05:57:39,She cooked you maan lol https://t.co/I7dCVqZTtQ
967493373203447810,2018-02-24 20:16:09,#ad Low-cut socks? Are you serious??? I’ll get you guys next game night. @CP3 https://t.co/lMSswHnp1U
966784002513358848,2018-02-22 21:17:22,#ad Crazy to think an LA kid would get his head on the Santa Monica Pier. Thank you @StateFarm for bringing it to l… https://t.co/3l84SdGBvh
963216583249162240,2018-02-13 01:01:43,"We’re going to have hoop tournaments, performances, and an EXCLUSIVE  Harden Vol. 2 color drop. #Hardenvol2 https://t.co/0EX4uEyCyl"
963216039403175936,2018-02-13 00:59:34,Pull up!!! To the  @footlocker &amp; @adidasHoops @ Hollywood &amp; Highland on Thursday for the Harden invitational... https://t.co/J05MBkR7fu
963210639253561344,2018-02-13 00:38:06,#ad Sunday 2/18. Pull up and take a  inside my head... https://t.co/gSQxRxDx7e
961457969853554689,2018-02-08 04:33:37,Get well #Unicorn  keep them spirits up. @kporzee.
961087289198858240,2018-02-07 04:00:40,Blessed to do what I love everyday. Respect ya passion!   #LockediN https://t.co/pMMzuqGszk
960292144585027584,2018-02-04 23:21:03,"We gonna have  hoops, sneaker releases, performances by......

Meet me at the warehouse!!

https://t.co/0HPOFjkZ8k"
960292005095014400,2018-02-04 23:20:30,"Pull up to 747 Warehouse St. 
on Feb 17th. https://t.co/IkJDcBA3Va"
960277827831640065,2018-02-04 22:24:09,RT @YG: Superbowl Sunday. FREE MEEK MILL
960277783074234368,2018-02-04 22:23:59,Congrats also to @terrellowens #HoF.... what a class 
960276952815939585,2018-02-04 22:20:41,"I remember growing up you couldn't catch anything over anyone without saying ""you got Moss'd"". Hahahahahaah. #Legendary"
960276630185922560,2018-02-04 22:19:24,Congrats to @RandyMoss !!!Well deserved.#HOF ....
958586337766060032,2018-01-31 06:22:47,All Glory to God #LockediN https://t.co/eOz0NI9pSV
958568805860564992,2018-01-31 05:13:07,RT @CP3: History!!! 🤘@JHarden13 https://t.co/NWwD4zYJqk
958568771706408962,2018-01-31 05:12:59,Appreciate it bro!!! https://t.co/ji1VC9nZ56
958568677749772288,2018-01-31 05:12:36,RT @DwyaneWade: Okay @JHarden13 you’re not playing fair!!!
958568667825999873,2018-01-31 05:12:34,RT @DerekGlasser12: Shaq just said “if you don’t double harden that is barbecued Chicken.” Congrats on history tonight @JHarden13
958568621789405186,2018-01-31 05:12:23,RT @CalvinMurphyHOF: Congratulations to @JHarden13 for breaking my record.  I've been honored to hold the #Rockets single game scoring reco…
958568588784361473,2018-01-31 05:12:15,RT @JJWatt: JH
957320127850143745,2018-01-27 18:31:19,Wishing you a speedy recovery big dawg. Keep a positive mind and you’ll be back before you know it. @boogiecousins… https://t.co/CkSIeE5YIL
954412949875159040,2018-01-19 17:59:14,From where I’m from to an All-Star!?!!  I promise the feeling doesn’t get old. Forever grateful #
954411453032869888,2018-01-19 17:53:17,Also congrats to @CP3 on moving up in the All-Time steals ranks..... #StaytheCourse
954410855768174594,2018-01-19 17:50:54,Felt great last night on the court. Missed being in battle with the squad! #Rednation #
952721794988834816,2018-01-15 01:59:11,Wow! Wow ! Wow! It’s never over. Sheeeesh
951665838154661889,2018-01-12 04:03:11, This @TheSunDevils game is everything right now !!!!!
949413970221387777,2018-01-05 22:55:04,#ad @TrevorAriza @CP3 @OscarNunezLA made me sit through this car ride. Then turn it into a karaoke video.… https://t.co/kIVhLBF5mN
948942480535375873,2018-01-04 15:41:32,Top of the Top. Thank God for another day. Be great today. #LockedIn
948768868390105088,2018-01-04 04:11:40,There’s something you don’t see everyday.... crazy https://t.co/9TwdkHaUZ7
948766269381242880,2018-01-04 04:01:20,Don’t understand how people are sleeping on it. Crazy https://t.co/Tx7odRxTw1
948761640979369985,2018-01-04 03:42:57,Don’t forget to #NBAVOTE @CapelaClint into the All-Star game. https://t.co/N8deZTwC9K
948756646305648641,2018-01-04 03:23:06,Solid dub for the squad tonight.
948659999114432513,2018-01-03 20:59:03,About to get the Hammy treated. Going to miss the squad tonight! #Rednation
948640600202596353,2018-01-03 19:41:58,"Need y'all to vote the ""Point-God""  in as well https://t.co/UiYNqhJ29W"
948640085628604416,2018-01-03 19:39:55,"That boi @TheofficialEG10  good!! #NBAVOTE 
(Retweet to vote him in) 

https://t.co/KXGA9mhScu"
948315039420821506,2018-01-02 22:08:18,RT @TheSunDevils: We've got two Top 25 basketball squads‼️ https://t.co/qlhUySOG9s
945370128933322754,2017-12-25 19:06:17,"#ad Yes, @CP3 and his @StateFarm agent do things together. No, I don’t want to be included in their antics. https://t.co/4iZVSjVYfx"
942974132911828992,2017-12-19 04:25:27,🤘Heard some guy on our team got player of the week🤔🤔🤔🤔🤔 @CP3 lol congrats bro. #LockedIn #RedNation https://t.co/d5AznhaDBX
942811073002000384,2017-12-18 17:37:31,  https://t.co/HBwvPlOC2j
941434687582556160,2017-12-14 22:28:15,You can watch me in the #LaceUpSeries on @YouTube here: https://t.co/Ldlb8pGXR0
941382126745935873,2017-12-14 18:59:23,"Watch it now on @YouTube and grab the winning Harden PENSOLE kicks, in stores now https://t.co/70jyGJ3dDD"
941381866757738496,2017-12-14 18:58:21,Loved being a part of the #LaceUpSeries finale.....
940241293388800000,2017-12-11 15:26:07,#mood https://t.co/AHnfUAaHUT
939983719015870464,2017-12-10 22:22:37,Let's goo!!!! #ASU #Sundevils big win fellas stay #LockedIn https://t.co/qU9lPPgObO
934198943105323009,2017-11-24 23:15:59,"Mexico Sunday in Greensboro, NC!  The road to defending the FIBA World Cup starts now!
 #FIBAWC   #DefendTheCup. https://t.co/5zCRS3GZGm"
934198892178092032,2017-11-24 23:15:47,Good luck to the USA Men’s World Cup Qualifying Team in its game versus...... https://t.co/ikHu3luxPQ
933795621668114432,2017-11-23 20:33:19,Let's all do our part to give back this #WeekofGreatness! #GreatnessDoesGood @footlocker https://t.co/yR0iko98m2
926290235683688448,2017-11-03 03:29:36,@cbaby2130 Much appreciate it. Please bring them.
926289993496227840,2017-11-03 03:28:38, I think the best one out. Nailed it young fella https://t.co/B3pbYzabAX
926146928655654915,2017-11-02 18:00:09,We are #HoustonStrong. Join us in helping rebuild Houston school libraries with a book drive on 11/4. Learn more:… https://t.co/xQPI0uC6sp
925941171519737856,2017-11-02 04:22:33,Beard x Beard ??🤔 lol https://t.co/6fPyTPfUmU
925939054667026432,2017-11-02 04:14:08,"Strooos!!!!! Congrats on earning your way into history. Much respect. 
Congrats @astros !!!! #HoustonStrong "
924718631858135040,2017-10-29 19:24:36, @yogottikom https://t.co/QzwDQdUaBg
921947636617400320,2017-10-22 03:53:40,Congrats @astros. Let's goooo!!!!! Let's get it!!! #StayTheCourse #LockedIn https://t.co/23SpBJk7TH
920555403817074689,2017-10-18 07:41:26,"Prayers up @gordonhayward. Wishing you a healthy recovery. 
"
917773174502248449,2017-10-10 15:25:50,Keep your head up bro!  We got your back just like you got ours. #HoustonStrong. Everyone send my bro some positive vibes today. @JJWatt 
916507111282106368,2017-10-07 03:34:57,"Shout out to the best beard in hockey lol Welcome to #Teamadidas, @Burnzie88."
916367388890718208,2017-10-06 18:19:45,: Respect your passion https://t.co/KtbkaRZaVr
916010188280172544,2017-10-05 18:40:22,RT @DrinkBODYARMOR: ❗️BREAKING: BODYARMOR is NOW the OFFICIAL Sports Drink of #UFC.  #Switch2BODYARMOR #ObsessionIsNatural @UFC @UFCPI htt…
915688320256102400,2017-10-04 21:21:22, https://t.co/WNcpG2CuzX
913867015726739456,2017-09-29 20:44:10,@Zheng34568 @Cristiano @EASPORTSFIFA Thanks!
913814254800769024,2017-09-29 17:14:30,RT @JHarden13: @Cristiano @EASPORTSFIFA . @Cristiano #ElTornado isn't just for you soccer players   #FIFA18 @easportsfifa https://t.co/1N…
913814059518234624,2017-09-29 17:13:44,@Cristiano @EASPORTSFIFA . @Cristiano #ElTornado isn't just for you soccer players   #FIFA18 @easportsfifa https://t.co/1NcZHZ9Q8B
