id,created_at,text
986791398803476481,2018-04-19 02:19:37,@buqramen PS 67 in fort Greene Brooklyn.  The school he went to as a kid.
986352475669188611,2018-04-17 21:15:30,"@The_Bestlake Lucali, Roberta’s, Paulie Gee’s, Di Fara.  All in brooklyn."
984080518747688963,2018-04-11 14:47:33,@DavidBaumannORL @OrlandoMagic Congrats!!!
984078522875633666,2018-04-11 14:39:37,@BillSimmons @SteveKerr @HousefromDC Always a good meal there!  Great spot
983825783457243136,2018-04-10 21:55:20,@chikadunga Suggestions?
982974045435121664,2018-04-08 13:30:49,@andy_juan @JordanTeicher 🤐
982666051036110850,2018-04-07 17:06:58,@roys_chris @RJSolz It’s been discussed.  More of a time/set up issue at this point.
982652037111435265,2018-04-07 16:11:17,@MarquisDaily Lol I do that before every game and amir knows that I do it.  It’s why we dap closed fist on the wrist
982247526345588738,2018-04-06 13:23:54,@RJSolz Thanks!!!
982247350969155584,2018-04-06 13:23:12,@frederikblad Have not.  On the list tho!!
982244008196849669,2018-04-06 13:09:55,"New pod is live.  Thanks for sending in your ?s.  The #mailbagpod is lit .

Link- https://t.co/yCkdMiLW43

iTunes… https://t.co/X7D3wmBzCh"
982011339643281408,2018-04-05 21:45:22,@World_Wide_Wob I don’t know how u concentrate with all the construction noise
982007000950329345,2018-04-05 21:28:08,@ringer @sixers Sweet leg cross
981368114398027776,2018-04-04 03:09:26,@GregoireNYC @BoweryBoys A Brooklyn Dodgers show would be awesome .  Love the show!!
980620340098412544,2018-04-02 01:38:02,@hawaiigirl3 .  Thanks!  Happy Easter!
979914219184369664,2018-03-31 02:52:10,"I see u, fam.   @JCrossover"
979379668053880832,2018-03-29 15:28:03,@mryan311 Falling Upward!
978777865151016965,2018-03-27 23:36:42,Not often you get to sit down and chat with one of your favorite players ever...this afternoon was great.   Pod com… https://t.co/Uu8zVki6Mh
978445730938589184,2018-03-27 01:36:55,Happy to see you back out there ballin @MarkelleF 
978060899683627008,2018-03-26 00:07:44,Can I Venmo you? https://t.co/G4Zjz1UVFT
975938199531945984,2018-03-20 03:32:53,@Nursery_Rymz Thanks brother!  He does nice work
975935838692544512,2018-03-20 03:23:30,@Nursery_Rymz He’s in NYC
965443290324664320,2018-02-19 04:29:52,Please read.  Thank you. https://t.co/phL6v7Voeb
965277620823822336,2018-02-18 17:31:33,Just saw a video that is being circulated of me wishing a happy new year to NBA fans in China.Clearly I was tongue… https://t.co/0svxVPZ4wn
964532032549343237,2018-02-16 16:08:51,@Danoekerman Thanks for listening and for kind words!
964333403456884737,2018-02-16 02:59:34,@Rockylooch Thank u
964333183394304000,2018-02-16 02:58:42,@JoshMondonedo Easy- Vernick
964274825572339714,2018-02-15 23:06:48,@TroyTaroff @MNightShyamalan Thank you!
964237954280456192,2018-02-15 20:40:17,"@KevinOConnorNBA @MNightShyamalan Thanks, Kevin!!"
964237880863358977,2018-02-15 20:40:00,@joemcginnissjr @KevinOConnorNBA @MNightShyamalan Lol
964209775776096261,2018-02-15 18:48:19,RT @ringer: This week on 'The @JJRedick Podcast': Director @MNightShyamalan joins to discuss repping Philadelphia and viewing basketball th…
964209016057487360,2018-02-15 18:45:18,@DanWoikeSports Headphones...
964136713084948480,2018-02-15 13:57:59,@notthefakeCasey @MNightShyamalan Lol so true
963974335018012672,2018-02-15 03:12:45,@marcobelinelli you’re a legend for this https://t.co/3i3iFCWha1
963836090753994753,2018-02-14 18:03:25,@RichardRohrOFM today’s daily meditation was awesome (as always).  Thank you.
963765669190922240,2018-02-14 13:23:36,@Pierre_Bonnefoi Thank you so much for the kind words and for listening
963756305176506368,2018-02-14 12:46:23,New pod coming.  .  Had a chance to sit down with film legend @MNightShyamalan.  He’s also a huge Philly sports… https://t.co/xeU0VNzivI
962545434332942336,2018-02-11 04:34:49,@HeyHeyMichaela Thank you!!
962026981750587392,2018-02-09 18:14:40,"@JOEL9ONE hello, my friend.  Looking to connect with you on something."
960351966688940039,2018-02-05 03:18:45,"RT @sixers: WE’VE USED THIS GIF SO MANY TIMES BUT WHO CARES THE @EAGLES ARE YOUR #SUPERBOWL CHAMPS!

#FlyEaglesFly x #BrotherlyLove https:/…"
959475647302328320,2018-02-02 17:16:35,@TheoHaumesser @TJMcConnell Thank you!
959475386022334464,2018-02-02 17:15:32,"RT @BillSimmons: New! @JJRedick did a pod with his @sixers teammate and basketball soulmate, @TJMcConnell 

https://t.co/n37oPaGRKW"
959399028592177154,2018-02-02 12:12:07,New podcast  ...I’m joined by teammate @TJMcConnell- an unlikely hero of The Process.  @ringer https://t.co/R0dbawrNHq
957670905467101184,2018-01-28 17:45:11,@judahandthelion Oh wow.  Thank you!!!  I’m a big fan.  Don’t know if I can come to show in philly- we have a game.… https://t.co/IQjyjBSNri
956721298062954496,2018-01-26 02:51:47,@PaulRabil @MattJPBailey How do we make this happen?  I will gladly be a guest on yours anytime
956531579186184192,2018-01-25 14:17:54,@LibzDaSlinga @ThierryHenry Thank u
955970779782504448,2018-01-24 01:09:29,@mikeykauf Possibly 
955940041037139968,2018-01-23 23:07:20,@Coach_McNamara I’m sure you can still shoot the sh#t out of the ball!  
955902469749518336,2018-01-23 20:38:03,@BenJaminKunkel2 Thank you!  
955498251339419651,2018-01-22 17:51:50,@AleBedoya17 Thanks!
954835590532554752,2018-01-20 21:58:39,@NabilDhirani @MenInBlazers @rogbennett @BillSimmons @embassydavies @AlexiLalas 🤔.  We had a lot of the same classe… https://t.co/bL1QdCeX9y
954518974796042240,2018-01-20 01:00:32,@GroverTheRed @ThierryHenry Thank u!
954394228318179329,2018-01-19 16:44:50,@MBromberg @ThierryHenry Thank you!
954344242125688832,2018-01-19 13:26:12,@AndreDrummond @TLSportsMedia @DwightHoward @KingJames How am I not on this list??  #JamesClay #rapsupergroup
954343355860901888,2018-01-19 13:22:41,"@odaskal Thank you, my friend!"
954328722819244038,2018-01-19 12:24:32,@JonathanSafir Thank you sir
954116598775902215,2018-01-18 22:21:38,@NikoYeganian Thank you!
954116149658226688,2018-01-18 22:19:51,"@ameansy @ToddStender Guys..I believe dinosaurs existed.  Means, what up!!!"
954103963242115072,2018-01-18 21:31:25,@TNol9 @jonbalfour11 Fine.  Tell him last chance or else...lol
954097272433803264,2018-01-18 21:04:50,@TNol9 @jonbalfour11 What did he do?
954008366635941889,2018-01-18 15:11:33,I had a blast recording this pod with soccer legend @ThierryHenry while we were in London last week....give it a li… https://t.co/jckqXpvo29
953379044837527552,2018-01-16 21:30:51,@drewlazor @KyrieIrving The dinosaur thing has been distorted- it’s just a small part of the pod.  Open it.  It’s not a scary medical bill.
953359851228409858,2018-01-16 20:14:35,@BigMcLrgHuge Best reply yet
953283725424553984,2018-01-16 15:12:05,I feel like I need to do an emergency pod explaining the schematics of the Staples Center locker rooms
953087533705023489,2018-01-16 02:12:30,@hawaiigirl3 I think I will be ok :)
953084967256494080,2018-01-16 02:02:18,I see you @gtrentjr2 ...#goduke
953043231733886976,2018-01-15 23:16:27,Joel Embiid #nbavote #dotherightthing
953043018831024129,2018-01-15 23:15:37,Ben Simmons #nbavote #dotherightthing
953042884340707328,2018-01-15 23:15:04,"RT @JoelEmbiid: Last day, RT THIS FOR ONE LAST TIME. Appreciate the support. TRUST IT!!!! 

Joel Embiid #NBAVote"
953033047133351936,2018-01-15 22:35:59,@Blank_For Thanks
952898490610405376,2018-01-15 13:41:18,"@bealj22 @jer22pur Unfortunately, I won’t be there today.  There was some miscommunication and I have to be with my kids after the game."
952352368284307458,2018-01-14 01:31:13,@Weegduff My friend sent me this yesterday.  So true.
