id,created_at,text
987694107601485824,2018-04-21 14:06:40,You see this @jasonrmcintyre?!! Can’t possibly be a worst stain then the MAVS series if he losses.. Doing everythin… https://t.co/UoUK7HGWFa
987565360466440192,2018-04-21 05:35:04, https://t.co/dc1E2OpqE3
987500394615001089,2018-04-21 01:16:55,If that happens the league will change July 10th!!!!!! https://t.co/dwG7FPzb5k
987470906795614208,2018-04-20 23:19:45,🤦‍♂️ https://t.co/KDdP6lCpAe
987357256139227136,2018-04-20 15:48:08, https://t.co/zk7cXVNVG6
987343884932890624,2018-04-20 14:55:00,Crazy! 🤦‍♂️ heard teams don’t even provide food for players after the games. Most teams are in small cities so res… https://t.co/PrPCqyzh2S
987339260532408320,2018-04-20 14:36:38,I need to see that break down not including 2 way players https://t.co/5tcWhtaNgN
987167305233711105,2018-04-20 03:13:20,It’s all about the right situation.. very rarely you get better after year 10.. Just become more wiser https://t.co/jpB4n0Y437
987166287515107328,2018-04-20 03:09:18,When he’s a 100% healthy he’s a top 5 player in the league https://t.co/LlwaalGVeT
987075280484286464,2018-04-19 21:07:40, https://t.co/u0hJmV4NUA
987013341259296768,2018-04-19 17:01:33,Makes sense now https://t.co/U3c5hw0Q5W
986764771834736640,2018-04-19 00:33:49,  https://t.co/jTArdk3kMb
986722214648033280,2018-04-18 21:44:43,Since rondo injury he hasn’t been a max player.. But he still very good and team like MAVS and Bulls during reg sea… https://t.co/LY1PxBbppe
986483046143614977,2018-04-18 05:54:20, https://t.co/d0I8OMJoV6
986473447520747521,2018-04-18 05:16:12, https://t.co/BRBw71M9Fl
986473214418104320,2018-04-18 05:15:16,I’ll bet that  https://t.co/sfkCloiWcq
986469636739756032,2018-04-18 05:01:03,It’s all about finding the right team! https://t.co/EKkjAiZXy0
986467294292279297,2018-04-18 04:51:45,When Rondo was on the MAVS a lot of people on Twitter was talking real bad about him.. Since then outplayed Bos and now the Blazers
986451608396414977,2018-04-18 03:49:25,Probably! Most teams own their G league.. Would need to put about an extra 1 million for salaries and lifestyle to… https://t.co/hDrRaVzf84
986449283594383360,2018-04-18 03:40:11, https://t.co/pQFe2Fjwvn
986448852122136578,2018-04-18 03:38:28,"I’ve talked about this with players, union, and teams..Have to figure a way to keep our best players here https://t.co/NKZb7Z9fWv"
986427074448535553,2018-04-18 02:11:56,It wouldn’t be nearly enough for him https://t.co/xoPm3Hzcp8
986366498997338112,2018-04-17 22:11:13,The guy in the article @MGoldstick is my Tax guy! One of the best in the business! https://t.co/h6FdJbt07T
986117352080064512,2018-04-17 05:41:12, https://t.co/oRgWypZHPz
986110159272402947,2018-04-17 05:12:37,Embiid never change! https://t.co/br9eHT8Zrp
985979157782786048,2018-04-16 20:32:04,Best city in the World!! https://t.co/6Lcur65xVr
985948855299596288,2018-04-16 18:31:39,@ShalaneFlanagan
985707450237042688,2018-04-16 02:32:24, https://t.co/d3qDVaaHfH
985700270737735682,2018-04-16 02:03:52,Max coming this summer https://t.co/jnlC6PexpN
985625268776722432,2018-04-15 21:05:50,Never https://t.co/fCtZz03VDL
985624609360773120,2018-04-15 21:03:13,Is this really news?!! https://t.co/uszcdjD4LN
985614811789574144,2018-04-15 20:24:17, https://t.co/nojeaUpKlT
985608386770173952,2018-04-15 19:58:45,"Is this his fault? I’m pretty sure he wants to play, but the lakers rather play their young guys https://t.co/7H7SAEfBek"
