id,created_at,text
857050284794802177,2017-04-26 01:54:45,OKC must be Reggie Miller's favorite team 
845483829007667200,2017-03-25 03:53:47,GO BIG BLUE!!!!
843606220003037184,2017-03-19 23:32:50,Survive and advance! Sweet 16 #youhearmeeee
843536417594793984,2017-03-19 18:55:28,Bout to watch my young Boys. #BBN
828435481331453952,2017-02-06 02:49:44,Juliooooooooooo!!!!!!!
821594039627763712,2017-01-18 05:44:18,Follow @mooddarcel ...young up and coming hip hop artist!
820382493031268353,2017-01-14 21:30:02,Dirty Birds!!! Let's go fellas!
817968620919586816,2017-01-08 05:38:11,Need a new show to watch on Netflix...HBO ..or Showtime...give me somethin!
804053825309081602,2016-11-30 20:05:45,Great win last night fellas!!
801946764249071616,2016-11-25 00:33:02,It should still be like 4mins on the clock. Does it only stop under 3mins if you get out of bounds or something??
801946539744722944,2016-11-25 00:32:09,Why was the clock still running and they kept going out of bounds?? Somebody please explain to me bc I thought it was suppose to stop
794032415975018496,2016-11-03 04:24:15,THis game hype!!!
792871528425787392,2016-10-30 23:31:17,Gametime!!!! Rise up!!
790404899863465984,2016-10-24 04:09:47,This game man....GOTTTTT!!
788144163229433856,2016-10-17 22:26:26,@TeamLou23 SNOW DAT!!!!
787876607553736704,2016-10-17 04:43:15,Maya Moore Real Deal. Gwinnett County stand up!!! 
785239997876023297,2016-10-09 22:06:19,My falcons lookin good!!! 
778704699339923456,2016-09-21 21:17:22,R.I.P.  Shawty Lo.
776463875805945856,2016-09-15 16:53:08,Follow @shoegasmatl on IG. Exclusive kicks!
776449671069831169,2016-09-15 15:56:41,Football on again tonight! 
775500851687358464,2016-09-13 01:06:25,That man was twerkin???? 
771843405584490496,2016-09-02 22:53:02,Hurricane season!! 
770401353042628608,2016-08-29 23:22:50,Mannn. Lookin forward to getting back on the court! #daybyday
769412971927855104,2016-08-27 05:55:22,Appreciate ya @Ronnie2K @NBA2K https://t.co/i0HCfCvmMe
767486906967924736,2016-08-21 22:21:52,Thanks everybody for the bday wishes!
761073622412734464,2016-08-04 05:37:46,Goodnight World!
760086503880060928,2016-08-01 12:15:18,Mood...#HappyMonday https://t.co/oE2dWMVawo.....
749720296681312256,2016-07-03 21:43:42,@OrlandoMagic @AmwayCenter I feel like I'm home!
749720181237317632,2016-07-03 21:43:14,"RT @OrlandoMagic: .@jmeeks20 putting the @AmwayCenter practice court to use for the first time. #Buckets #LockedIn
https://t.co/yC9IkpzMzL"
744741085872799748,2016-06-20 03:58:06,I hope all the fathers out there had a very blessed Father's Day! Goodnight world!
744721741126078465,2016-06-20 02:41:14,Lebronnnnn Jamessssssssss!!!
736390280195280897,2016-05-28 02:54:58,Say what you want about Lebron. He's a winner man! No denying that.
723229223738040320,2016-04-21 19:17:38,R.I.P. Prince!
720475253164613632,2016-04-14 04:54:20,Mamba!!!!
720453838650634240,2016-04-14 03:29:15,Congrats Kobe Bean! Enjoy retirement brotha! You deserve it champ! #sadtoseehimleave
717191649277952000,2016-04-05 03:26:28,Wowww! What a shot
711083260386930688,2016-03-19 06:53:55,Maybe I should jus start flipping coins to pick who will win in my bracket for these games! Can't get any worse lol
710609159268401152,2016-03-17 23:30:00,Guard from little rock got heart CUZ! Lol...Great game!
710568496413933568,2016-03-17 20:48:25,https://t.co/9uOnlmZbsJ ----my High School Coach wins again! I love it!!!
709445499808583680,2016-03-14 18:26:02,Wow thanks @powerhandz for the gear! Appreciate ya! https://t.co/HNp0bk6JXe
709109751167188992,2016-03-13 20:11:53,Go Big Blue!!!!
706711672791166976,2016-03-07 05:22:47,Congrats to my former coach Tubby Smith for winning coach of the year! Happy for you!
702489510140051457,2016-02-24 13:45:25, https://t.co/6HPt03wVGF
702489234658168832,2016-02-24 13:44:19,"""Even if she go away ...Even if she go away....."""
701961779157606400,2016-02-23 02:48:24,Great win tonight!!!
698238774996824066,2016-02-12 20:14:31,Good to be home...#Atlshawty
696530691195039744,2016-02-08 03:07:12,Denver was better tonight...Good to see Peyton  go out wit a bang! #welldeserved 
696515778527383552,2016-02-08 02:07:56,Denver lookin pretty tough so far. Panthers need to get somethin Goin quick!
696508445537800192,2016-02-08 01:38:48,Bruno a fool! 
696444070105747456,2016-02-07 21:23:00,Panthers or Broncos???
691048530257915904,2016-01-24 00:03:03,Mich State jerseys Fresh!
691010067701760000,2016-01-23 21:30:13,"@djkhaled yo send me a ""major key"" shirt...they don't want me to have it! Lol...#theydontwantmetohaveone"
690673783368122370,2016-01-22 23:13:56,"""Seen this bad lil Jawn...she was perfect!"""
686777579781505025,2016-01-12 05:11:49,Great game! Bama jus a little too strong....way to keep it in the SEC fellas...Roll Tide!! Lol
686772507119108096,2016-01-12 04:51:39,Gone be tough for Clemson to get this Dub!
686768084636536833,2016-01-12 04:34:05,Wowww!! The trickery!
684234784340602880,2016-01-05 04:47:39,That Boy Buddy Hield is Nice!!!
682821839312318464,2016-01-01 07:13:07,Happy New Year everybody! Appreciate everyday and strive to be better each and every year!
681203820026802177,2015-12-27 20:03:41,What a catch Julio!!!
680109995908808704,2015-12-24 19:37:13,Thanks @BrooklynBedding for the incredible bed! Needed one! #Bestmattressever https://t.co/WNz2QUr6O8
676865784958857216,2015-12-15 20:45:53,Yo DJ Khaled is a fool on snap 
662863122093514752,2015-11-07 05:24:18,Dumbest Tech I've ever seen in my life 
661409268638330880,2015-11-03 05:07:12,Ooooo Nooooo!!!!
660121333888589824,2015-10-30 15:49:25,"My Dad always told me ....""Positive things happen to Positive Thinkers"" ... Ima come back stronger!"
658453330251902976,2015-10-26 01:21:22,Dirty Birds....6-1!!! I can digggg it!
658344066896273408,2015-10-25 18:07:11,R.I.P. Flip Saunders!
653782025065906177,2015-10-13 03:59:16,Mike Vick balled out!!
653298485161275392,2015-10-11 19:57:51,Dirty Birds!!!!!!
650728611763236864,2015-10-04 17:46:05,Dirty Birds!!!!! Need another Win!
648251839406809088,2015-09-27 21:44:17,Good win Dirty Birds!
648213060746764288,2015-09-27 19:10:11,That boy Julio ballinnnn
647867727852519425,2015-09-26 20:17:57,JumpMan JumpMan JumpMan JumpMan JumpMan JumpMan
646739961149018112,2015-09-23 17:36:37,RT @thinkiminthe90s: Thanks to the rookies http://t.co/UPQ6mS2Yxr
645497326283288577,2015-09-20 07:18:50,My Falcons boys got the Giants Tomm! Let's get this dub!
645330139732029440,2015-09-19 20:14:29,C-A-T-S.....CATS CATS CATS!!!!
643608359426465792,2015-09-15 02:12:45,Ayeeee good first win! #falconnation
643562842466185217,2015-09-14 23:11:53,Dirty Birds!!! Let's go!
643269511106424832,2015-09-14 03:46:17,Woww great game!
642918268517392384,2015-09-13 04:30:34,Yea Floyd!!! #swag
642855472584912896,2015-09-13 00:21:02,Oregon Jerseys always tough!!
642413526032777221,2015-09-11 19:04:54,Don't worry bout it @serenawilliams shake it off get next one!
642408112209707008,2015-09-11 18:43:23,Cmon Serena!!!
