id,created_at,text
987704105501188097,2018-04-21 14:46:24,Year 1 of my fantasy camp at the @warriors practice facility was one for the books - sign up is open now for this y… https://t.co/IoOK2A4oVW
987703791003856896,2018-04-21 14:45:09,RT @overtime: THIS IS WHAT YOU DO  @teamdurantaau @KDTrey5 @RMBWilliams https://t.co/3VKTJ0Upz5
986973598689751040,2018-04-19 14:23:37,Big honor for me to be on this year's #TIME100 list. Thanks @cue for the kind words! https://t.co/OlcoRZMggj
984460049048391680,2018-04-12 15:55:40,Some of the best from @javalemcgee Parking Lot Chronicles through the season - watch em all if you missed them… https://t.co/RKwtSUivnY
984459915761782786,2018-04-12 15:55:08,RT @warriors: A message from @KDTrey5 &amp; @D_West30. #StrengthInNumbers #DubNation https://t.co/oZBbqp99Lz
982273678594289664,2018-04-06 15:07:49,Congratulations to my friend @CoachOG on becoming the next head coach for UT Arlington.  He is the true definition… https://t.co/74TNm3wcMY
981559731847335936,2018-04-04 15:50:51,RT @jack: I can’t imagine what our friends at YouTube are feeling and dealing with right now. We‘re here for you and your families and frie…
981559150785257474,2018-04-04 15:48:32,RT @RonConway: Another senseless shooting in our own backyard @YouTube. After #Parkland we said #Enough &amp; #NeverAgain &amp; we #MarchedForOurLi…
980936261878730752,2018-04-02 22:33:24,RT @teamdurantaau: First episode of 35 Degrees with LT! Follow the teams with LT throughout the season. Don't miss out!... https://t.co/quZ…
979887170830954496,2018-03-31 01:04:41,"RT @PlayersTribune: ""This should’ve been the best year of my life — and it was, for a while. Until I turned it into a nightmare.""

@Dardoch…"
978819709268246528,2018-03-28 02:22:58,@MikeWiLLMadeIt you already know how it is!! 
977687675133100039,2018-03-24 23:24:40,"RT @warriors: ""Just that her name is in the sneaker world &amp; the basketball world, it rings louder &amp; louder every year."" - @KDTrey5 on the @…"
977359280553816064,2018-03-24 01:39:45,RT @RonConway: In Washington DC for the #MarchForOurLives! Proud to join these national leaders and the #Parkland students fighting to stem…
976140871069585411,2018-03-20 16:58:14,Checking out who's got next! Part 3 with @overtime https://t.co/ukJ5iQdBW9
976136654829359106,2018-03-20 16:41:28,"RT @overtime: Kevin Durant Breaks Down Top HS Players Part 3 | KD on Mac McClung, Jordan McCabe, Bol Bol, Andre Ball &amp; Tyler Herro  Full V…"
975793996642570242,2018-03-19 17:59:52,Had some fun with the Google Assistant in their new ad...#HeyGoogle remind me to order more gummy bears. https://t.co/wLD2pPEubD
974309649339076608,2018-03-15 15:41:36,RT @thirtyfivemedia: Watch the Oscar-worthy season finale of Parking Lot Chronicles with @JaValeMcGee &amp; @KDTrey5 now: https://t.co/mRDrUNOG…
974309552954003456,2018-03-15 15:41:13,Parking Lot Chronicles season finale!! Show @javalemcgee some love https://t.co/9rfC982eTD
973959091784740864,2018-03-14 16:28:37,Don't sleep on my first video with @michaelrapaport. Got a new episode of Parking Lot Chronicles coming this week f… https://t.co/rqKFF7atTD
973252587183943680,2018-03-12 17:41:13,@SteveCahill12 someone’s upset
973250678414979073,2018-03-12 17:33:38,"@boggerVB didn’t mean to hurt u this morning, I’ll unlike immediately. "
973249500725706752,2018-03-12 17:28:57,@ZaayWoop u mad I liked a post on Twitter? Really bruh?
973244803889602560,2018-03-12 17:10:17,@Irishodonnell5 🤘 no doubt! Thanks for coming to the game
972184279760371713,2018-03-09 18:56:09,Got to check in on progress at the Durant Center on our trip to DC - crazy to watch it come to life… https://t.co/hE3ePSU1E4
971789114965221376,2018-03-08 16:45:54,My guy @MichaelRapaport talks a big game but at the end of the day you know he's a fan. Watch #Rapaport:… https://t.co/pDmBBLN7Wj
970734953582379008,2018-03-05 18:57:02,Here we go!! Watch the new @michaelrapaport series here: https://t.co/5VQSSBnMpJ
969997479348441088,2018-03-03 18:06:35,RT @MichaelRapaport: Special Guest @KDTrey5 joins us on a brand new episode of the #ShameGame @deanrcollins COMING SOON https://t.co/BFhogr…
969596984905658370,2018-03-02 15:35:10,New series on my @YouTube with @MichaelRapaport!! https://t.co/bHEFZhrKBU
967128974605381632,2018-02-23 20:08:10,"The Durant Center has been a dream of mine for a long time, excited to announce it's finally happening in Prince Ge… https://t.co/KahquEdMbg"
966817047173894144,2018-02-22 23:28:41,RT @SteveNash: I'm so inspired by the young people in America standing up for their future. I really believe it's our best chance to see ch…
964562988731719680,2018-02-16 18:11:51,"LJ and I are locked in for #NBAAllStar: https://t.co/efYJH7YKCV
#rollingwiththechampion https://t.co/2cAJVjEhB9"
964522055239643136,2018-02-16 15:29:12,More from my ride with @CariChampion @KingJames up on my YouTube now https://t.co/PGIQipcNxn
964227476187729920,2018-02-15 19:58:39,Thanks for the love @nytimes https://t.co/oh3WP3XjWR
964200729811587072,2018-02-15 18:12:22,Rolling with @carichampion @kingjames: https://t.co/uRkwepGMc0 https://t.co/cmEE5YHpef
963938420572803073,2018-02-15 00:50:03,"RT @SkydioHQ: Skydio R1 understands and acts in the world through the Skydio Autonomy Engine, which combines breakthrough technology in adv…"
963835647533441025,2018-02-14 18:01:40,"RT @THR: Sports media startup Overtime raises $9M from Andreessen Horowitz, @KDTrey5 https://t.co/TqpEvS1OTN https://t.co/yfJo8g0Czs"
963494119095046144,2018-02-13 19:24:33,RT @THR: .@KDTrey5 is prepping a scripted basketball drama for @Apple https://t.co/4Zp9a8K182 https://t.co/oWxxlvabbb
963481108552790027,2018-02-13 18:32:51,So excited to partner with Imagine and Apple on this series...much more to come @richkleiman @thirtyfivemedia https://t.co/ZC21fSkXIe
963444822274117633,2018-02-13 16:08:40,"RT @SkydioHQ: This is Skydio R1 Frontier Edition: a self-flying camera that knows what to film and flies itself to get the best shot, letti…"
962364663009865728,2018-02-10 16:36:30,New Parking Lot Chronicles alert!! @javalemcgee @derekcarrqb @casspi18 https://t.co/xaobuGk7IF
961713265909862402,2018-02-08 21:28:05,RT @RMBWilliams: It’s Official @KDTrey5 @TeamDurantAAU has joined the @NikeEYB &amp; will be Playing 16’s this Summer! #KevinDurant #NBA #NBAAl…
958384868924289024,2018-01-30 17:02:13,Big episode of PLC up now! @javalemcgee @stephencurry30 @michaelrapaport @imanitrishawn_  https://t.co/sbn116GqWp
956599089466134528,2018-01-25 18:46:10,"RT @TheUndefeated: As we continue our State of the Black Athlete series, @KDTrey5 pens a letter to his neighborhood, and reflects on growin…"
956198612198866944,2018-01-24 16:14:49,RT @CNTraveler: The Alaska Airlines/Virgin America merger has the potential to be one of the best airlines in the country https://t.co/6OCh…
955582462427521024,2018-01-22 23:26:27,Great day in the bay! What up?
955555688364752897,2018-01-22 21:40:04,"This was a fun one, check it out: https://t.co/hqZAmtofZh https://t.co/Ywni5ReShA"
954546723610914816,2018-01-20 02:50:48,RT @richkleiman: Check it out https://t.co/NuXjDCITff
954074312633405440,2018-01-18 19:33:36,"RT @nealmohan: Thrilled to partner with Thirty Five Media, @richkleiman and @KDTrey5 to help sports stars launch YouTube channels and creat…"
954046534622109701,2018-01-18 17:43:13,RT @KarlTowns: I finally made a @YouTube channel! Check it out for all access to my life on &amp; off the court &amp; more.  Subscribe &amp; enjoy! htt…
953690265834999808,2018-01-17 18:07:32,Thank you for all that you do brother @Kaepernick7 https://t.co/1KYcjBEqdY
