id,created_at,text
969344302471172096,2018-03-01 22:51:05,"Had a great time with a few trill ones! My big bro Ticket, OG Bun B and my Homie Big Krit. Great time and great mem… https://t.co/1XsEG0N6J7"
621179876607852545,2015-07-15 04:49:58,@ThirtySecFights wow
621133870608486400,2015-07-15 01:47:09,@bmoe_careful yup
620414944421523457,2015-07-13 02:10:24,@bmoe_careful Beaumont is the same way now
620368656690728960,2015-07-12 23:06:28,@GEO_G1 I don't even have a Facebook! Lame
620262833973030912,2015-07-12 16:05:58,RT @yellow_DYMANDs: there's nothing worse than a grown man who sits on social networks begging for attention &amp; sympathy.. NOBODY CARES!
620060295717908480,2015-07-12 02:41:09,@ReggDeLeon @DH_in_HD lol
619139420227158016,2015-07-09 13:41:55,@Derego lol!
614824282271559680,2015-06-27 15:55:06,@russwest44 
614806780724404224,2015-06-27 14:45:33,Who Up?
606575055858855936,2015-06-04 21:35:37,TheLand✊✊✊✊ #Cavs
604763335746125824,2015-05-30 21:36:29,@JordanHunter8 word lil homie✊✊✊✊
603707102809337856,2015-05-27 23:39:24,@bmoe_careful real talk
603706902833332224,2015-05-27 23:38:36,@bmoe_careful I gotcha you a finals cap
603639278795628544,2015-05-27 19:09:53,4th Finals appearance and I just want to Thank the @cavs and The state of Ohio for welcoming me to the Family! #Blessed ✊✊✊✊
603425500397064192,2015-05-27 05:00:25,@ToeToe24_ ✊✊✊✊✊
597398576566824960,2015-05-10 13:51:34,Happy Mothers Day to all the wonderful Moms out there! Hope everybody have a blessed day! 
596878971247144960,2015-05-09 03:26:50,@ToeToe24_ 
595686407865262081,2015-05-05 20:28:01,@bmoe_careful smh! What?
595683156629532674,2015-05-05 20:15:06,Stay with it✊✊✊✊✊✊
594706787099545600,2015-05-03 03:35:21, Time @FloydMayweather
594705915535724545,2015-05-03 03:31:54,@CeeBoogie ✊✊✊✊✊
594699051980828672,2015-05-03 03:04:37,@DonnyLuche word! You know what it is
594698193331355649,2015-05-03 03:01:12,@DonnyLuche you know you gotta roll with ya boy
594698135827451904,2015-05-03 03:00:59,@DonnyLuche lol
594697790711681024,2015-05-03 02:59:36,@DonnyLuche chill
594690830381686785,2015-05-03 02:31:57,This Game 7 tho
594689370034049025,2015-05-03 02:26:09,@royceyoung I agree
594674666012213248,2015-05-03 01:27:43,It's about that time! TMT who I'm riding with 
594242458550075392,2015-05-01 20:50:17,"RT @TigeeDwayne: It symbolizes how I'm enterprising, I came from lint in Dickie pockets so I'm emphasizing"
594186885896900608,2015-05-01 17:09:27,I'm rolling with the Money Mayweather in 7✊✊✊✊✊
593571829614182401,2015-04-30 00:25:26,@KellzRawUnKut lol
593136243908608000,2015-04-28 19:34:35,@bmoe_careful  I can't breathe
592031194499407872,2015-04-25 18:23:30,@bmoe_careful yup
590888567791980544,2015-04-22 14:43:07,@bmoe_careful they need to know what type of animal they got
590888243882688513,2015-04-22 14:41:50,@bmoe_careful chill
589953578929823744,2015-04-20 00:47:48,@JP_Izzzz_Me 
588753405616599040,2015-04-16 17:18:45,@MIDDUB10ST you mad huh?
588749492570062848,2015-04-16 17:03:12,Good morning my good Peeps!!! #ChasingAnotherRing
588092703038124034,2015-04-14 21:33:21,@iLikeTallGrass @Fifagod_47 must be pulling them dudes! Got off my page Lames
588092367619674112,2015-04-14 21:32:01,@Fifagod_47 @iLikeTallGrass don't Yall have some lil females or something instead of worrying about another man! 
588092202196295680,2015-04-14 21:31:21,@Fifagod_47 @iLikeTallGrass he don't have enough money to play me 1 on 1
