id,created_at,text
985157276750237697,2018-04-14 14:06:12,Preach “PrimeTime”! Once u understand that you’ll be better off. #Facts #HandleYourBusiness ✊ https://t.co/YMwYp1m77d
983573999690158080,2018-04-10 05:14:50,RT @FOXSportsOH: LeBron James becomes the only player in NBA history to win 10 straight division titles  https://t.co/tNPkyc5TnY
983573742189236224,2018-04-10 05:13:48,"RT @NBA: Power in #PhantomCam

#AllForOne https://t.co/tXIHjCkVc1"
983544585086529537,2018-04-10 03:17:57,All love and respect Young King 🤴! Good luck with the draft and do work at the next level.  https://t.co/E0lG7xXjbx
983341526930554880,2018-04-09 13:51:04,"Just heard a new @jerreau track! SHEESH!! “Y’all big lame, probably run your own fan page. My wave man made and I a… https://t.co/YeYRWXuylg"
982463907792121856,2018-04-07 03:43:43,@MikeMiller_13 Thanks my brother!!! 
982021236002820096,2018-04-05 22:24:42,Can’t wait to go see it! Wife and I be waiting so patiently. #HorrorHouseWeHave https://t.co/0R9Lg9om9B
981703138867662848,2018-04-05 01:20:42,"RT @bycycle: LeBron’s documentary on the Civil Rights Movement debuts tonight.

Another step toward a media empire. https://t.co/6DkHwbpNBT"
981698290466131969,2018-04-05 01:01:26,Nick the Quick was a Animal out there! Go check the highlights
981698022269685760,2018-04-05 01:00:22,. https://t.co/hdP1K0mSk5
981676221057634306,2018-04-04 23:33:44,Yes Tonight! Very important ✊ https://t.co/VS6BWoaqgy
981585303218597889,2018-04-04 17:32:27,"RT @SpringHillEnt: #MLK: ""Our lives begin to end the day we become silent about things that matter.""

Today we honor Martin Luther King Jr.…"
981555294449913856,2018-04-04 15:33:13,"RT @LJFamFoundation: ✨Lights  Camera Action!
Our 6th Graders are on and behind the scenes at our favorite news station @WKYC! Students ar…"
981195273912422400,2018-04-03 15:42:37,I shed a tear or 2 every single time this episode comes on! Can’t help it🤷‍♂️. I’ve had that same feeling my whole… https://t.co/adnMBfPKI6
980943154441580545,2018-04-02 23:00:47,"RT @LJFamFoundation: Dressed and ready to impress!Another successful PROM PROMISE hosted by Savannah.
 
Each Prom PROMISE participant rece…"
