id,created_at,text
976977517713137665,2018-03-23 00:22:46,Want to meet me and have a drive on the BMW M Tracks? Here’s your chance – https://t.co/TNRFc6Ka6w #bmw #Mschool… https://t.co/LqqwOWS6hX
976528048387375105,2018-03-21 18:36:44,RT @chocolate_milk: Her game is speed &amp; power. Ours is recovery. An unstoppable combo. Proud to welcome @SloaneStephens to #TeamChocolateMi…
970798444766883840,2018-03-05 23:09:20,"Excited to announce my new banking partner, @OpusBank. The #officialbank of the @ThompsonFamFoun, they have a team… https://t.co/Dem87TOMuq"
970381810264719360,2018-03-04 19:33:47,Excited to meet everyone who purchased the limited edition KT3 Rocco! See you at 5PM! https://t.co/EXHZXuPAKJ
968530002269552640,2018-02-27 16:55:21,"The Warriors, BMW, and I are going green on March 8, see how we’ve gone green through the years on https://t.co/Kdpdbd3cbW #gogreen #bmw #i8"
967060117651783680,2018-02-23 15:34:33,"Behind every “W” is a whole lot of work. I train and recover hard with the real deal recovery drink, low-fat… https://t.co/kpWLnPweUk"
966047261355421696,2018-02-20 20:29:50,"Thanks for having me @wojespn, and for everyone listening to the The Woj Pod. Check it out if you haven’t yet at… https://t.co/5iq7RLBr0u"
964931973151039488,2018-02-17 18:38:04,Had a great time chatting with @wojespn on The Woj Pod. Check it out here: https://t.co/Zz2zwmw8J3​. Thank you to N… https://t.co/HyYf1apo3K
964535877648113664,2018-02-16 16:24:08,Happy Chinese New Year from Me &amp; Rocco! https://t.co/ienF9BYO5k
961276303365165056,2018-02-07 16:31:45,How soon can we wrap? @AntaAmerica https://t.co/uZBYnYl2hO
956339436786130944,2018-01-25 01:34:24,"RT @anthonyVslater: Klay Thompson jokes that he will ""request a trade"" if Steph Curry doesn't get him at the All-Star game and then says he…"
954795032518705152,2018-01-20 19:17:29,Let's Do This! https://t.co/1jOVPRhCsj
952968848000430080,2018-01-15 18:20:53,"Celebrating his legacy not just today, but every day. Honor him by continuing his work and standing up for those wh… https://t.co/4MPXNITlTU"
951588353182334976,2018-01-11 22:55:17,So @JaValeMcGee thought he had a chance against me in @CallOfDuty ...Special edition Parking Lot Chronicles straig… https://t.co/Q36jh9WBFJ
951337186154041344,2018-01-11 06:17:14,Congrats to my bro @KDTrey5 on 20k career points. It’s a privilege to witness greatness every night!
951152769817239552,2018-01-10 18:04:26,"Can’t stop, won’t stop. Recovering with @chocolate_milk keeps me going practice after practice.  #BuildIt #ad https://t.co/UeIRC9zKQ3"
949310755639209989,2018-01-05 16:04:56,Happy New Year from me and Rocco https://t.co/RrhRhrdE9U
945106710124838912,2017-12-25 01:39:33,"This Christmas, you’re in for a show. Watch @NBA on @ESPN, and see The #GreatestShowman, now playing in theaters.… https://t.co/NWXU11g1S8"
945078089393913856,2017-12-24 23:45:49,Rocco has been waiting by the tree all day! https://t.co/9lnqCG8d7T
944963430955413505,2017-12-24 16:10:13,Whole family getting in the holiday spirit with the new #KT3 @AntaAmerica https://t.co/P7TwdeOGki
943281876252483584,2017-12-20 00:48:19,Had a great time at the toy drive the other day! Thanks @JAKKStoys for coming out and donating all these toys for m… https://t.co/BkGd1f5Xix
943224272742367232,2017-12-19 20:59:25,"#8 all the way!! Three Championships, Eight All-Star Games, Two Scoring Titles, One slam dunk contest championship,… https://t.co/I9upuLeNEx"
943213978838171648,2017-12-19 20:18:31,RT @RyanWardLA: Kobe Bryant on Body Armor (@DrinkBODYARMOR) &amp; Klay Thompson throwing a Gatorade bottle off a press table recently: “I thoug…
942863492868030464,2017-12-18 21:05:48,S/O to @SHGames for hosting us this past weekend! #CallofDutyPartner https://t.co/aKfcN4zmks
939554203218751493,2017-12-09 17:55:52,My workout isn’t complete until I’ve had my @chocolate_milk. #BuildIt #ad https://t.co/phbncP53MY
938189512030613505,2017-12-05 23:33:05,"Support journalism and help fulfill the wishes of our neighbors in need. Subscribe to @eastbaytimes, @mercnews,… https://t.co/336H9IG51i"
936302044700336128,2017-11-30 18:32:57,Shoutout to my boy Robbie Fuller for designing the #KT3 to keep me right on my game. Best shoe yet! https://t.co/nxDTMHeBbG
934310458332348418,2017-11-25 06:39:06,"Great W @WSUMensHoops, keep it goin!"
933915512207171584,2017-11-24 04:29:44,Had a great time donating turkeys from our turkey drive to the children and community of Acorn and West Oakland. Th… https://t.co/1L9AkK94G2
929044624538083328,2017-11-10 17:54:33,Getting the most out of each practice. That’s why I keep my @chocolate_milk recovery game on-point. #BuildIt #ad https://t.co/ze708Pn0vM
926595235668361216,2017-11-03 23:41:34,Ever wonder what my pre-game ritual is?  Find out here https://t.co/eFsBxBuhqH   https://t.co/0wBsYMERzn @mercnews… https://t.co/laPRRDD3RL
926210390488367105,2017-11-02 22:12:19,"Thanks to all the fans and partners that pledged alongside me for this campaign! Still much to be done, but happy w… https://t.co/Cab2lr18Qg"
924760510720905216,2017-10-29 22:11:01,"Over 1,100 of us pledging for our friends in Nor Cal. 1 last game tonight to reach our goal, hope you'll join us!… https://t.co/4CNpA6Cp6D"
924031710450159616,2017-10-27 21:55:02,#BayAreaUnite https://t.co/VI0xBEREp3
924012065743761408,2017-10-27 20:36:58,2 games left in my Points with Purpose campaign for fire relief. Help us reach our new goal and let’s get after it.… https://t.co/OIyDEW8Dad
923728447976771584,2017-10-27 01:49:58,"934 people pledging w me, over $4000 per point for relief efforts. I'm blown away. 2 games left, let's keep this up! https://t.co/IRUXEdItDM"
923279438552244224,2017-10-25 20:05:46,"Thx to the generosity of fans &amp; partners, we're up to over $2700 per point scored this week! Let's keep growing tha… https://t.co/F45DUWNUHe"
922927238244208640,2017-10-24 20:46:15,@FaZe_Rain Appreciate you bro!
922547037626810369,2017-10-23 19:35:28,Thank you to everyone who has pledged to my Points With Purpose campaign! You can still donate by going to… https://t.co/QUgplByUeF
922539038304739328,2017-10-23 19:03:41,"RT @Kimborania: I pledged $1 per point to ""Klay Thompson's Points with Purpose on https://t.co/mlEyQ55oc0! https://t.co/ni73HBW0jg via @ple…"
922538825942892544,2017-10-23 19:02:50,"RT @breesespieces: I donated $40 to ""Klay Thompson's Points with Purpose on https://t.co/NEdMvjuWlE! https://t.co/Bg9gQEtxbU via @pledgeit"
921811940766183425,2017-10-21 18:54:27,@rastaclat @pledgeit Thanks guys!
921811809060786176,2017-10-21 18:53:56,@oitzray @pledgeit Thank you Raymond!
921811706707247104,2017-10-21 18:53:31,@erin_rose80 Thank you Erin!
921810844912041984,2017-10-21 18:50:06,"amazing, thank you!! https://t.co/46OMUGY2Nx"
921486369154793472,2017-10-20 21:20:45,@catherinejoysf thank you!!
921486086844579840,2017-10-20 21:19:38,@MeaCuppa @pledgeit thank you!
921486018573844480,2017-10-20 21:19:21,"@GregYoungJr @pledgeit awesome, thanks!"
921485940337594368,2017-10-20 21:19:03,@Murrow51 @pledgeit thank you!
921464819206701057,2017-10-20 19:55:07,Thank you! Any amount helps! https://t.co/d1TvLMb7I6
921449320884269056,2017-10-20 18:53:32,"During our next 3 home games, I'm pledging $1000 per point to North Bay fire relief. Join me by pledging any amount… https://t.co/cO5hduvCNy"
918872759626637312,2017-10-13 16:15:12,@rogerfederer Name the time and place. Game on!
916917331892224001,2017-10-08 06:45:02,@ANTAsportswear surprised me with a new pair of KT3’s “Gold Blooded”. Check the next game.  https://t.co/L2HoARxbC4
915996701051121664,2017-10-05 17:46:46,Thanks Shanghai for the very early morning welcome!  https://t.co/8GQpZd8TSp
912786871289208834,2017-09-26 21:12:03,Just wanted to say thank you to all the firefighters and first responders working so hard to put this fire out. https://t.co/KRl4z4zTI4
910601001148702720,2017-09-20 20:26:11,Got Behind The Wheel of an Indy Car at #GoProGP. Experience the drive with me! https://t.co/xOS3rwFk8y https://t.co/6EjJ4moFaG
