id,created_at,text
986740316098252801,2018-04-18 22:56:38,Y’all think I made it ? #JurassicWorld #FallenKingdom opens June 22. #ad https://t.co/fsCSAgMsP8
981025768808615936,2018-04-03 04:29:04,"NOVA NATION BABY!!!! 
They are the NATIONAL CHAMPS AGAIN!!! I’m just a proud kid from north… https://t.co/uD4xX1iaal"
978079950854115328,2018-03-26 01:23:26,Love y’all!! https://t.co/VeLQz3wfff
965464225110986752,2018-02-19 05:53:03,"Allstar 2018 is wrapped!!
I had a great time.. I enjoyed my days in LA with family and friends… https://t.co/eDbzO8XzDW"
965356018430439424,2018-02-18 22:43:04,"#7 &amp;#10 once again !!
#4xallstarstilladreamandablessing
#teamsteph
#hardworkpaysoff!!
#wethenorth!! https://t.co/vT5IAGOYb9"
965007204326821889,2018-02-17 23:37:01,"Enjoy!! Be happy!! 
#allstarweekend2018 https://t.co/VHj3WKA46Q"
964176440907485184,2018-02-15 16:35:51,"This is a great start to my allstar weekend!!! @tigerwoods @justinthomas34 @McIlroyRory 

Thank… https://t.co/ereGvShXxJ"
960647891210645510,2018-02-05 22:54:39,"Meet  you there!!
@adidashoops https://t.co/O0ZRIz8HBL"
960353871754420224,2018-02-05 03:26:20,"Great day !!! Congrats @eagles !!!
#whataday!!! https://t.co/oqa4GRxx8u"
958777301113729024,2018-01-31 19:01:36,I remember I called you when you got drafted on draft night and I was at a camp and I wanted to… https://t.co/RafCsoYhmH
958773045694468096,2018-01-31 18:44:41,I used to go and watch lasalle games sit at the top row of gola arena just to watch him play man!! Like this is wild to me!!
958771495437729792,2018-01-31 18:38:32,"You gotta be kidding me right now....
This is a sad day man!!! R.i.p sual bop!!
True legend in my eyes !!! Damn I’m… https://t.co/U14k5UkVsE"
955977295348555777,2018-01-24 01:35:23,Congrats @KingJames 30k!! Hell of accomplishment wow!! Elite club !! Congrats!!
955973157764128768,2018-01-24 01:18:56,Wouldn’t be an All-star with y’all!! And that’s real... Y’all the reasons me and cuzzin can be… https://t.co/Qy4OyGXzmO
955601305791320064,2018-01-23 00:41:20,Great time with the fellas @thestarters !! https://t.co/kbeVHC9Sir
955268425042898944,2018-01-22 02:38:35,"It was 2005 and wasn’t my proudest moment BUT....
This  was meant to… https://t.co/KaLWkCxanI"
954128976204541952,2018-01-18 23:10:49,@demar_derozan Shine!! Yessir Cuzzin!! Back to back as deserved and Earned !! Allstar starter… https://t.co/1rxrzy4gO9
953089185002541057,2018-01-16 02:19:03,Great event thrown by Philadelphia sports writers association. I really enjoyed myself and thank you for the Native… https://t.co/awgaFzOXN4
950819514555469824,2018-01-09 20:00:12,"love the support and well wishes thank from everyone!! It’s doesn’t go unnoticed thank you!!

And the nba brotherho… https://t.co/WEL0hkmBwU"
945084579429453824,2017-12-25 00:11:37,"Thanks for the money shirt and 
Happy 95th anniversary to CTC!!   #theNorthPointShop and @northpointshop… https://t.co/Lp6rtiLPdQ"
943713818605248512,2017-12-21 05:24:42,"I️t never gets old flying in for this game!!

PHILLY!!"
942994664763936768,2017-12-19 05:47:02,"You made everyone want to be great!!! Thanks you!!
Mamba out!!
#hemadethisfadeaway!! https://t.co/L4wp1d3yOA"
939662014066016256,2017-12-10 01:04:16,Proud of this @torontofc squad. Congrats boys! #proteamfam #nohandsallowedbutstillscoring https://t.co/wrxt9JuN4d
925136138289008640,2017-10-30 23:03:38,"He's growing up too fast!!!
You see how excited he got once he got close to 10!?!?? Haha..this… https://t.co/AmBpwEFS5u"
921416273388621824,2017-10-20 16:42:13,!! @SportChek https://t.co/LwwhcD8sdA
920773062328401921,2017-10-18 22:06:19,"Pleasure playing in front of this icon last year, just as he did for millions of fans for yrs and yrs.… https://t.co/pGfRQIedC9"
