id,created_at,text
966747194232573953,2018-02-22 18:51:07,Slavery still exists today in every part of the world affecting millions. Let's shine a light and expose human traf… https://t.co/4581hLsRES
963082527798910978,2018-02-12 16:09:02,RT @dg_riff: Dan &amp; Jennifer Gilbert have been leading the fight for @ChildrensTumor for years. Nick is the survivors’ survivor. He’ll beat…
921052882069282816,2017-10-19 16:38:14,Great time at the Big Shots x Little Stars Fundraiser! Fiona you are one special young lady! #BSLS17 https://t.co/hi4cBQcUP6
917523847225708544,2017-10-09 22:55:06,Lets go Cleveland! https://t.co/GeUheyuBue
906965898208202752,2017-09-10 19:41:35,Today is World Suicide Prevention Day. We're asking you to STAY. @TWLOHA https://t.co/Xy9AG8ARdp #WSPD17 #IWasMadeFor
905536490733793280,2017-09-06 21:01:38,Sunday is World Suicide Prevention Day. I'm honored to stand with @TWLOHA in asking you to STAY #IWasMadeFor #WSPD17 https://t.co/vhyxgbFpn8
844260487487504384,2017-03-21 18:52:40,"Congratulations to my cousin Kari and @UCLAWBB on advancing to the Sweet 16. Big night last night Kari, way to shoot it!"
842755887563489281,2017-03-17 15:13:55,Congrats Coach Grensing and the Middle Tennessee State team on advancing! #marchmadness
842754491132903426,2017-03-17 15:08:22,Good luck today to the @BluejayMBB and Coach Altman's @OregonMBB. #MarchMadness #NCAAJays
834880238932885504,2017-02-23 21:38:54,"Help me ""Shine a Light on Slavery"". Go to https://t.co/dMURWsHn7e to learn more. Mark your hand w/ a Red X. Share.… https://t.co/Gzdn4oQ8SM"
832315752476704768,2017-02-16 19:48:33,"Thanks for all of your hard work and time, you guys are the best in the business. https://t.co/46Gqw65fHv"
832301776669773824,2017-02-16 18:53:01,Great team win last night! Excited to relax w/ family over AS Break! Congrats to these guys 4 their All-Star Game s… https://t.co/r5FjlH5rEB
829063277216927744,2017-02-07 20:24:23,"I wanted to send out a BIG THANK YOU to everyone who participated in the Sock Drive! 20,000 pairs of socks collected for the @ATLmission"
827549533798273024,2017-02-03 16:09:18,@mcreech65 my pleasure and glad to hear that!
821096715411460097,2017-01-16 20:48:06,"RT @cavs: Our #WestCoastCavs trip ends tonight with an #MLKDay showdown!

#CavsWarriors PREVIEW: https://t.co/3twBrE9tNf

#DefendTheLand ht…"
820010834160013313,2017-01-13 20:53:12,Gameday. @cavs https://t.co/eaju3H2bSM
815645091293437952,2017-01-01 19:45:18,Happy New Year to all the #TrueBelievers!! Let's start the new year with a W at #PhilipsArena #TrueToAtlanta
814888309285588992,2016-12-30 17:38:07,Thanks for all of your support @RockEmApparel! You all have been incredible! https://t.co/VuW750HDZ8
814887876542529536,2016-12-30 17:36:24,"Ben, thank you for collecting so many socks for #KKFSockItForward through your Bar Mitzvah project!! Last chance to… https://t.co/oGDVMI3ATm"
813791904328548352,2016-12-27 17:01:24,Tomorrow is your second to last chance to donate! Drop off your socks at the #HawkShop!! #KKFSockItForward Thanks to all who have donated!
813791867255091202,2016-12-27 17:01:15,Merry Christmas to you all! I hope you enjoyed time with your family.
811592070116872192,2016-12-21 15:20:02,"RT @ATLHawks: Game night! We're back home to host the @Timberwolves at 7:30. Grab your tickets here: https://t.co/FlSfV9p9OP

#TrueToAtlant…"
811591183147405312,2016-12-21 15:16:31,Christmas celebrations start tonight at #PhilipsArena Vs @Timberwolves #TrueToAtlanta Tag me in your photos as u drop off your sock donation
811218273094266880,2016-12-20 14:34:42,Good to be home after a great team win last night! #TrueToAtlanta https://t.co/l1R1vfEYUS
810875580228857857,2016-12-19 15:52:58,INCREDIBLE! Thank you VSA Arts of Georgia! #KKFSockItForward https://t.co/u6LpltyT1q
810875136937172995,2016-12-19 15:51:12,Thank you for supporting the #KKFSockItForward Drive! Make sure you tag me in your photo when you drop off your soc… https://t.co/wGeF4sBl0a
810847872962936832,2016-12-19 14:02:52,Off to OKC to face the @okcthunder #TrueToAtlanta
810846452704538624,2016-12-19 13:57:13,"#GoHawks, Merry Christmas!! @ATLHawks https://t.co/eXYBbmy5A0"
809796299889475585,2016-12-16 16:24:17,Ur next chance to donate socks at a game is tomorrow night vs @hornets. Make sure to tag me in your photos so I can share. #KKFSockItForward
809794212963172352,2016-12-16 16:16:00,Regular season continues tonight @Raptors #TrueToAtlanta
809755113581592576,2016-12-16 13:40:38,I'm amazed at the support &amp; work of @preemptivelove's work in Aleppo. They're feeding 20k people per day! Learn more https://t.co/vuOh3G7FYr
809538414915846144,2016-12-15 23:19:33,Thoughts and prayers for the Sager Family #SagerStrong https://t.co/ii6cph9WnW
809422018827472897,2016-12-15 15:37:02,Thanks to VSA Arts of Georgia for all of your donations! #KKFSockItForward https://t.co/Ye8nN3poVv
809421393309868032,2016-12-15 15:34:33,"Thanks for having me, it was a great night! https://t.co/3XtRpwadWe"
809045145287016449,2016-12-14 14:39:28,Thanks @RockEmApparel! https://t.co/SwzaeEMo6b
809045000709373953,2016-12-14 14:38:54,"Thank you for supporting, I appreciate it! https://t.co/zeUxgQevod"
808704166533234688,2016-12-13 16:04:32,"Make sure to tag me in your photos as u drop off your sock donations, I'll RT/share! #KKFSockItForward @ATLHawks @ATLmission #TrueToAtlanta"
808684314674216961,2016-12-13 14:45:39,RT @ATLHawks: ⬇️ ⬇️ ⬇️ https://t.co/m1xMZbnk1G
808683833000333312,2016-12-13 14:43:45,Facing the #OrlandoMagic for the first time this season tonight! #TrueToAtlanta
808395431675891712,2016-12-12 19:37:44,"Don't forget, bring your socks to donate tomorrow night! Make sure to tag me and use the hashtag #KKFSockItForward. I'll RT some photos."
