id,created_at,text
975101992837287939,2018-03-17 20:10:06,Help @KevinHart4real find a Courtsidekick...enter for the #CourtSidekickContest at https://t.co/RXAavqClWx for a ch… https://t.co/FyUZSHDNjl
974387026173755392,2018-03-15 20:49:04,RT @Young_Athletes: Registration is now open for the 2018 Kyrie Irving/Rod Strickland Summer Basketball League. @KyrieIrving and @rod_stric…
963142181430218753,2018-02-12 20:06:05,The Legend is ready to ball on the big screen. Get ready to watch #UncleDrew in theaters June 29! #JustDrewIt… https://t.co/RGw88q9Urt
959265673838059520,2018-02-02 03:22:13,He gets buckets. He gets @Pepsi. He gets a #SBLII commercial. And the @uncledrewfilm is dropping soon. Check out Un… https://t.co/3Tcr5whUO8
950227717789831168,2018-01-08 04:48:36,Jaylen Brown #NBAVote
950227591532875776,2018-01-08 04:48:06,Al Horford #NBAVote
950227431721488384,2018-01-08 04:47:28,Jayson Tatum #NBAVote
931572813319860224,2017-11-17 17:20:41,Proud to support @footlocker and their #GreatnessDoesGood campaign. Join me and go out and donate! #WeekofGreatness https://t.co/9tKziAEmWB
923875232632492032,2017-10-27 11:33:14,All love and good times when we are all chopping it up!  Go check it out.
923875043775598592,2017-10-27 11:32:29,"Check out Coach Auriemma's @Genopodcast today, w/ myself and @suebird talking life, basketball, and more!! https://t.co/DxP2CjrkGZ"
906959306981101569,2017-09-10 19:15:23,#11 for Mr. Miagi aka my favorite player aka my best friend. Love you Dad. always https://t.co/gcH77Oj3dk
905827630771048448,2017-09-07 16:18:31,2K18 For the Culture https://t.co/MKEgW9Aqf3
905134633448300544,2017-09-05 18:24:47,"RT @SportsCenter: Exclusive first look: Kyrie Irving and the cast of the upcoming @UncleDrewFilm.

Can you name all the NBA stars? https://…"
895520317573124096,2017-08-10 05:40:56,RT @NBA2K: Introducing this year's #NBA2K18 cover athlete @KyrieIrving in his new @cavs uniform! #2KFirstLook https://t.co/WUE9uasQGA
888244166760603648,2017-07-21 03:48:06,"https://t.co/GpvHXiEng4
Short Story Long with @dramadrama check it out."
883050363024281600,2017-07-06 19:49:47,"In case you missed it, I surprised my dad for #fathersday and remodeled his house on #MyHouzz. Check it out: https://t.co/OTml3rUAGI"
880902412189532161,2017-06-30 21:34:36,I'm adding another session to my Youth  @ProCamps presented by @NBA2K next week! Make sure you sign up soon. https://t.co/G6fWUgotvA
879028544931856384,2017-06-25 17:28:31,Love seeing my @nba and @wnba family participate in the #NYCPride March! All Love
850049152641904644,2017-04-06 18:14:45,RT @Young_Athletes: Registration is now open for the 2017 Kyrie Irving/Rod Strickland Summer Basketball League. @KyrieIrving and @rod_stric…
837447247314968576,2017-03-02 23:39:17,RT @skullcandy: Our search begins for a band to perform on the #Skullcandy stage @VansWarpedTour! Sign up now! #SKULLCANDYSHOWDOWN https://…
836652036414398464,2017-02-28 18:59:24,"Look good, play good! Best of luck to my Duke Blue Devils tonight as they rock the latest #KYRIE3 https://t.co/2nk99N1mBo"
833730644245114885,2017-02-20 17:30:50,Thank You New Orleans for the great hospitality for #NBAAllStar and the @NBA  for putting on a great production. Thank you Fans!!
832740347402784772,2017-02-17 23:55:45,RT @NBA2K: https://t.co/pcG5znX59o
832386802774327297,2017-02-17 00:30:53,"RT @pepsi: ""The All Star game is not necessarily about the votes, it's about getting buckets."" - #UncleDrew https://t.co/TgSMMbidbb"
827360706483851266,2017-02-03 03:38:58,#TBT from the set with QuestLove https://t.co/ba2HOi297G https://t.co/JCGLvALWpx
820704677268492288,2017-01-15 18:50:17,Tristan Thompson #NBAVote
820704529175945220,2017-01-15 18:49:42,Kevin Love #NBAVote
819640737360936962,2017-01-12 20:22:34,Get after my @NikeTraining workout in the NTC App.  #STOPEXERCISING #STARTTRAINING https://t.co/JOHjwbYDx6
818693331857317888,2017-01-10 05:37:55,Yessir https://t.co/9eb3YKtpVk
814945736664186880,2016-12-30 21:26:19,Love using my Cavs in @NBA2K. Pick it up on sale and start your New Year right!
808745187866529792,2016-12-13 18:47:33,RT @NdotSmitty: It's TCA Tuesday! Text NOLAN to 20222 and $5 goes to help teens with cancer. Text &amp; RT! #GiveTCATuesday #TeamNolan #TeenCan…
806177627442712578,2016-12-06 16:44:59,To all my young fans - you might have more in common with me than you think #GOBIG @KidsFootLocker https://t.co/2F6DmUSAmj
805651628342779904,2016-12-05 05:54:51,"Truly proud of all who stood and fought for #NoDALP Progress was made, but the fight is much bigger. Let's Keep pushing towards what is True"
803367915231780870,2016-11-28 22:40:11,Yessir!  Thanks @Nike https://t.co/bXL1zbWNOw
801191934895144961,2016-11-22 22:33:37,"My prayers and thoughts are with everyone protesting at Standing Rock, I am with you all.  #NoDAPL Defend the Sacred."
799331085297532928,2016-11-17 19:19:16,The #WeekofGreatness is back @footlocker and @kidsfootlocker starting this Saturday! Don’t miss it! https://t.co/o7mQ8Qpq5h
798352233066799105,2016-11-15 02:29:39,Appreciate the Love brother. @rickyrozay https://t.co/Y8D1rQa9zr
797562397481385984,2016-11-12 22:11:08,"""Obession is passion on curiosity steroids""
Keep Pushing. Keep Learning. Keep Growing."
790662045137940480,2016-10-24 21:11:36,Just an inside look at life for me outside the game. Enjoy and I hope it can inspire you in some way. Thanks @SInow https://t.co/IC16PQ1VXY
789153659678515200,2016-10-20 17:17:48,"Yessir @KingJames, but don't forget about my game 5 fire. #whatsnext https://t.co/ft1I0sELch"
780152021139726336,2016-09-25 21:08:31,"Rest in Power Jose Fernandez. The world lost a great baseball player, but more importantly an even better person. Prayers up for his family."
