id,created_at,text
987562159382188032,2018-04-21 05:22:21,"RT @sport_piatkowo: Szkoła Mistrzostwa Sportowego  @MGortat w Poznaniu 
Zaprasza
 https://t.co/jurMg4PHS3 https://t.co/IVHhb4CaeT"
987556537433513984,2018-04-21 05:00:01,@recordsANDradio lol
987553032400506881,2018-04-21 04:46:05,@HoopDistrictDC 7 spoons 🥄 🥄🥄🥄🥄🥄🥄
987552920022536192,2018-04-21 04:45:38,RT @HoopDistrictDC: John Wall to BALD Marcin Gortat &gt;&gt;&gt; https://t.co/k9owHyUCB1
987394923862351873,2018-04-20 18:17:49,@billboarddance rip maestro!
987394794426191872,2018-04-20 18:17:18,"RT @alicjabc: Way to early, so sad .. “Just wake me up when it’s all over” RIP https://t.co/micVjQT3Tx"
987315697272401922,2018-04-20 13:03:00,"RT @MG13Foundation: Domowe koszulki @WashWizards z autografem @MGortat tylko u nas w promocyjnej cenie‼️

⭕ Link do koszulek: https://t.…"
987315636157206529,2018-04-20 13:02:45,"RT @SQNPublishing: Nie tak miało być! Adam Wójcik miał być z nami i świętować dziś swoje 48. urodziny. Niestety, los chciał inaczej... …"
986799371126755328,2018-04-19 02:51:18,"RT @TheNBPA: We are deeply saddened by the tragic loss of Erin Popovich and send out our prayers and condolences to Gregg Popovich, his fam…"
986612317499658240,2018-04-18 14:28:01,@Marek_Z_SE nie było żadnej kłótni... normalna rozmowa
985714584844750850,2018-04-16 03:00:45,@ESPNNBA 
985245252805017600,2018-04-14 19:55:47,"RT @PolishEmbassyUS: Congratulations to @MGortat, one of only 8 starters in the entire @NBA to not miss a single game this season! #dedicat…"
983924768238899201,2018-04-11 04:28:39,@PHXJGaspar @Suns unbelievable achievement!!!
983924695249702913,2018-04-11 04:28:22,@TomMaystadt wow!!!! Congrats !!! Nelly!!!
983920961241182208,2018-04-11 04:13:32,@PakiWisdom  thx !
983916436925149184,2018-04-11 03:55:33,@PakiWisdom No man.... thats sadd for real:/
983818695813328896,2018-04-10 21:27:10,Dobrze widzę ????? Roma wyeliminowała Barcelonę ????
983742845570945024,2018-04-10 16:25:46,@sendecki81 
983457401931272194,2018-04-09 21:31:31,@kosmazatorski @SzkolaGortataL @MG13Foundation  brawo!
983456468560175104,2018-04-09 21:27:48,"RT @SzkolaGortataL: Indywidualne wyróżnienia na turnieju ćwierćfinałowym MP U18!!! Piotrek Rajch MVP turnieju, Bartek Zakrzewski w pierws…"
983200985496674304,2018-04-09 04:32:36,@_CaseGod Nice :)))
983034638854696961,2018-04-08 17:31:36,Gratulacje @arekmilik9 !!! Forma wraca !!
982838470824611840,2018-04-08 04:32:06,Dziękujemy @joannamma !! Ogromne serce !
982836766079143936,2018-04-08 04:25:19,Damn:(((
982833129332396033,2018-04-08 04:10:52,Narazie nie wyglada to za dobrze ....
982828341702156288,2018-04-08 03:51:51,Lets do it !!!!!!!! @joannamma !!!
982800204545118208,2018-04-08 02:00:02,Łódzka krew ! @karolinamma polska dumna!
982800008255819776,2018-04-08 01:59:16,@kamil_wis @KarolinaMMA dzieki
982799810729336833,2018-04-08 01:58:29,Gratulacje KAROLINA KOWALKIEWICZ. !!!!! #polandFinest
982799316275417089,2018-04-08 01:56:31,Good luck girl !!! U r our champ anyway @joannamma !!!! #polandFinest #polishMachine #poland!!!!
982739562974928901,2018-04-07 21:59:04,RT @JaredDudley619: Some things are bigger then money! #friendship @DJBamboozle https://t.co/vNVphlEEDe
982739552677834752,2018-04-07 21:59:02,@JaredDudley619 @DJBamboozle hellllll Yeah!!!!
982686366508244994,2018-04-07 18:27:41,@bArJanek jak to on....
982685740785119232,2018-04-07 18:25:12,@KosiHoops @ManUtd Cale Życie!!!
982685685730742273,2018-04-07 18:24:59,Ciekawe co wymyśli guradiola teraz po tej porażce ???
982683521855737857,2018-04-07 18:16:23,@ManUtd yeahhhhhhhhhh!!!!!
982346338175275009,2018-04-06 19:56:32,RT @SzkolaGortataL: W pierwszym meczu ćwierćfinału Mistrzostw Polski U18 pewnie wygrywamy z gospodarzami Zastal Fatto Deweloper Zielona Gór…
981971880549801986,2018-04-05 19:08:35,RT @martinwharris: Jeden z liderow Indiana Pacers Bojan Bogdanovic opowiedzial mi w niedziele o swojej przyjazni z Marcinem Gortatem - http…
981618220611366913,2018-04-04 19:43:16,@cmillsnbcs @ThisIsJMichael congrats chef!
981279622976491520,2018-04-03 21:17:48,"RT @DariuszFaron: 1. Reakcja Zidane'a na Ronaldo z Juventusem 
2. Reakcja Guardioli na ""Lewego"" z Wolfsburgiem 
3. Reakcja Jozaka na Jędrze…"
980870706820009984,2018-04-02 18:12:54,@marekjuskiewicz @FAKT24PL good!
980572662807388161,2018-04-01 22:28:35,@WaldGru przygotuj krzyżaka i jestem po weekendzie od rana!
980501391755145216,2018-04-01 17:45:23,@mateuniu888 @Olcia85 do tego Jasiu nie gra dzisiaj
980500954587062272,2018-04-01 17:43:39,@Olcia85 całe życie dylematy:))
980500629302009856,2018-04-01 17:42:21,@rollerg82 @PawelStalmach @grucha76 @MG13GM @MG13Foundation trzeba napisać do nich tak jak pani to robi do mnie
