id,created_at,text
756258772893458432,2016-07-21 22:45:16,https://t.co/lVacMQl1m0
728916586661171200,2016-05-07 11:57:11,follow my Instagram @TeamGBMSFamily #Blessed
728915651285291008,2016-05-07 11:53:28,RT @champssports: Stop by our store at @GalleriaDallas tomorrow 1-4! meet @emmanuelmudiay @RFeltonGBMS and win a BUNCH of prizes from @979b…
728723106362232832,2016-05-06 23:08:22,Come out to @GalleriaDallas @champssports at 3pm tmrw for @UAbasketball #UA #IWILL https://t.co/bRFjlPjLWD
728417985841532928,2016-05-06 02:55:55,Come see me Sat 3PM at @champssports at @GalleriaDallas.  Will be there with @UnderArmour @UAbasketball https://t.co/hqdS9Cwakm
717478102452932608,2016-04-05 22:24:44,Heading to Alley Cats in #Arlington to bowl with @BBBSTX @BBBSA
717346079147220992,2016-04-05 13:40:07,Ready to bowl with @bigstx at @AlleyCatsbowl today!
717097099003764736,2016-04-04 21:10:46,"RT @UNC_Basketball: We Ready!! 

#HeelsLockIn 
#NationalChampionship 
#NotDoneYet https://t.co/x84cIThlTz"
717096558664114176,2016-04-04 21:08:37,Excited to host @bigstx #bowling matches at @Alleycatsbowl tomorrow! #GivingBack https://t.co/fBNpiaiC0q
712761109355212800,2016-03-23 22:01:05,"Who is joining me at Ludacris next Tue, mar 29? Get ur tix now at https://t.co/hogVjY6BFs"
691643062037127168,2016-01-25 15:25:30,#MondayMotivation #Success #Purpose https://t.co/UeL8Wgwyti
678699508419588097,2015-12-20 22:12:27,Hosting @bigstx at @TopgolfDallas #givingback https://t.co/fPkuhDEs0M
678599540065333249,2015-12-20 15:35:12,Hosting @bigstx for a holiday party today @TopgolfDallas! #Christmas #GivingBack #Holidays
661212640480509953,2015-11-02 16:05:52,#MondayMotivation “Great works are performed not by strength but my perseverance.” –Samuel Johnson https://t.co/Qs8uIhjAWy
646070343187230720,2015-09-21 21:15:47,#MondayMotivation #Quote “Wake up with #determination. Go to bed with satisfaction.” http://t.co/fYzHK67fWK
643490735552131078,2015-09-14 18:25:21,“A dream plus motivation becomes reality.” #MondayMotivation #Quote http://t.co/yc1b5SMpYg
640959165305896961,2015-09-07 18:45:48,"Happy #LaborDay! “There will be obstacles, doubters, mistakes. But w/ hard work, there are no limits” #Motivation http://t.co/hkh33w6Fhn"
638424913188114432,2015-08-31 18:55:35,#MondayMotivation #Quote #Fitness “If it doesn’t challenge you it won’t change you.” –Fred DeVito @fdevito
630848906008596481,2015-08-10 21:11:14,"#MondayMotivation Work hard, stay humble http://t.co/MOWxaxHkJy"
628351032700088320,2015-08-03 23:45:35,"#MondayMotivation #Quote “A dream doesn’t become reality through magic; it takes sweat, determination &amp; hard work.” –Colin Powell"
625754037510647808,2015-07-27 19:46:03,#MondayMotivation http://t.co/Bv3rvKRpLy
618157674908250113,2015-07-06 20:40:49,#MondayMotivation #Quote “Believe you can and you’re halfway there.” –Theodore Roosevelt #NoMaybes
617366258443505664,2015-07-04 16:16:00,Happy 4th of July Weekend! #4thofjuly #independenceday http://t.co/icW9hzXLlB
615570731582119936,2015-06-29 17:21:13,#MondayMotivation #quote “Every strike brings me closer to the next home run.” – Babe Ruth
614543427275862016,2015-06-26 21:19:05,@TheNBPA @dallasmavs @jjbareapr @UNC_Basketball thanks!
613070030046162950,2015-06-22 19:44:20,RT @AkinAthletics: @AkinAthletics Team/Combine Training w/ @TeamFeltonBBall #WarriorfloW: http://t.co/6JDHmza4IS @RFeltonGBMS @the_skj @The…
613069952665436160,2015-06-22 19:44:01,RT @CoachRHorton: Alumni vs Current UNC players. Alumni Win! @RFeltonGBMS shows he's still quick as a cat &amp; can spin on a dime. http://t.co…
613064095076585472,2015-06-22 19:20:45,#MotivationalMonday “Start where you are. Use what you have. Do what you can.” –Arthur Ashe #Tennis
607930231979175936,2015-06-08 15:20:36,#MotivationalMonday “Strength does not come from physical capacity. It comes from an indomitable will.” – Gandhi
605535677418209280,2015-06-02 00:45:30,#MotivationalMonday “The only place success comes before work is in the dictionary.” – Vince Lombardi
602839980411645952,2015-05-25 14:13:46,Let us remember those who served our country #MemorialDay
599274434176917504,2015-05-15 18:05:33,Supporting @StJude at the #NightofHope Gala tonight in Dallas
599208415831830528,2015-05-15 13:43:13,RT @ACCSports: Eric Montross on Bill Guthridge: 'He was an incredible motivator' - https://t.co/HUf0EX1r6S http://t.co/bUgFtpvI7E
581556558221451264,2015-03-27 20:41:02,BigBrothersBigSisters Pee Dee is hosting a BBQ Cook-Off tonight and tomorrow in Florence. Show them some love @ Darlington &amp; Hoffmeyer Road.
575052237283659776,2015-03-09 21:55:11,#MotivationalMonday “Strength &amp; growth come only through continuous effort &amp; struggle.” #Napoleon
573616910975115264,2015-03-05 22:51:43,Shoutout to @MTVJams premiering the new @kaylabriannax video #Honest all day http://t.co/NAIo2cvPMZ
559865945754460161,2015-01-27 00:10:17,A good head &amp; a good heart are always a formidable combination. - Nelson Mandela #MotivationalMonday
557392140935122944,2015-01-20 04:20:16,"""Love is the most durable power in the world."" - Martin Luther King Jr. #MLKDay #MotivationalMonday #inspiration"
554803798372548609,2015-01-13 00:55:07,Energy and persistence conquer all things – Benjamin Franklin #MotivationalMonday
551785412973563904,2015-01-04 17:01:08,"RT @VinnyChoice: RIP Stuart Scott, your fight will help inspire others to continue fighting!"
550394751359676416,2014-12-31 20:55:09,Congrats nephew @Jalek05 Welcome to the @UNC_Basketball family #GoHeels
548093390618124288,2014-12-25 12:30:22,Merry Christmas
546789036732325888,2014-12-21 22:07:19,Having a ball hosting 100 youth at @TopgolfDallas http://t.co/DzMn0WUooh
546051181538455553,2014-12-19 21:15:21,#TBT 2012 Raymond Felton Holiday Festival. Looking forward to Sunday's HF at @TopGolfDallas http://t.co/7BLCYD6dgA
540625421835202561,2014-12-04 21:55:19,#TBT King’s Pizza in Latta...everyday after school
531916758614298624,2014-11-10 21:10:12,In honor of those who serve - check out the Veteran’s Day @wwpinc @UnderArmour Clutchfit Drive &amp; Highlight! http://t.co/wdlYtg4y2o
528920800901226496,2014-11-02 14:45:20,“A champion is defined by the adversity he overcomes.” – Anderson Silva #motivation http://t.co/haRUKzIcWw
527451112279146496,2014-10-29 13:25:19,#WatchWednesday 2005 NCAA Championship Game #GoHeels https://t.co/5qaMdXWFfb
521849146224164864,2014-10-14 02:25:06,#MotivationalMonday http://t.co/X5OFtTvead
519216910068908032,2014-10-06 20:05:32,“I’m happy. Very happy. You can see it yourself. I’m definitely happier for sure.” http://t.co/BY4C8AlMbj
515594245378670592,2014-09-26 20:10:22,Round up your check at @olivegarden to support @BGCA_Clubs now until Nov. 9th! #GreatFutures #GivingBack http://t.co/rDuPQr5aZj
515147703102488576,2014-09-25 14:35:58,#TBT Childhood home in Latta. Hoop is out back. http://t.co/B3seTj0TYu
514818359611756544,2014-09-24 16:47:16,@DONMEGA1017 Thnx man I got you.
514817285891305472,2014-09-24 16:43:00,Felt great yesterday standing up with my new teammates. #GoMavs http://t.co/3LnSrSt91M
511604217325158400,2014-09-15 19:55:25,RT @UAbasketball: Clutch when it matters most. #teamUSA http://t.co/eFoGGo7R9t
504742003591352320,2014-08-27 21:27:26,RT @Jalek05: Jalek Felton is NASTY - Raymond Felton's Nephew - Class of 2017 Basketball http://t.co/ZI9cACevPh via @youtube
502855676113076224,2014-08-22 16:31:50,Check out #FeltonFanofTheWeek on my Facebook page. Find out how you can be the next.  http://t.co/GHbsY6KQlA
500321856679718913,2014-08-15 16:43:20,#FollowFriday @DallasMavs @Dallas_mffl @MavsCR @MavsFansForLife Happy to be a part of the #Mavs Family
500318597634207744,2014-08-15 16:30:23,@EarlKSneed Been using it since high school #GBMS
500318343383887875,2014-08-15 16:29:23,Hey @GoHeels fans check out @UNC_Basketball Tar Heel Guide to the 2014-15 NBA Schedule http://t.co/yMnNHd7ON1
499627767458435072,2014-08-13 18:45:17,RT @Mavs_FFL: Raymond Felton said this to Dallas media: http://t.co/FgcNNdFfwc
499625033447538689,2014-08-13 18:34:25,"RT @jadamlucas: New story: @BigMay42, @DeThompson9, @RFeltonGBMS, @THans50, etc set an example in @UNC_Basketball practice this week: http:…"
499624641150058498,2014-08-13 18:32:51,@Ravila780 thanks I plan to
497733449843625984,2014-08-08 13:17:56,Congrats to my nephew @Jalek5 for being named to the @UAbasketball Elite 24
494941992913473537,2014-07-31 20:25:41,Happy BDay Boss @mcuban http://t.co/xxU09YS5zi
494226608782188544,2014-07-29 21:03:00,RT @MavsNetwork: New Mavs on Twitter: @tysonchandler @ChandlerParsons @RFeltonGBMS @farouq1 @jameernelson @THE21STORY
493949335046873089,2014-07-29 02:41:13,"RT @rellevent21: 2002 @CarolinaLive documentary on @RFeltonGBMS 
Fun to look back on.
https://t.co/fQSiBeVe7c"
493947871398359043,2014-07-29 02:35:24,RT @Ganabraham: Good work at UNC-Chapel Hill today with Raymond Felton @RFeltonGBMS &amp; #MarvinWilliams #Tarheels #WarriorfloW http://t.co/VY…
490227157935730688,2014-07-18 20:10:37,"RT @Coach_Days: G-od
B-LESS
M-Y 
S-uccess 
@RFeltonGBMS"
486854332101312512,2014-07-09 12:48:12,"RT @RevRunWisdom: When you're grateful,, fear disappears and abundance appears"
486853751131480065,2014-07-09 12:45:54,Who's watching the @dallasmavs summer league games with me on @NBATV? http://t.co/4xLgobS2Ey
483680107655999488,2014-06-30 18:34:58,“It feels great to give back &amp; hopefully 1 day I will be in his shoes”-@Jalek05 Thnx nephew for helping at camp http://t.co/jfZgW4xjNS
478510770792042496,2014-06-16 12:13:52,Kicking off my basketball camp this morning at Mullins High School. Lots of positive energy. Thanks @UAbasketball and @nyknicks for support
433035927716237312,2014-02-11 00:33:05,Bowling with @nyknicks tonight for @gardenofdreams. #KnicksBowl15 #NYMade
431908042800525312,2014-02-07 21:51:16,#FF @hlynnrichardson #Sochi2014 #NCPride Good luck!
431600851359387648,2014-02-07 01:30:36,Thanks @Tissot for the special edition #MSG #Knicks orange watch. #HourPassion #TissotMSG @nyknicks #NYMade
429339860696969219,2014-01-31 19:46:14,#FF @Superbowl #SB48
428995340709019648,2014-01-30 20:57:14,"RT @Cilin22: Thanks @gardenofdreams ,@nyknicks &amp; @RFeltonGBMS for the awesome autographed jersey! #LetsGoKnicks =) http://t.co/VZrVOXjqQp"
428885153008476160,2014-01-30 13:39:23,RT @koachkendra: Kickin it with @RFeltonGBMS at the A! #nbd #nyknicks #bigballin #AvenuesAviators http://t.co/antHboH5oC
428884904063954945,2014-01-30 13:38:24,#TBT @UNC_Basketball's first team @GoHeels http://t.co/qbYY3dqZoc
427178011851362304,2014-01-25 20:35:49,RT @TeamFeltonBBall: Team Felton Tryouts for 9th and 10th grade teams March 15th and 16th times to be announced. #tff… http://t.co/YP9dNOYZ…
427177989587992577,2014-01-25 20:35:43,RT @TeamFeltonBBall: Team Felton tryouts for 8th grade boys will Feb. 8-9 at Ben L Smith HS in Greensboro NC. Times to be… http://t.co/cf9j…
426992644875509760,2014-01-25 08:19:14,Big shout to @carmeloanthony for his record setting game tonight #KnicksTape
426769099612372992,2014-01-24 17:30:56,#FF @ToCSquash Good luck @BBBSNYC
426768083940683779,2014-01-24 17:26:54,RT @jpmorgan: You don’t have to wait till tonight’s @ToCSquash finals for some competition. Check out @BBBSNYC's ToC Pong Challenge http://…
426463345978638338,2014-01-23 21:15:59,#TBT 11U @TeamFeltonBball wins USSSA Championships last year http://t.co/YGGcOrFkKN
425987475421425664,2014-01-22 13:45:03,The final winner of #RF2Trivia is @k_watson22 who guessed Civil Rights Act and Voting Act correctly. Thanks for playing everyone
425436427212845056,2014-01-21 01:15:23,"“Darkness cannot drive out darkness, only light can do that. Hate cannot drive out hate, only love can do that.” #MLK"
425296555810115584,2014-01-20 15:59:35,RF2Trivia Day 6 Winner is @celoz0828. @nyknicks have won 2 NBA titles in 1970 and 1973.
425296234278952961,2014-01-20 15:58:18,#RF2Trivia Day 7 #MLK Jr. greatly influenced the passing of two Acts in the 1960s. What are they?
425018180910600192,2014-01-19 21:33:25,#RF2Trivia Tammy O. is Day 5 Winner. Coach Williams from @GoHeels started his career at Owen High School.
425017882024480768,2014-01-19 21:32:14,#RF2Trivia Day 6: How many #NBA Titles have the @nynicks won?  What years?
424709496137457664,2014-01-19 01:06:49,RT @TeamFeltonBBall: Team Felton 2018 tryouts February 8-9 @ Ben L Smith HS times to be announced. #teamfeltonbasketball #tff
424709423785725952,2014-01-19 01:06:32,Congrats @Knicksmemes the Day 4 Winner. Kevin Plank from @UMterps founded @UnderArmour
424709039746867202,2014-01-19 01:05:00,#RF2Trivia Day 5 Where did my college hoops Coach Roy Williams begin his coaching career?
424273114172645377,2014-01-17 20:12:47,#FF @NBACares Proud to be the Big Ambassador for @BBBSNYC. January is #NationalMentoringMonth  http://t.co/25wuRGZ7ll
424254075916414976,2014-01-17 18:57:08,#RF2Trivia @D_Blizzie is Day 3 Winner. Coach Red Holzman with 613 wins for the @nyknicks from 1968-1982
424253793182572544,2014-01-17 18:56:01,#RF2Trivia Day 4  My shoes are #AnatomixSpawns by @UAbasketball. Who started @underarmour what college did he attend?
423923613189033984,2014-01-16 21:04:00,#RF2Trivia Day 3: Which coach holds the record for most overall wins in @nyknicks history?
423906340969648128,2014-01-16 19:55:22,#RF2Trivia @CPA_Evan is Day 2 Winner. Watch @ESPN's Top 10 Play with @TeamFeltonBBall's Will Dillard here: http://t.co/UH8UDYNAuP
423906270127869953,2014-01-16 19:55:05,#TBT Lots of love yesterday in #RF2Trivia for @jalek5  Check out his behind the back fake and dunk at John Lucas Camp http://t.co/oc4SiiCbza
423648347170537472,2014-01-16 02:50:11,#RF2Trivia Jennifer Baker is Day 1 winner.  Keep playing to win these prizes http://t.co/Ik38nsNoeo
423596204229152768,2014-01-15 23:22:59,"RT @nyknicks: Movie night w/ @carmeloanthony, @tysonchandler, @RFeltonGBMS, @TheRealJRSmith, @T_HardJR, &amp; #Knicks! #ShadowRecruit http://t.…"
423576540434018304,2014-01-15 22:04:51,#RF2Trivia Day 2: What player on my AAU @TeamFeltonBBall made @ESPN's Top 10 Plays last year in the #1 spot?
423165906705854464,2014-01-14 18:53:08,#RF2Trivia Day 1 We won the SC State Championship at #Latta High School in '01 and '02.  Is this the only Championship they won?
423164990720200704,2014-01-14 18:49:30,Starting a 7 Day #RF2Trivia Contest. Answer the daily question right with #RF2Trivia to win an autographed prize.
421650503316287488,2014-01-10 14:31:28,#FF @baseballhall #legends
421356836428980224,2014-01-09 19:04:32,#TBT Back at my hometown ball field #childhoodmemories http://t.co/GCe22RyaNj
418470437652537344,2014-01-01 19:55:01,Wishing everyone a healthy and happy #NewYear
416634296422506496,2013-12-27 18:18:51,"RT @UNC_Basketball: The always-fun, annual #UNCBBall youth clinic (grades 1-6) is Sunday. Details: http://t.co/HtPoByadkC #GoHeels"
416634219289268224,2013-12-27 18:18:33,RT @TeamFeltonBBall: Article on the 31 point game by Jalek Feltonhttp://www.scnow.com/sports/article_be2c8628-6c5b-11e3-a26a-001a4bcf6878.h…
416632117704269824,2013-12-27 18:10:12,#FF @CityandStateNY Chatted with them about mentoring http://t.co/lFbOFEul53
414164010800406529,2013-12-20 22:42:49,RT @BBBSNYC: Group shot with @RFeltonGBMS - say cheese! #HolidayFestival #NBAGiveBig #NYK @nyknicks http://t.co/uzEpbE7HiT
414163584831070209,2013-12-20 22:41:08,#FF @BasketballCity  Thnx for everything last night. Kids had a great time on the courts.
413856343578390528,2013-12-20 02:20:16,Had a great night with some incredible kids at my #HolidayFestival. Thanks @BBBSNYC @UABasketball &amp; #CDI. #HappyHolidays #NBAGiveBig #NYK
413798716202831873,2013-12-19 22:31:16,Heading to Basketball City for my #HolidayFestival with @BBBSNYC &amp; #CDI. Have some surprises in store for the kids tonight. #NBAGiveBig #NYK
413392258948681729,2013-12-18 19:36:09,Hosting my #HolidayFestival tomorrow for @BBBSNYC matches and #CDI at #BasketballCity in NY. #NBAGiveBig
411322865829416960,2013-12-13 02:33:07,Just saw #Anchorman2 still laughing.  Welcome back #RonBurgundy
411220395602477056,2013-12-12 19:45:57,#TBT @nyknicks Shopping Spree last year at @target. #NBAGiveBig #NYK
409077184813211648,2013-12-06 21:49:36,Pics from #ShopWithAJock at the @NBAStore with @BBBSNYC matches. #NBAGiveBig http://t.co/LzTuxmhX2Q
409057558804959232,2013-12-06 20:31:36,#FF @NBAStore @BBBSNYC
408402907802132480,2013-12-05 01:10:15,Second surprise for my @BBBSNYC matches tonight is @nyknicks tickets for Sunday. #NBAGiveBig
408375239815737345,2013-12-04 23:20:19,Just met my three matches from @BBBSNYC. Taking them on a surprise visit to the @NBAStore for a shopping spree.  #NBAGiveBig
408068464235278336,2013-12-04 03:01:18,Pic of my parents dishing out turkeys last week to families in my hometown with @BishopMBlue. #NBAGiveBig http://t.co/bJlxxrHSRo
408006281056645120,2013-12-03 22:54:12,See you tonight at the @AHLF_tweets poker tournament hosted by #Knicks legend @ALLAN_HOUSTON
408005176822206464,2013-12-03 22:49:49,RT @BBBSNYC: This #GivingTuesday we're thankful for all our supporters. Find out how you can change lives: http://t.co/m6CK5x0Vad http://t.…
407621228204003328,2013-12-02 21:24:08,RT @nyknicks: The #NYK family gives back during the @gardenofdreams' Thanksgiving event at Children's Village. #NBAGiveBIG http://t.co/3t7G…
406460479276859392,2013-11-29 16:31:44,#FF @BishopMBlue Thanks for making our Felton Family Feast happen on Monday.  #Blessed #Marion
406120645291163648,2013-11-28 18:01:21,"#TBT Thanksgiving celebration last year with @nyknicks, @gardenofdreams, @ChildrensAidNYC http://t.co/XFGfNKWSgW #Blessed"
401459675163820032,2013-11-15 21:20:19,#FF @TopSpinCharity @JerryStackhouse
400006880443240448,2013-11-11 21:07:26,Congrats to @TopSpinCharity and @JerryStackhouse. They raised $350K for #NYC charities last week. #GivingBack
400006822016606208,2013-11-11 21:07:12,Thank you to everyone who currently serves or has served our country. Happy #VeteransDay
397557619604205569,2013-11-05 02:54:57,“@CatchNY: @RFeltonGBMS Hope you enjoyed last night's dinner! Good luck tomorrow night! @emmgroupinc #catchny...” I did...as always. Thnx
397556930740105216,2013-11-05 02:52:13,“@nyknicks: #Knicks All-Access: Get an inside look at @RFeltonGBMS and his new shoe! Gallery: http://t.co/8u5Umc8d5S”@UAbasketball
397556438240739328,2013-11-05 02:50:15,"RT @NBA: To celebrate #KiaTipOff13 Week, some special guests stopped by the NBA offices! @RFeltonGBMS @ThisIsUD @ShaneBattier http://t.co/N…"
397554309862158337,2013-11-05 02:41:48,RT @nyknicks: Only one more day until the premiere of #MSGBeginnings: @RFeltonGBMS on @MSGNetworks! http://t.co/pUsg9dygUo http://t.co/yA8V…
396400186601537536,2013-11-01 22:15:43,"Don't count the days, make the days count -Muhammad Ali"
396367504798670848,2013-11-01 20:05:51,#FF @Chase #RiverdaleBranch
396359145408200704,2013-11-01 19:32:38,#FF @NBA
395989837041651713,2013-10-31 19:05:08,#TBT Back to my rookie year. http://t.co/UVp2T99FZW
395625802500677632,2013-10-30 18:58:36,The final winner of #FeltonFanFrenzie is @safa_sara. DM me your mailing address. #knickstape
395312247595347968,2013-10-29 22:12:39,Surprise visit to the @nba. http://t.co/WddMgZs2Kt
395286037091852288,2013-10-29 20:28:29,Visiting with the @NBA team at the NY office. Meeting lots of @Knicks fans!
395279254013083648,2013-10-29 20:01:32,The winner of Monday’s #FeltonFanFrenzie is Anthony Echevers. DM me your mailing address. Congrats. http://t.co/jHftWwDWaW
395174531570339840,2013-10-29 13:05:24,RT #FeltonFanFrenize Last chance to win an autographed #Knicks prize. Tuesday's final contest winner will be announced tomorrow....
395025743790743552,2013-10-29 03:14:11,RT @Chase: Shoutout to @RFeltonGBMS - from #BballintheBoroughs to #ChaseBlueCarpet in one day! http://t.co/SQhSdcHZyp
394918697610932225,2013-10-28 20:08:49,"RT @nyknicks: .@MettaWorldPeace @RFeltonGBMS &amp; @PPrigioni9 are at 3775 Riverdale Ave NOW; stop by for giveaways, autographs + more! #Bballi…"
394918169350901760,2013-10-28 20:06:43,@amad_knick_fan 5:30
394906647103279104,2013-10-28 19:20:56,The winner of Sunday's #FeltonFanFrenzie is @ncarr106. DM me your mailing address. Congrats. http://t.co/4igQ5o5Nbu
394896553217118208,2013-10-28 18:40:49,Come see me and my @nyknicks teammates today @chase #RiverdaleBranch in the Bronx at 3:30PM. We will be signing autographs. #Knickstape
394811704791805952,2013-10-28 13:03:40,RT #FeltonFanFrenize for a chance to win an autographed #Knicks prize. Today's winner will be announced tomorrow. http://t.co/Y6HGzc23tP
394633715961180160,2013-10-28 01:16:24,Hey @Jessss929 DM me your address. You are Saturday's winner of #FeltonFanFrenzie.  Congrats. http://t.co/6S4PUj21wr
394554690027159552,2013-10-27 20:02:23,Check out these autographed prizes you could win by entering my #FeltonFanFrenzie contest.  http://t.co/kn9OUzMpPC
394448906668752896,2013-10-27 13:02:02,RT #FeltonFanFrenize for a chance to win an autographed #Knicks prize. Today's winner will be announced tomorrow. http://t.co/B0TcC0ABR9
394237151216685056,2013-10-26 23:00:36,Check out photos from my @underarmour campus visit last week. #IWILL @ubasketball  http://t.co/ut4oQLCn2t
394207406231937025,2013-10-26 21:02:24,The winner of Friday's #FeltonFanFrenzie is Harry Lewis. DM me your mailing address to receive your prize. http://t.co/LTOVOL5GNp
394111509300666368,2013-10-26 14:41:20,RT #FeltonFanFrenzie to enter to win an autographed #Knicks prize. I will announce today's winner 2morrow afternoon. http://t.co/ueH8gkMFXz
