id,created_at,text
958562459270381568,2018-01-31 04:47:54,We are here to be Ourselves and No one else! https://t.co/iF5ydQPYzs
958512168974110721,2018-01-31 01:28:04,🤔🤷‍♂️ https://t.co/rFuRa1pWSt
958192114571075585,2018-01-30 04:16:17,Just posted a photo https://t.co/HSBRob3qkC
957658800839774208,2018-01-28 16:57:05,He always has a real and positive word to share @mannykhoshbin I appreciate your energy!  https://t.co/1RD4JQdDY5
957634492151291904,2018-01-28 15:20:29,You are my King! I look up to you for it all! Thank you for always answering when I call! My… https://t.co/QUU5OGcBXd
957633735624622080,2018-01-28 15:17:29,"My daughter is so yyyy! Her Aura, spirit, style, creativity, intellect, passion and… https://t.co/XfJTOYjX1t"
957632344898310145,2018-01-28 15:11:57,My fellow Philadelphian @lildickytweets keep inspiring and giving the world that genuinely… https://t.co/KYSBTz911a
957524237857763329,2018-01-28 08:02:22,This beautiful woman is spot on! It’s amazing that people share their stories to inspire and… https://t.co/TFMvPofLk2
957520367073071105,2018-01-28 07:47:00,Look onward and upward towards your future and the heavens! Understand you’re made with great… https://t.co/DzXKGd9ocy
957443709305479168,2018-01-28 02:42:23,Just posted a photo https://t.co/9rocvBlmxG
957392834205806592,2018-01-27 23:20:13,Just posted a photo https://t.co/JkLlutFFrY
957392522552193024,2018-01-27 23:18:59,‍♂️walk down no running steady pace like Michael Myers https://t.co/iB2B4oQWCk
957147016361988096,2018-01-27 07:03:26,Get well @boogiecousins prayers up Big fella 
957084900276035584,2018-01-27 02:56:36,Louis Price an original temptation https://t.co/oGWCHvmEVW
957060489661632512,2018-01-27 01:19:36,Enjoy your weekend everyone on your accord! Those who genuinely care for everyone in their life.… https://t.co/t9pVKl45gT
957040038256304129,2018-01-26 23:58:20,"Dear Lord
Please forgive us for all the sins we have brought upon us
And look down upon us with… https://t.co/IpYtzUmj2r"
957028521582497792,2018-01-26 23:12:34,Thanks to my brotha adibsupremeteamla from the moment I listened it began! I appreciate and you… https://t.co/9zLlSAuxaV
956856738866778112,2018-01-26 11:49:58,"SUPER FACTS! Those who struggle with this, it’s normally in my opinion because you care or… https://t.co/wMnZkggoHM"
956829265370198016,2018-01-26 10:00:48,Perfect 🤔louwill it’s part of our calling! Keep Being the magnificent person you are! You do it… https://t.co/10XyuV7py0
956390250086940672,2018-01-25 04:56:19,We Stand for something! We don’t fall for anything! All y’all games elementary and lame! Me and… https://t.co/xr9haUuulb
956028561617506310,2018-01-24 04:59:05,"Always trying to evolve and elevate while keeping my morals, character and true person. I can… https://t.co/N9HcPQ9RCL"
955951963853606912,2018-01-23 23:54:43,City of Brotherly love raised me! South Philly Bred me! I’m a product of The Art Museum Steps… https://t.co/PMIlPJeowG
955951363602591744,2018-01-23 23:52:20,Just posted a photo https://t.co/ovFt62QkzJ
955951269914533888,2018-01-23 23:51:58,Just posted a photo https://t.co/QorOpX2JIm
955951178009006081,2018-01-23 23:51:36,Just posted a photo https://t.co/scvShxBQsZ
955951039626207232,2018-01-23 23:51:03,Take your supersized egos and stay over there my g’s Please y’all got it! You right let’s see… https://t.co/89RSNIvE2z
955272852588105728,2018-01-22 02:56:10, typicality a Good dude! Can be your worst NIGHTMARE ☠️ https://t.co/uCEXfDcdrq
955271847146344448,2018-01-22 02:52:11,I WILL WALK YOU DOWN!!! https://t.co/Hc4XrIVkcy
955261463882498048,2018-01-22 02:10:55,Dirty Birds 🦅 https://t.co/S5Lj6GrFOc
955260198603710472,2018-01-22 02:05:53,Monitoring Day Marlyn Monroe @leahlabelle https://t.co/HwHO6hDp12
955250262448525319,2018-01-22 01:26:24,Insane is in the membrane! Let sleeping Giants Lie!  https://t.co/MuLcg0E3A3
955249729344081927,2018-01-22 01:24:17,I’m so insane wit it you could never get a grip of it! My own Me still evolving! https://t.co/8KI9g5nYag
955159148433350656,2018-01-21 19:24:21,Just posted a photo https://t.co/Tc5YJtkyW7
954915056269058048,2018-01-21 03:14:25,Just posted a photo https://t.co/jhTazzkfRC
954910554950266880,2018-01-21 02:56:32,Just posted a photo https://t.co/KEnbR57HX3
954910466282807296,2018-01-21 02:56:11,Just posted a photo https://t.co/vxRenDvPbY
954910392043671552,2018-01-21 02:55:53,Just posted a photo https://t.co/Y1EEJElTWw
954910300716851200,2018-01-21 02:55:31,Just posted a photo https://t.co/4ObLsKNyQq
954910199411769345,2018-01-21 02:55:07,🤔 https://t.co/P2fDVwYnOV
954888478306729985,2018-01-21 01:28:48,This is dope and Powerful https://t.co/dtVUlHVdaT
954887984473624577,2018-01-21 01:26:51,BARZINI MEETING WATCH FOR THE TRAITORS! YOU CAN LITERALLY BE FEEDING PEOPLE! BEING THEIR ONLY… https://t.co/e9hzbc49Cw
954885818082119680,2018-01-21 01:18:14,Just posted a photo https://t.co/ULE6XvI2OH
953184600678944768,2018-01-16 08:38:12,Check ya self for you Rec ya self! https://t.co/yuq57zhwXD
953181042432708608,2018-01-16 08:24:04,Dream on playa! It’s God’s way of giving you his blueprint for your life! Hints!!! Take it an… https://t.co/UCFUehDvN2
952986383454474240,2018-01-15 19:30:34,Just posted a photo https://t.co/r9KG1dUlz9
952394508242751488,2018-01-14 04:18:40,Just posted a photo https://t.co/pmBMGhW3Qu
950302785605644288,2018-01-08 09:46:54,All you can do is try if they don’t get the picture pun intended we gotta slide! The energy is… https://t.co/ZoXACwTNNf
950287853489131526,2018-01-08 08:47:34,I’m here to create! I get pleasure from pleasing you! I get parts of my creative fix thinking of… https://t.co/8TQxmTt6CW
950284908102025216,2018-01-08 08:35:52,I promise you this! I Love To give! The feeling you get from me is addictive because of the… https://t.co/8ZotIfC1KC
950232263110914049,2018-01-08 05:06:40,Philly Made (S.P. Authenticity)⚡️⚡️⚡️⚡️⚡️☀️☄️⭐️✨⚡️ https://t.co/FVOcB6pbru
950230692612288512,2018-01-08 05:00:26,It’s important to look at behavior. It tells the truth about how Someone really feels. This is… https://t.co/vA01tCPp1B
950219111606386693,2018-01-08 04:14:25,"I Salute all the loyal, lovers, dreamers, creatives, salt of the earth type. No matter what they… https://t.co/EpzW0hbGpT"
949448329863270401,2018-01-06 01:11:36,“ I feel Just like A Rocskstar” @postmalone 21savage https://t.co/KyteOjQzqi
949442662544879618,2018-01-06 00:49:05,Make sure to support to the brother who’s been given such harsh penalty for popping a wheelie… https://t.co/yWaZZBQGre
948917377244123138,2018-01-04 14:01:47,I’ve always truly wholeheartedly loved and appreciated you @leahlabelle I sincerely strive to be… https://t.co/TfnnOAPRxe
948540838744862720,2018-01-03 13:05:33,Word!  https://t.co/Ark6DtoNIt
948493232828116992,2018-01-03 09:56:23,The Whole Team on the way it sounds like a stampede! I’m Trees (Timberlands) stomping Big Beards… https://t.co/7jQUFaA0wh
948491951073980416,2018-01-03 09:51:17,You have said it all! Nothing but love and blessings for everyone! I try to say what I feel… https://t.co/Xit5nkZOry
947348312042164225,2017-12-31 06:06:53,Incredibly talented! Let’s battle I’m Ready! Lol but for real!… https://t.co/t5EfL3tEvK
947233557604388866,2017-12-30 22:30:53,Deal only in truth! Legacy should be the goal! Being apart of something much more important than… https://t.co/DCf3cEvmW8
947231895590440960,2017-12-30 22:24:17,"It’s out there get on your grind and get it! We fall, we get up, dust of and try again prepared… https://t.co/SfqDlKSeUS"
944379290417881088,2017-12-23 01:29:03,"I’m a imperfect Man, constantly evolving, with a Pure Heart in search of the very best version… https://t.co/2TYMczzsrm"
944373715827118080,2017-12-23 01:06:54,This is powerful Perspective and approach  https://t.co/7DsGN1EWo6
944001777694846978,2017-12-22 00:28:57,RT @LILUZIVERT: See You In Philly...  https://t.co/VlDi2uqRqY https://t.co/o7muVk5azx
944001752503869440,2017-12-22 00:28:51,"RT @taaalib: Due to a scheduling conflict, @sza show this Friday, December 22nd, 2017 has been rescheduled. The rescheduled date is Wednesd…"
941824997097476096,2017-12-16 00:19:12,Just posted a photo https://t.co/DeqriYQOfm
941788400755068930,2017-12-15 21:53:46,Just posted a photo https://t.co/wYC6amGZMG
941787704823549952,2017-12-15 21:51:01,Just posted a photo https://t.co/B6OEG3p7Bx
941787630320209921,2017-12-15 21:50:43,Just posted a photo https://t.co/QRSsOc2SJ0
941529362423320576,2017-12-15 04:44:27,Just posted a photo https://t.co/ycytDZum6r
941079988106858497,2017-12-13 22:58:48,Facts: let’s elevate to do so trim the fat of the energy drainers  in your life and Shed those… https://t.co/fZeIH3a6JM
937586096027979776,2017-12-04 07:35:19,I really Miss Both of My Grandfathers! Today a pillar in the small pocket of South Philly is… https://t.co/64ENA3QPxl
936071547789500417,2017-11-30 03:17:03, https://t.co/L9AqUNdWWv
934685313984880641,2017-11-26 07:28:39,🤔🤭 https://t.co/xDTFpTf3cu
934673594042470400,2017-11-26 06:42:04,Smh facing the facts! https://t.co/zRxPue0C81
934278394799255552,2017-11-25 04:31:42,Hey now Chef Bopardee https://t.co/K5B1mdtnm1
934278236510416896,2017-11-25 04:31:04,I got Busy yesterday Chef Bopardee! https://t.co/7qYL2LTl1T
934277479463661568,2017-11-25 04:28:03,"It takes maturity, accountability, courage, confidence, Humbleness and balance to have… https://t.co/FSRncmUUHs"
934197026950180864,2017-11-24 23:08:22,♠️ https://t.co/cMgsG8vwAI
933465924715368450,2017-11-22 22:43:14,Facts! https://t.co/gyktfbKEFZ
933189620845764608,2017-11-22 04:25:18,Its Beauty and Art in everything depending on how you decide to look at things! Operate on a… https://t.co/BVQXHGecPi
933174372520493057,2017-11-22 03:24:42,TY The Guy! https://t.co/O51VT1vN2K
933174240873873409,2017-11-22 03:24:11,Facts do your part! God will always Do His! https://t.co/xOP70We6A1
933173097716318208,2017-11-22 03:19:38,Just posted a photo https://t.co/1b17D7doab
933170889218297856,2017-11-22 03:10:52,"My Biggest Blessing Ever ray.svea The Wave My Daughter, Best Friend and My Partner! https://t.co/O4n2qzlHt7"
933170333909180416,2017-11-22 03:08:39,Always someone watching our back we are covered! All Good Energy And Vibez constantly being… https://t.co/QH6ok67hVa
932411075760443392,2017-11-20 00:51:38,Just a couple years ago lol they act they don’t know I can’t really go 14years in the… https://t.co/1wUsxeG8Wc
932409636161970177,2017-11-20 00:45:55,Young Sual first year in LA about a decade ago been getting fresh lol if May Say so I ride my… https://t.co/7Hfk1FHQdR
932407667380903936,2017-11-20 00:38:05,Just posted a photo https://t.co/aYaEO0ZrlO
932407479991963648,2017-11-20 00:37:21, https://t.co/tY4Vc2DZuG
932407143306690560,2017-11-20 00:36:00,This making more sense to me each day! I work hard attempting nurture the things I’m involved… https://t.co/eqBik9KbwR
931644794538995712,2017-11-17 22:06:42,Facts... Sleep with Open Like CBS! https://t.co/T9Yn0Em7Y4
931103305207513093,2017-11-16 10:15:01,RAZAHGUL! #MITM https://t.co/7jI9HbnP6S
931100639894978560,2017-11-16 10:04:26,"Sometimes you want to just scream lol. You try hard to be a great person, help others and we all… https://t.co/jDyKY3Meob"
931099777068077058,2017-11-16 10:01:00, https://t.co/0stVFOwpx0
930219261674512384,2017-11-13 23:42:09,Just posted a photo https://t.co/uO5CuNxT6E
930219083894685696,2017-11-13 23:41:26,Just posted a video https://t.co/tXAa8vgul5
930218732198141952,2017-11-13 23:40:03,Just posted a photo https://t.co/tzqBoqaBs7
930210115885481985,2017-11-13 23:05:48,ELEVATION! I AM A KINGDOM KID! GOD IS IN ME! GOD IS YOU! NO WEAPON FORMED AGAINST SHALL PROSPER! https://t.co/9bnwShCYaE
930205182641819649,2017-11-13 22:46:12,This is beautiful! The people have spoken!  meekmill demonstrators!  https://t.co/bAkBra86mL
930204231293980673,2017-11-13 22:42:25,"Moving into a space,mentally,emotionally,spiritually and physically that’s elevated! I️m now… https://t.co/h6iik4pZK4"
929160133967581185,2017-11-11 01:33:33,🤔 https://t.co/OBIB4vDB0F
929159585969115136,2017-11-11 01:31:22,Just posted a photo https://t.co/yfWqwt5oSQ
929159468667031554,2017-11-11 01:30:54,Just posted a photo https://t.co/hhIeupeaLU
928388251391586304,2017-11-08 22:26:22,This says it all meekmill head up kid! You right out of there! Keep supporting I’m proud the way… https://t.co/khCajNMT0n
927025104852324352,2017-11-05 04:09:42,RR ray.svea Royalty! https://t.co/0Mz8uGe0JM
927022675406524416,2017-11-05 04:00:03,Ernie! https://t.co/hDwsrAOIWE
927022486729846784,2017-11-05 03:59:18,#MITM https://t.co/CXdLZlXpKo
920751695503790107,2017-10-18 20:41:25,RT @taaalib: The young @KevinHart4real  is going back on the road again. #IrresponsibleTour https://t.co/lC73sbCk9r
919816197079568384,2017-10-16 06:44:05,"Dope Pic! Legendary! Legacy, Legacy, Legacy! https://t.co/IfJjM1PWOq"
919815915453128704,2017-10-16 06:42:58,Ahhhhhhhh let's Go!!!! https://t.co/u7ffDSt8Kw
919814409609928704,2017-10-16 06:36:59,Facts https://t.co/3KSx8hFaib
915540032370311168,2017-10-04 11:32:08,"Ask God to lead you! Be real, Be loyal, Be focused, Be accountable, Be Honest, Be a team player,… https://t.co/PJJaG5YLCz"
915539174039724033,2017-10-04 11:28:43,Trust God Not People! Young Sual growing into a wonderful Grown man! Still a Work in progress… https://t.co/VrUPxS1KQu
915538695641497601,2017-10-04 11:26:49,Facts! Pray about your decision to be with someone and to also while in a relationship continue… https://t.co/uvsZlBnlY6
914320440876814336,2017-10-01 02:45:55,Happy Born day @meremir https://t.co/pTw8hFX2oX
914320045873946624,2017-10-01 02:44:20,The Family has another one FBE @Therealskx  https://t.co/oFyR0b7vgw
914318840301015040,2017-10-01 02:39:33, https://t.co/2rMusTibUs
913165137040728065,2017-09-27 22:15:09,This man @garyvee always has great advice! Challenging myself and others to be more positive… https://t.co/6fhBdZgeiv
913163293665062912,2017-09-27 22:07:49,I believe he's one of the best ever to play the game @carmeloanthony you should respect this… https://t.co/U3rL8prb6U
913156364620374016,2017-09-27 21:40:17,❤️#MITM https://t.co/FxOfuNwknd
912977032778092544,2017-09-27 09:47:41,"My ""LOYALTY"" is real! If you are disloyal and then lie to me about it to keep my close then you… https://t.co/f5C9URRS2a"
911860524379512837,2017-09-24 07:51:05,Birthday celebration continues for @aysiabell my Sista for life! https://t.co/ubOUM3Sc9e
911856973007642624,2017-09-24 07:36:58,This is Powerful! @kingjames using his influence to speak on a very sensitive but important… https://t.co/3vEg5fmbnn
911856025107607553,2017-09-24 07:33:12,Just posted a photo https://t.co/TmkzBU3gPi
910592630769164288,2017-09-20 19:52:55,My #Wcw always because I only have eyes for you @leahlabelle your such a blessing in so many… https://t.co/ApFFNReCOJ
910587503404449793,2017-09-20 19:32:33,My #WCW @leahlabelle giving the Vibez as she does like only she can! ✌ https://t.co/d68DfzQmvH
910586580674469890,2017-09-20 19:28:53,Just posted a photo https://t.co/Y9lXjYwNMA
909990209231695872,2017-09-19 03:59:07,My Nephew Prince and @GaryPayton_20 The Glove! H.O.F one of My OGs! Thank you for always being… https://t.co/0Lat5t8ALq
909988088062947328,2017-09-19 03:50:41,My Vets mrbigshot1 @kenyonmartinsr thanks to icecube @MoneyMase @thebig3 for affording me… https://t.co/YUJOWu3yDl
