id,created_at,text
986845750049964033,2018-04-19 05:55:36,"I can’t imagine what Coach Popovich is going through, but I am lifting up prayers you and your family.  https://t.co/PMezvqWlcL"
985213758170476545,2018-04-14 17:50:38,That time again! . #dubnation https://t.co/j5AgmELk5c
984793885216931841,2018-04-13 14:02:13, Restock alert  https://t.co/jk45wzhKFU
984790680533843969,2018-04-13 13:49:29,"RT @stockx: Today is your last chance to enter! Don't miss out on your chance at game-worn, signed sneakers from @StephenCurry30  for just…"
984114854364561408,2018-04-11 17:03:59,I’m partnering with @StockX to give you all a shot at owning the 1-of-1 @MBK_Alliance Curry 4’s I wore against the… https://t.co/Pc3dhNO74m
983973612490125312,2018-04-11 07:42:45,RT @SportsCenter: From 10 years in the G League to 19 points and MVP chants as a Laker https://t.co/j1e8gv6B3H
981361924418895872,2018-04-04 02:44:50, #DubNation
980295387352150016,2018-04-01 04:06:48,Please send up prayers thoughts love to my guy @PMcCaw0! God please heal his body and keep him strong!
978537330511368192,2018-03-27 07:40:54,Psalm 27:13-14 I remain confident of this: I will see the goodness of the LORD in the land of the living. Wait for… https://t.co/LBfkCr7aAS
977368837669580800,2018-03-24 02:17:44,Lock in! #DubNation
977045846503010304,2018-03-23 04:54:17,Running drills and having fun tonight with @Chase customers during the  clinic @ULTFieldhouse! Thanks to my partne… https://t.co/TAnj5jkWHA
974738880917225472,2018-03-16 20:07:13,@babyboypoverty 
974458922600841218,2018-03-16 01:34:46,@DavidDTSS I was in the mood too! https://t.co/Hmz70bH4Zz
974458555842543616,2018-03-16 01:33:18,@KAzubuike7 Boooooo that
974458063271772161,2018-03-16 01:31:21,Tough one down the stretch but that fight is what makes @DavidsonMBB special. Congrats to Coach McKillop on his 29t… https://t.co/Mv5vvBY61E
974419782198939648,2018-03-15 22:59:14,@Money23Green #ruiningthegame
974382900417368066,2018-03-15 20:32:41,The world is an incredible place. We blew past $30K so why not triple it? Can we hit $90K?! … https://t.co/wScXEN2nHK
974076692653363200,2018-03-15 00:15:55,It’s a big birthday so let’s make a big impact. Can we hit $30K for @nothingbutnets?! https://t.co/BdZXvomtnT https://t.co/zeTNKCrieI
972331345585127424,2018-03-10 04:40:32,#DubNation
971639801148424193,2018-03-08 06:52:35,You get uglier every year . Happy birthday! Yannnnn! https://t.co/eallYrmfMa
969805279436115970,2018-03-03 05:22:51,It’s a Great Day to Be a Wildcat! https://t.co/4boShlYNp3
969012023345500160,2018-03-01 00:50:44,Lock in! #DubNation
968279134769156097,2018-02-27 00:18:30,Lock in! #DubNation
968241488034435077,2018-02-26 21:48:54,@andrewbogut Can we start the #BogutBookClub?? What book is that?
967946535781785601,2018-02-26 02:16:52,He’s working on getting his Win % up to NBA average FG%. Congrats bro! https://t.co/a8eWNXCkcj
967568902900219905,2018-02-25 01:16:17,Lock in! #DubNation
