id,created_at,text
981276537612881921,2018-04-03 21:05:32,https://t.co/s8Fs4h9mgk
971629570821644288,2018-03-08 06:11:56,RT @rudygobert27: Way to start the road trip.#ontothenextone
964505918099554305,2018-02-16 14:25:05,So that’s how some of them see us huh ?🤔 https://t.co/Y26v5IVSSZ
964124348708683777,2018-02-15 13:08:51,I send all of my prayers and condolences to the victims and their families in Florida 
964123972043493376,2018-02-15 13:07:22,"I grew up in Switzerland, where gun control legislation is very strict, and I can assure to you that the system is… https://t.co/WYp4wvqRLl"
963419319450382341,2018-02-13 14:27:19,Keep pushing guys  wish I could b out here helping on the court  #TakeNote https://t.co/RH2NxlGcAc
961988548420304896,2018-02-09 15:41:57,"Crazy to think I played with Jae’s dad, Corey, in The French 1st division league in the early 2000s...and now he is… https://t.co/NcPRJNGrep"
961674774249340928,2018-02-08 18:55:07,RT @JoelEmbiid: Wow this is crazy lol.... The NBA is amazing
958584341201915904,2018-01-31 06:14:51,Good job boys  those jerseys    https://t.co/0cfdltUdKm
957611275865018368,2018-01-28 13:48:14,#GOAT #GOAT #GOAT #GOAT https://t.co/AavjfkxhCy
955846823163330561,2018-01-23 16:56:56,A lot of people don’t know yet  the love is greatly appreciated tho  @utahjazz @ATLHawks https://t.co/KXwPvoYpVh
953735873325039617,2018-01-17 21:08:46,@Joeingles7 Thanks mate
953026922845474816,2018-01-15 22:11:39,"Having said that, wishing everybody a great #MLKDay"
953026176343306240,2018-01-15 22:08:41,"Thanks everyone for the well wishes, they r really appreciated tough break, but will b working on coming back asa… https://t.co/pUBEwyLwSY"
952876674697265152,2018-01-15 12:14:37,"@spidadmitchell Thanks rook  keep on ballin, that ROY award is coming "
952876314721243136,2018-01-15 12:13:11,@CapelaClint Merci poto  force à toi pour le reste de la saison
952876219309182977,2018-01-15 12:12:48,@theborisdiaw Merci Bobo 
952876106784411649,2018-01-15 12:12:22,@Schahram Merci Schahram 
952876041877508096,2018-01-15 12:12:06,@dj_greengiant Merci poto 
952875943592329216,2018-01-15 12:11:43,@UtahJazz_France Merci 
952875822653767681,2018-01-15 12:11:14,"@Lerato_M Thank Lerato, i appreciate it  see you soon"
951728998769479680,2018-01-12 08:14:10,RT @JulietMoncho: nothing compares to playing the sport you love
949030871255932928,2018-01-04 21:32:46, #ROY https://t.co/hZSHc9I861
948964450169688064,2018-01-04 17:08:50, he's got my #NBAVote #SwissFellowCountryman https://t.co/46vHiMQDsO
946806262238470145,2017-12-29 18:12:58, https://t.co/jxTDxCUtDZ
946541086104842246,2017-12-29 00:39:15, https://t.co/XmhW1qPLGv
945620274564694016,2017-12-26 11:40:16,These are can't wait to play in them https://t.co/TzpDGUrUMw
945310216446513152,2017-12-25 15:08:13,@UtahJazz_France Merci à vous aussi !
944136951057305601,2017-12-22 09:26:05, https://t.co/sYP2pNgeey
943888175302406145,2017-12-21 16:57:32,"RT @FIBA: 126 years ago James Naismith invented Basketball in Springfield, Massachusetts ️ https://t.co/o2xfUaNarl"
941993763093798912,2017-12-16 11:29:49, https://t.co/ft4rnQ20pe
941638710671609856,2017-12-15 11:58:58,"@lovehopewar33 Thanks my man, really appreciate it ! "
941611937569431553,2017-12-15 10:12:34,"C'était un plaisir, à refaire  https://t.co/rIbS7RLMkT"
939934253797773312,2017-12-10 19:06:03,"You can now register to my Swiss summer camp ! Please, go to https://t.co/KyQBR36UHj #TakeNote #CampThabo #2k18 https://t.co/LDNC0zPPgR"
938409722771902467,2017-12-06 14:08:07,"Was good to b back in OKC and see some of my Oklahoman friends yesterday! Almost got the win, let's try to get the next one #TakeNote"
938105524352180224,2017-12-05 17:59:20,RT @utahjazz: When you see last night's final score  https://t.co/cDjx9pw4V3
937956826720669697,2017-12-05 08:08:28,Great win 2night let's keep on pushing #TakeNote
935186731460153345,2017-11-27 16:41:06,This can't b real right? https://t.co/PJYHN0DM4J
930851132800454657,2017-11-15 17:32:59,#attentionwhore https://t.co/dBJwMW9NuI
929494777925722113,2017-11-11 23:43:18,Let's get back on track 2night  #TakeNote
926517796011421696,2017-11-03 18:33:51,"Don't know about the legend part, but I love me some Air Max indeed @nikebasketball @SLAMonline  https://t.co/vrVzTdkXuW"
925983738978283520,2017-11-02 07:11:41,RT @rickyrubio9:  #TakeNote
920956909057921025,2017-10-19 10:16:52,"RT @utahjazz: 1-0 

#TakeNote #DENatUTA https://t.co/CPjdkuxzaY"
920553810635960320,2017-10-18 07:35:06,Starting my 12th NBA season 2night ! Still living my dream can't wait to get it going #TakeNote #PrayersForHaywardTho
918046764652998657,2017-10-11 09:32:59,RT @BET: The FULL verse that EVERYBODY is talking about! @eminem BODIED THIS! #HipHopAwards https://t.co/zoS0wEwjQF
898526861919219714,2017-08-18 12:47:52,RT @taureanprince: Big Facts https://t.co/4ioIc990H8
897724869487587328,2017-08-16 07:41:02,"RT @lematindimanche: ""J’ai passé les dernières semaines dans l’avion, pour régler mon avenir et revenir aux racines."" @ThaboSefolosha https…"
896351779151130624,2017-08-12 12:44:52,On Repeat @wizkhalifa @CHEVYWOODS  https://t.co/84Aa1y8dBx
893635770438881283,2017-08-05 00:52:25,With my Swiss fellow countryman representing Africa for the NBA Africa Game  https://t.co/m10EnqbRwn
893148302425939968,2017-08-03 16:35:23,"RT @NBA: Representing Team AFRICA... @VicOladipo @LuolDeng9 @emmanuelmudiay @ThaboSefolosha 

2017 #NBAAfricaGame: 11am/et SATURDAY on ESPN…"
892485551168925700,2017-08-01 20:41:51,Happy Swiss National Day 
887349239541637120,2017-07-18 16:31:59,"RT @utahjazz: We've signed @ThaboSefolosha! 

Welcome to the Jazz, Thabo! 

Details: https://t.co/4lofkvKtIm https://t.co/DnMPBebm1Q"
886718340806389760,2017-07-16 22:45:01,Best Ever Congrats Champ  https://t.co/gxlLXfg8YI
885451496392884225,2017-07-13 10:51:02,Thanks to the @ATLHawks for these past 3 years !  Now it's on to the @utahjazz for the next chapter of my career ! Can't wait...#takenotes
879626706268676096,2017-06-27 09:05:24,Congrats to my friend and former teammate Mr. Triple-Double @russwest44 for his MVP season ! 
878697322619731969,2017-06-24 19:32:21, https://t.co/lck65APGCb
878558339352989696,2017-06-24 10:20:05,Hier avec @ErwanAbautret et @justbeliketom on a analysé la draft et les derniers trades @FirstTeam101 https://t.co/Vp6zCtcuh3
877486849748586496,2017-06-21 11:22:22,"RT @FirstTeam101: RDV SUR FACEBOOK POUR POSER VOS QUESTIONS À @ThaboSefolosha !
C'est l'invité du prochain First Day Show ! 

=&gt; https://t.…"
877272585502953472,2017-06-20 21:10:57,RIP to Prodigy that's a legend leaving us 
877268736524333056,2017-06-20 20:55:40,RT @ATLHawks: .@ThaboSefolosha on being named captain for the 2017 @NBA Africa Game: https://t.co/XGdvtf0Y9L
870445361210503169,2017-06-02 01:02:00,Good luck to my former teammates in the finals @KyleKorver @KDTrey5 This should be a great one
865550640524570625,2017-05-19 12:52:08,"RT @Gideons_Promise: Defender Connections, the @Gideons_Promise newsletter, is here! This edition features @ThaboSefolosha's story &amp; more
h…"
859432830551678976,2017-05-02 15:42:08,@JennyThabo111 @ATLHawks Most loyal fan since the okc days  your support is well appreciated 
859429225706778624,2017-05-02 15:27:49,@JennyThabo111 @ATLHawks Thanks Jenny ! 
859391191447724034,2017-05-02 12:56:41,Thanks @NBA ! https://t.co/pGcy5fvNKw
857548113543913472,2017-04-27 10:52:57,RT @basketusa: [Journal de bord] Follow Thabo – Episode 5 https://t.co/EngrepTSM7 https://t.co/PyQrvupPOp
852299531718930462,2017-04-12 23:16:57,A great one gone way too soon RIP thanks for the stories  https://t.co/vrMPShDgld
850616675301036032,2017-04-08 07:49:53,RT @ATLHawks: That. Just. Happened. #AddTheW https://t.co/fY2hE5QxUN
849435602881851393,2017-04-05 01:36:44, @russwest44 https://t.co/JbuBUxeuHV
848839283813359616,2017-04-03 10:07:10,This goes very hard    @beatsbynav https://t.co/vn7Ehpn0Ya
845322377076654080,2017-03-24 17:12:14,Big game 2night in Milwaukee lets get back on track  #TrueToAtlanta
842011251165270016,2017-03-15 13:55:00,Honored 2have been part of such a distinguished panel yesterday! Great conversation on social change and what all o… https://t.co/91NsoCrZWC
839551771731177472,2017-03-08 19:01:55,Greatest player ever coming out of Europe  30000 pts thats crazy #respect #legend #halloffamer https://t.co/435N1HLRP0
837677625673940994,2017-03-03 14:54:43,"Big game 2night against the Cavs, hope to see some of y'all at the arena #TrueToAtlanta"
837330733077258240,2017-03-02 15:56:18,"RT @WORLDSTAR: ""Don't Give Up...""  @QWorldstar https://t.co/Yvq4msytnd"
836987553093980163,2017-03-01 17:12:37,Hoping for a quick recovery to my friend @KDTrey5 ! The game is better with you playing 
835230138023440384,2017-02-24 20:49:17,That's crazy for real https://t.co/zT0nzl1v1K
834910937576517634,2017-02-23 23:40:54,Welcome to the team !! @ErsanIlyasova7 Now lets get ready to this last run of the season #TrueToAtlanta
831245664663326720,2017-02-13 20:56:24,Dope https://t.co/4t2fLi2RTK
826203514670084097,2017-01-30 23:00:42,RT @LuolDeng9: I am a #ProudRefugee. https://t.co/4aeMY98vaJ
825685058719735808,2017-01-29 12:40:33,RT @stanwawrinka: What a match @AustralianOpen !!! Amazing @rogerfederer !!!!! 18!!!!!! 
825024406137208833,2017-01-27 16:55:21,"Congrats to my draft class mate @Paulmillsap4 ! 4th All-Stars appearance, quite a feat  https://t.co/t7tZ0PpEHr"
824663147046961152,2017-01-26 16:59:50,#Attomshop #Atl #TrueToAtlanta https://t.co/Lsyy2iI6C2
824358316155478016,2017-01-25 20:48:33,Game Day in Chicago #TrueToAtlanta
824357859429380096,2017-01-25 20:46:44,"RT @NBAcom: Great story detailing @ThaboSefolosha's difficult ordeal in NYC aired on @NBATV's #BeyondThePaint tonight

WATCH: https://t.co/…"
822484282132328451,2017-01-20 16:41:48,The only President my 2 daughters have known. Feels strange going from them to the new guy. Thanks for the class ac… https://t.co/LT4xMBzDwi
819927242012848128,2017-01-13 15:21:02,Big game 2night against the Celtics ! Lets keep the winning streak going  for those coming see you at the arena #TrueToAtlanta
817364147407060992,2017-01-06 13:36:13,Its been a pleasure sharing the court with this guy for a few years....nothing but the best for the remaining of yo… https://t.co/5PgZbfufXK
815408803579621376,2017-01-01 04:06:22,Happy New Year 
814482929690800132,2016-12-29 14:47:17,"RT @ATLHawks: ADD. THE. W.

#TrueToAtlanta https://t.co/9Jw0rv53l8"
813034319816101888,2016-12-25 14:51:01,Marry Christmas to everybody enjoy your families and the holiday season 
812365810211713024,2016-12-23 18:34:36,To register to my Swiss summer camp --&gt; https://t.co/KyQBR36UHj https://t.co/r1YvytsMAs
811252255689211904,2016-12-20 16:49:44,Great win last night in OKC in front of many friends! Always good to play at the Chesapeake Arena #TrueToAtlanta
810225763668598785,2016-12-17 20:50:49,Great win last night lets get another one 2night at home #TrueToAtlanta
809813577146269699,2016-12-16 17:32:57,Registrations for my Swiss summer camp our now open ! Please visit https://t.co/KyQBR36UHj and see you in July ! https://t.co/Rbsn4cE7Rs
809507549112311808,2016-12-15 21:16:54,RIP to the Legend Craig Sager  gone way too soon prayers to his family
