id,created_at,text
968262731215265792,2018-02-26 23:13:19,@endleZZ1ove Good work little sis.
966568983251038208,2018-02-22 07:02:58,SHOOOOOOOTTT OOUUTTTT!!! go USA!!
955852114395242501,2018-01-23 17:17:57,@SrikanthPedkar @JioCare Lol nevermind
955852109391437824,2018-01-23 17:17:56,@SrikanthPedkar @JioCare My phone is trippin as well.... are you in Cali?
952660411136004096,2018-01-14 21:55:16,@RomellActor @tremurder The disrespect lol
949495442039017472,2018-01-06 04:18:48,@obo87 @ryan_4real21 I payed with blood sweat and tears.... Been throwing the Q up since high school lol...
949099767673606144,2018-01-05 02:06:32,To my Houstonian followers... Twuan “Biggie” Dade has been missing since Dec. 23rd. If you have any info please con… https://t.co/DzozIPH3xn
942865325892296704,2017-12-18 21:13:05,@tremurder Congrats my guy...
942865257596444676,2017-12-18 21:12:49,RT @tremurder: PIT BULL SOLD! https://t.co/jOA6P6XS2s
936292185955282944,2017-11-30 17:53:47,"RT @PGATOUR: There's the fist pump!

Huge par save on No. 4 for @TigerWoods.

#QuickHits https://t.co/Z15iCSgZxu"
924396773086515200,2017-10-28 22:05:39,@endleZZ1ove @TAJPORTER @zbrucemusic Shots fired
922310271066103808,2017-10-23 03:54:38,@ontheprowl_MN I love my Job....
919325907541733376,2017-10-14 22:15:51,RT @meel_ocean: Whether its a Pre workout healthy smoothie or post workout healthy food option they got you covered. https://t.co/Qdu5Ejf6VE
919325819171999745,2017-10-14 22:15:30,"Tropical Smoothie Cafe grand opening in Kent. $1.99 smoothies so  you can find your flavor. And the food .
12954 S… https://t.co/yubn4BXsrO"
918464950758191104,2017-10-12 13:14:43,"Hi All
I wanted to invite you out to Tropical Smoothie Cafe in Kent. A healthier alternative. https://t.co/7upMYfaURA"
917722551870214144,2017-10-10 12:04:41,RT @1ShawnT: Mood everyday I wake up  https://t.co/b2AisUqdA0
917682734331564032,2017-10-10 09:26:28,RT @BleacherReport: BYU came to shut it down  (via @cougarettesBYU and @BYUCougar) https://t.co/JwFtrP8Iw2
917682601351147521,2017-10-10 09:25:56,@Dial49RednGold @dak I think a lot of things... but no one really knows.... or will ever know (prolly)... I'm just… https://t.co/CB1KgB6KZj
917610535373492224,2017-10-10 04:39:34,"My curiosity is non bias.... just curious, I respect EVERYONES opinion though.... just tryin to #MakeAmericaDeauxp"
917607124154355712,2017-10-10 04:26:01,@BradHales10 @dak We'll see
917606516139675653,2017-10-10 04:23:36,Just curious if they would bench @dak for kneeling 🤷‍♂️
