id,created_at,text
963594587376902144,2018-02-14 02:03:47,Jordan Clarkson hoopin!!!!
961646531257479168,2018-02-08 17:02:54,Beat duke!!! Let’s go!!!!!! @ Tarheel Country https://t.co/9D64L9ts0j
952508101072101376,2018-01-14 11:50:02,RT @SlickScoot: When you’re dog thinks he human 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/gjvLsLba4G
944593742106730496,2017-12-23 15:41:12,Squad up!! https://t.co/V6vdvoXjhX
944393563911094273,2017-12-23 02:25:46,@KyRyPow @ChrisMarlowe 
932393956838727680,2017-11-19 23:43:37,Four season brunch with the homies @JackMcClinton @BaronDavis @ Four Seasons Hotel Los Angeles… https://t.co/znLbgoOqWg
895739965514149889,2017-08-10 20:13:44,New Sleakers slkrsofficial are in. Kids women's and men's sizes available. Link in the bio… https://t.co/c38LdejRR6
891509846264000512,2017-07-30 04:04:45,Who's power tonight been waiting for it all week!!!! On demand at 12 sheesh
891509712910376960,2017-07-30 04:04:13,Tough fight... my man ab fought hard tho
891476359804997633,2017-07-30 01:51:41,Adrian Broner vs Mikey Garcia ... who you got??
887451439508766722,2017-07-18 23:18:05,I haven't signed in China!!!!!
883540706777640960,2017-07-08 04:18:14,I am sponsoring the Sactown Nachos Festival along with my shoe company Slkrs ‼️ August 26th @… https://t.co/YSkXY0UhAQ
880967689816096769,2017-07-01 01:53:59,Wooooooow!!! Pg to Okc that's wild!!!!
880575271132332033,2017-06-29 23:54:39,Tarheel edition  dropping in July #smurfgang ❄️❄️❄️ slkrsofficial https://t.co/EOG8SRDyXq
879522930023059456,2017-06-27 02:13:01,Honestly lavar ball is lowkey becoming one my top 10 fav ppl in the world lol.... have u seen this wwe ish... omg lol I'm crying !!!!
878395512352903168,2017-06-23 23:33:04,  wtf ppl got too much time on their hands!!!!! https://t.co/tyQHZ3ZWVn
877702170249904133,2017-06-22 01:37:58,"RT @jdramirez_: It was good operating with you today sir, good luck in the future https://t.co/GtFr6HWKY8"
870777205625831424,2017-06-02 23:00:38,RT @mwavezz: NEVER FOLD https://t.co/Mn3KFv8tTx
870303712979374080,2017-06-01 15:39:09,"RT @billherenda: “He’s not likeable, he’s lovable” . @CoachJoerger on @TyLawson3 on @SiriusXMNBA"
870303511296311296,2017-06-01 15:38:21,RT @lou_wvill: FCA camp w/ @ATolliver44 and then @TyLawson3 came through. Great opportunity  https://t.co/v2jfmtoJ1k
868371645194313728,2017-05-27 07:41:48,RT @ruky2u: Even the kids love #Slkrs @TyLawson3 feels like you're literally walking on pillows in these house shoes ☝ https://t.co/W0v…
865025245039665152,2017-05-18 02:04:24,RT @ruky2u: Very comfortable house shoes  ❤️ them! https://t.co/mahwm89jBn
863507088886030336,2017-05-13 21:31:47,RT @JordanFPerform: @tylawson3 is going to be a real problem for defenses all around the league next season! #nba… https://t.co/UsU5WnkPyr
862542342623854592,2017-05-11 05:38:14,Touché https://t.co/vrwVL28IKI
862495669512056832,2017-05-11 02:32:46,Lol manuuuuu!!!!!!! https://t.co/tqez6AwdJ3
862454673424359424,2017-05-10 23:49:52,Sleakers gang... the preview... coming soon .. https://t.co/dnKiS5xENv slkrsofficial https://t.co/7tVWe4zU6j
861993465562800128,2017-05-09 17:17:11,RT @Selena_causor: Being 105% single is coo because you ain't got no one to text back and no stress and your phone stays charged about all…
857768936422682625,2017-04-28 01:30:25,This game is crazy!!!!!!!!!!!!
853733843026694144,2017-04-16 22:16:24,Smurf gang rise up..... @Isaiah_Thomas .... prayers up!!!! https://t.co/cO6TlHku8s
849105336606760962,2017-04-04 03:44:22,The young boys won the championship!!!!!! Lit!!!! #TarHeelNation
848239766344654849,2017-04-01 18:24:54,Shhh!!!! New heat soon!! slkrsofficial https://t.co/1EqkmrkyNS
847182904593489920,2017-03-29 20:25:19,slkrsofficial cooolin!!! https://t.co/AIz956KtNX https://t.co/2krEAPXvqm
846450004470329344,2017-03-27 19:53:02,slkrsofficial orders on the way!!! Get yours at https://t.co/dnKiS5xENv https://t.co/g0SbPMdONz
841389379486593024,2017-03-13 20:43:54,Rubs hands like birdman
837266039159205889,2017-03-02 11:39:14,Lmao https://t.co/akLxrJGaLJ
837265802550104065,2017-03-02 11:38:17,@abcdedgar lol I need it
834844673189482496,2017-02-23 19:17:35,Too hype to be back tonight Let’s get it #SacramentoProud https://t.co/HbsMFBEzn9
833853661432393729,2017-02-21 01:39:39,Ooooooooomg!!!!!!!! https://t.co/rJsdK5L3X9
831226064064086017,2017-02-13 19:38:31,Shared some of my go-to diet and fitness secrets with @AskMen. Check it out here: https://t.co/Nta88MZ0wD https://t.co/XWV3g4A8Sp
829841940321415168,2017-02-09 23:58:30,This is true https://t.co/e3t4Ga4WJZ
829804685615886336,2017-02-09 21:30:28,https://t.co/dnKiS5Pgc5 still got a couple pairs left. For updates about the next wave check out slkrsofficial https://t.co/NonnSTg8AP
828361327718576128,2017-02-05 21:55:05,Just posted a video https://t.co/Fus2LPgUu6
827380838564126724,2017-02-03 04:58:58,@HunterEstes1 https://t.co/tZfQtoBxzb
823918614403252225,2017-01-24 15:41:19,Keep pushing https://t.co/eyIzJ0N6RU
823913171580764160,2017-01-24 15:19:42,@ParadicksTV yeah that's what I'm working on
823040955599245313,2017-01-22 05:33:49,Sick action!!!!
821890452542652416,2017-01-19 01:22:08,Let's get this win before this 2 week road trip #sacnation https://t.co/LfYnzIbSuW
820054499196882945,2017-01-13 23:46:43, https://t.co/3pUBhbtawU
818624987250556928,2017-01-10 01:06:20,RT @MirandaEipperle: Just found out that Sports Illustrated put me on their list of best Halloween costumes of 2014. I'm famous. @TyLawson3…
816423617714065408,2017-01-03 23:18:53,RT @NatividadIzak: Its like walking on pillows @TyLawson3 https://t.co/VzpH4NImB9
816423517898022912,2017-01-03 23:18:29,RT @k_ranada89: Shoutout to @TyLawson3 for these slkrs slippers. They comfortable as hell lol https://t.co/P5qZeOizPx
815377319384625157,2017-01-01 02:01:16,Lol https://t.co/hrOSpErrFY
813141868150026240,2016-12-25 21:58:23,@NatividadIzak my man
813141779415384064,2016-12-25 21:58:02,@kmitchell612 dope
811681840872374272,2016-12-21 21:16:45,https://t.co/AIz956KtNX https://t.co/2nkIj8wUUi
811681278407737344,2016-12-21 21:14:31,@YooZayyyy from what
811681172753260545,2016-12-21 21:14:06,@matrix31 feet feel like u walking on clouds huh lol
811681021003341828,2016-12-21 21:13:30,RT @matrix31: Happy #wednesday got my slkrsofficial @tylawson3 that's what's up get them they hotttttt.......… https://t.co/qLRjRjrfRS
811380328635908096,2016-12-21 01:18:39,RT @BrandonWoodson: Yo @TyLawson3 these Sleezy #SLKRS are sooooooo damn comfortable https://t.co/vrHz7nHSw0
811083415172694016,2016-12-20 05:38:50,@2cesar0 @BowersCLE super comfy
811000277545295872,2016-12-20 00:08:28,Sheesh sheesh!!!  https://t.co/N8Iy2wnJ2w
810023655442968576,2016-12-17 07:27:43,@Dae2xxx https://t.co/tZfQtoT8XL
809601477102731266,2016-12-16 03:30:08,@BrandonWoodson https://t.co/tZfQtoT8XL
809601407535943680,2016-12-16 03:29:51,@BrandonWoodson it's up and running now
809599623035756544,2016-12-16 03:22:46,This new @KDTrey5 #DurantEmoji is lit lol @RocNation family #RocFam https://t.co/VlbI2FrxLu https://t.co/3KWAyKmclD
809591778005385216,2016-12-16 02:51:36,@BrandonWoodson @BleacherReport  yeah they are out now
809591672967401473,2016-12-16 02:51:10,@jawpacknugs yeah the yeezys
802469174391910400,2016-11-26 11:08:54,Please help https://t.co/g28vhMDQv6
801741376882765824,2016-11-24 10:56:54,@daniel_tutupoly no problem
792621326913507328,2016-10-30 06:57:05,Good win sactown....
792116509355024386,2016-10-28 21:31:07,@AliciaWuebker no problem
791891776256679936,2016-10-28 06:38:06,Good game sactown.... we loss but we're building for sure.... appreciate all the fans that went hard for us tonight !!!!! White and purple
782738500894363648,2016-10-03 00:26:15,Corey brewer is my guy ... let's see what he does
782738119145558016,2016-10-03 00:24:44,Brewski!!!!!
782722365918552064,2016-10-02 23:22:08,@Theo_The_1 it's crazy
782716007769006080,2016-10-02 22:56:53,@_itstylerj is been 4 weeks now
782715971089764352,2016-10-02 22:56:44,@_itstylerj dammit the qb now is trippin
782715290589081600,2016-10-02 22:54:02,Please start Colin kaepernick please!!!!!!!!!! Wtf!!!!!!!
782714949885833216,2016-10-02 22:52:40,@juhnellealvarez had to stay lowkey
772929858884161536,2016-09-05 22:50:13,@E_DUUB3 thanks bro
772928107753771009,2016-09-05 22:43:15,@pmpakos14 @VouNikos @JeyPoower omg I'm loving better than all y'all 🤔🤔🤔
772924478334443520,2016-09-05 22:28:50,Omg!!!!! https://t.co/r4OcTmOb36
772921403959971840,2016-09-05 22:16:37,@LILUZIVERT got me turnt on this I can't lose track---- ima winner
772921081166299137,2016-09-05 22:15:20,@E_DUUB3 h's up!!!!
