id,created_at,text
969141556060934144,2018-03-01 09:25:27,No  lol
969134565326401536,2018-03-01 08:57:40,🤷‍♂️ RT @OKCThunderHeads: Paul George talked about missing calls..... https://t.co/XpfMyIfr8g
967481618074976256,2018-02-24 19:29:27,RT @HoopMajor: Jesse “Filayyyy” Jones Working out at @nikebasketball NYHQ with @NeBc_Trev in the new @Yg_Trece #PG2 Colorway https://t.co/I…
967303329662431234,2018-02-24 07:41:00,RT @KHSsportscenter: HUGE CONGRATS to our BOYS Basketball on their win over Twentynine Palms!!  Hawks will play in the CHAMPIONSHIP next…
964174535015612416,2018-02-15 16:28:17,Good times bro gotta redeem ourselves this summer RT @WheelerFishing: #tbt to my homie @Yg_Trece crushing it on Gei… https://t.co/ESDi1g1cVu
961143016474935296,2018-02-07 07:42:06, up to Porzingis !
957477445652963328,2018-01-28 04:56:26,SQUADDDDDDD RT @KingJames: I do get to pick who starts on my #TeamLeBron team since I had an injury on my team c… https://t.co/jku2KsJk8h
956221247347679234,2018-01-24 17:44:45,@DaTrillStak5 appreciate ya big bro ✊ nothing but motivation!
954753204364955649,2018-01-20 16:31:17,"Stay tuned... @playstation @nikebasketball
#PG2 #nikebasketball https://t.co/PTrrq7CEmr"
949180077908008961,2018-01-05 07:25:40,Yessir!!! Hell of a season for you! RT @baker_mayfield6: @Yg_Trece All good my dude! Good win!!!!
949167867110440961,2018-01-05 06:37:08,@baker_mayfield6 Brodie my fault! Lol didn’t recognize you ✊still my guy
947710776311197696,2018-01-01 06:07:11,Happy New Years !
946945397104226306,2017-12-30 03:25:50,Wow?! No travel OR out of bounds huh? 🤔
946437827956494341,2017-12-28 17:48:56,Vote now for @wowaquarium as USA Today’s Best New Attraction of 2017. Go to https://t.co/zMQZRMGdQg and you can vot… https://t.co/wP0uDZSq9q
943943183255433216,2017-12-21 20:36:07,I think @DestinyTheGame and I need to run this back again. RT for your chance to win some #Destiny2 games now.… https://t.co/Dd2RGHYfK5
942596395927834624,2017-12-18 03:24:28,YOUR CITY.  YOUR TEAM.  YOUR CAP.  Get your #NBA Official On-Court Collection City Series cap now at… https://t.co/pUmESO1HTi
942565298439426048,2017-12-18 01:20:53,"As a thank you to all my fans, @DestinyTheGame and I are teaming up for some fun giveaways this holiday season. RT… https://t.co/Y7koAWfuhc"
931353852783349760,2017-11-17 02:50:36,"RT @mhs_basketballl: Team shoes came in today! 
Boys will be rockin those PG1's 
@Yg_Trece https://t.co/S0KjjfcBX9"
930175270027448321,2017-11-13 20:47:20,"RT @FresnoState_Mag: There is perhaps no university in America with 3 superstars as high profile as @TheJudge44, @derekcarrqb and @Yg_Trece…"
929788800070504449,2017-11-12 19:11:39,RT @OU_MBBall: Rockin the ❄️❄️❄️ @Yg_Trece kicks. #OneOklahoma https://t.co/4R54Z7IV6k
926184466409840640,2017-11-02 20:29:19,Great interview with my guy @MartySmithESPN  https://t.co/0IfG5ufSzs
924477670171271169,2017-10-29 03:27:07,@the2kferguson book*
924477543599796224,2017-10-29 03:26:37,@the2kferguson lol that’s just the first page TFerg.. a lot more in this bag
920449455240949760,2017-10-18 00:40:25,@Dustin_P_Hart thanks Dustin
920445857211863040,2017-10-18 00:26:08,#PrayforGordonHayward
920445760579276803,2017-10-18 00:25:45,@Grangerous someone get this dumbass outta here 
920445604781752320,2017-10-18 00:25:07,@Grangerous and you’re a father?! What you teach yo kids?! To hate ?
920443835502792709,2017-10-18 00:18:06,God bless you bro @gordonhayward !  help him thru this god!
920443577590800386,2017-10-18 00:17:04,Naw G! 
912774689688358912,2017-09-26 20:23:39,Lmao that’s pretty accurate RT @NBAonTNT: .@Yg_Trece hasn't given up yet! (⬆️) https://t.co/aewbVUpKaV
911651073882034176,2017-09-23 17:58:48,⚡️⚡️⚡️
910992021455818752,2017-09-21 22:19:57,#WhatAreYouCapableOf https://t.co/uzywAj4y4f
909482960566476801,2017-09-17 18:23:29,PS4 tho
