id,created_at,text
809138150517796864,2016-12-14 20:49:02,Come see me tonight at 5PM @FrysFoodStores on Camelback &amp; Litchfield. I'll have a $500 holiday gift to give to one lucky fan who attends
800426830532669440,2016-11-20 19:53:22,"First Maryland game since I left... Thanks to Maryland fans, always showing love!!! https://t.co/0njAOWsS9l"
789689529435234304,2016-10-22 04:47:10,#WeArePHX
788448618105548800,2016-10-18 18:36:13,"RT @KateWGallego: Celebrating #GAIN w/ @PHXPolice @PhoenixParks &amp; @lenfoundation.  @alexlen provides sneakers, stipend, and fancy meal for…"
781616368789651456,2016-09-29 22:07:18,#TBT #Terrapins # https://t.co/gIC6PT1ytB
779889724555091968,2016-09-25 03:46:14,"We make a LIVING by what we GET, but we make a LIFE by what we GIVE #LenDaHandFoundation #Phoenix https://t.co/nEImoBvS4r"
779884764358520832,2016-09-25 03:26:32,"RT @Suns: Everyone's journey begins somewhere, but the letters on the front of our jersey is what makes us family. 

Together, #WeArePHX. h…"
779879990489776128,2016-09-25 03:07:33,@BMSS_JonRadow yessir
779130460509134850,2016-09-23 01:29:11,RT @PhoenixParks: The work of @alexlen's @lenfoundation at Faye Gray Rec Center was honored at tonight's @PhoenixParks Board meeting https:…
779130084422590464,2016-09-23 01:27:42,"Len-D A Hand Foundation 
https://t.co/C5nkZB2QUQ"
754115935900798976,2016-07-16 00:50:24,Congratulations to my boy @mowilkerson on his well deserved extension with the Jets!!! Hard work pays off!! #SIGFam
750055463996186624,2016-07-04 19:55:32,"Last Day To Sign Up!!!!!!
https://t.co/jGVWoQhpft https://t.co/BJYTsH1bsY"
748659651357487108,2016-06-30 23:29:04,RT @EatUmUpPhoto: [NEW VIDEO] : Couple days from last week with @Suns center @alexlen &amp; the kids from Faye Gray Rec Center. https://t.co/81…
747568750082154496,2016-06-27 23:14:13,"RT @Suns: Calling all Arizona hoopers!

Don’t miss your chance to learn NBA skills from @alexlen this summer.  https://t.co/jMFKJFFdCC"
747476980077985792,2016-06-27 17:09:34,"Sign Up Now!!!!! Spots Are Limited
https://t.co/ViHo863AoA https://t.co/qDJKGovlln"
745755052715892737,2016-06-22 23:07:14,(2/2) https://t.co/yz1Iou0QjZ
745755051713429505,2016-06-22 23:07:14,Please go #Follow my #Official Skills Camp #IGPage @alexlenbasketballcamps to get the latest camp information and upcoming events (1/2)
744005398873575424,2016-06-18 03:14:44,Thanks For The Birthday Love!!! #WeArePHX  #TerpNation
743195777141334016,2016-06-15 21:37:35,July 5-8 come out to my Basketball Skills Camp Spots are Limited. Register at https://t.co/1hNUqGpxal https://t.co/JiMq61o6PT
723640006867333120,2016-04-22 22:29:56,#WeArePHX https://t.co/Xh3W09NUNu
715235803899637760,2016-03-30 17:54:38,"RT @Suns: A mother's visit became a chance for @alexlen to give back to kids in his home country.

 https://t.co/kaQzqnf7ok https://t.co/Y…"
709818477377261568,2016-03-15 19:08:07,RT @lenfoundation: Christmas Giveaway 2015 @alexlen @Suns Faye Gray @PhoenixParks @Suns4kids #WeArePHX https://t.co/GyAPtIpajo
709495072186703872,2016-03-14 21:43:01,Game Day!!!!!!!!!! #WeArePHX
707951170619252736,2016-03-10 15:28:06,"RT @Suns: As a thank you for following us, we're giving away FREE tix to #SunsSocialNight on Monday: https://t.co/SEXaeSWDNu https://t.co/q…"
707252200221724674,2016-03-08 17:10:39,RT @lenfoundation: Founder of the Len-D A Hand @alexlen https://t.co/GP4lozFChn
706631313684504578,2016-03-07 00:03:28,#WeArePHX !!!!!!!!!!!!
702333278968152069,2016-02-24 03:24:37,Welcome To The Family #feartheturtle RT @CoachTurgeon: Congrats to our future Terp @__AntC on (cont) https://t.co/OL4vpPPddy
702332298369183746,2016-02-24 03:20:43,Yall vote for my sister's artwork. She's got talent! https://t.co/TtkdMX2LeV
698341746535702528,2016-02-13 03:03:41,Follow my Foundation Page @lenfoundation #WeArePHX #LendAHand #AlexLen
698341096083091456,2016-02-13 03:01:06,Thank You!!RT @Gregg_Bach: Great work being done by the @Suns @alexlen and @lenfoundation to (cont) https://t.co/ZCuVb2XfoM
698340943947296769,2016-02-13 03:00:30,RT @PhoenixParks: Thank you @lenfoundation @alexlen The kids from Faye Gray Rec Center had a great (cont) https://t.co/wfmz3BpcPD
693186472417951744,2016-01-29 21:38:28,RT @lenfoundation: Happy Birthday to the kids from the Faye Gray Center!!! Enjoy your party today see you guys (cont) https://t.co/qt1usl8A…
685593053944352768,2016-01-08 22:44:56,Congrats bro get well #sigfam RT @cwiestling: Congrats to @mowilkerson for yet another honor.  This (cont) https://t.co/NawqzmP1MX
678663612823502848,2015-12-20 19:49:48,Talking Stick!!!!! #WeArePHX☀️☀️
678662426842148866,2015-12-20 19:45:06,#SIGFamRT @cwiestling: Muhammad Wilkerson's Dominant Season Raises Potential Price Tag in Free (cont) https://t.co/5HDrnMddtU
678382048801767425,2015-12-20 01:10:58,##LendAHand #MerryChristmas (2/2) https://t.co/CAuPwjYpVi
678382047740563456,2015-12-20 01:10:58,Awesome day today had a chance to  give back something that is very important to me and my family. Hope the kids enjoy their bikes (1/2)
678109716715667456,2015-12-19 07:08:49,#SIGFam RT @Anosike_1: My guy -- I see you big fella @alexlen 
678109392227598337,2015-12-19 07:07:32,#WeArePHX
676527738308571136,2015-12-14 22:22:36,Game Time!!!! #WeArePHX
676189083173961728,2015-12-13 23:56:55,Great team win!! #WeArePHX
676104543197773824,2015-12-13 18:20:59,GameDay!!!!!! #WeArePHX
675173819380801537,2015-12-11 04:42:37,@Dyamon20 yup next time lol
675173714254831616,2015-12-11 04:42:12,@JohnnyS7ORM thanks for coming out
675173553663303680,2015-12-11 04:41:33,@gmoneyaz1983 hope it gives you some inspiration. Keep fighting
675173373836697601,2015-12-11 04:40:51,Thanks for coming outRT @kyletkerch: S/O to @alexlen for taking some pictures and signing some (cont) https://t.co/qGmEgWd4iD
675169804668510208,2015-12-11 04:26:40,Was a pleasure meeting you Godbless you RT @gmoneyaz1983: @alexlen  hey Man I'm glad I skipped (cont) https://t.co/0XhNpVZjAZ
674818654802808833,2015-12-10 05:11:19,#WeArePHX !!!!!!!
674606585893687297,2015-12-09 15:08:38,So happy to be back home playing in front of the best fans in the NBA #WeArePHX
674421664315150336,2015-12-09 02:53:49,Let's Go Terps!!!! #feartheturtle
669959400837292033,2015-11-26 19:22:23,"#SIGFamRT @SportsIntGroup: As #Thanksgiving games kick off, head to https://t.co/OXLApMpong to (cont) https://t.co/wm4MS1Y7vm"
666842848424148992,2015-11-18 04:58:19,Great Win by My Terps!!! #feartheturtle
666500855676321792,2015-11-17 06:19:21,Best Fans in the NBA see you guys Wednesday #WeArePHX
662442952640172032,2015-11-06 01:34:42,Who coming to the game tomorrow? #WeArePHX
662146096362229760,2015-11-05 05:55:06,Best Fans in the NBA!!!!! #WeArePHX
661302649308901376,2015-11-02 22:03:32,"RT @APS_Rich: Shout out 2 @alexlen great game &amp; for trivia prize, just got my autographed Team-Len t-shirt today #WeArePHX https://t.co/6KV…"
659201759844237312,2015-10-28 02:55:21,Winner. Check your DM RT @APS_Rich: @alexlen chess https://t.co/sDlVtmskYL
659200786216284160,2015-10-28 02:51:29,Sorry got distracted by my favorite hobby...question is what is my favorite hobby?? AlexLenTrivia #WeArePHX
659196160045780992,2015-10-28 02:33:06,Ok one last one for a signed Team Len shirt #AlexLenTrivia #WeArePHX
659194956309925889,2015-10-28 02:28:19,Good D
659183066120720384,2015-10-28 01:41:04,Layup lol check your DM RT @TheRealJoe_D: @alexlen fogo de chao
659182296197566464,2015-10-28 01:38:01,Hint: used to go there with my Brazilian bro Blur!
659181010463010816,2015-10-28 01:32:54,@JacobPadilla_ used to be! #terps
659180218234474496,2015-10-28 01:29:45,Hard one... #WeArePHX #AlexLenTrivia
