id,created_at,text
983487891404881921,2018-04-09 23:32:40,"RT @ariannahuff: For NBA star @andre, building new off-court habits led to major on-court improvements https://t.co/6MEOYqIu4u"
983125787736862720,2018-04-08 23:33:48,@RMBWilliams @NikeSF @superscientific @Thee_JesseJames @ToNYD2WiLD @WarriorsGaming @CHoops4Life @Fresh @QiasOmar… https://t.co/QQgu3KaWOz
983114877337092098,2018-04-08 22:50:26,@NoLayingUp Hahaha. Someone said houndstooth tablecloth!
983095206466629632,2018-04-08 21:32:16,This Muhfugga @JordanSpieth cold!
983049494005563397,2018-04-08 18:30:38,@jamesproud @_graceor You know about Nandos!!!
982729979048771584,2018-04-07 21:20:59,@jonathanrwall Gotta pause that whoa!
982431799941869568,2018-04-07 01:36:08,God don’t like ugly
982304314034085889,2018-04-06 17:09:33,@jonathanrwall Man you ain’t lyin....
981232705571565575,2018-04-03 18:11:22,@HashtagChad I’m confused too...
981041803301392385,2018-04-03 05:32:47,China food! 🤣🤣🤣
981041376795267073,2018-04-03 05:31:05,@clrkd @DragonflyJonez Lol!! What does it say that a some of these guys are/were my teammate!?????
981038682458218496,2018-04-03 05:20:23,@YT__SZN @DragonflyJonez No way he came up with that!!
981038432209244162,2018-04-03 05:19:23,@DragonflyJonez Lol!!!!!!
981038281184997376,2018-04-03 05:18:47,@SpankHorton Lol!!!!!!!!
980570903539941376,2018-04-01 22:21:36,Well damn... https://t.co/i8msLUymFl
980217572082663424,2018-03-31 22:57:35,@KCJ_Swish @SD2Mics Nick U’Ren
980197787575844864,2018-03-31 21:38:58,@KCJ_Swish I’ll join you... shits ridiculous...
979821416450162688,2018-03-30 20:43:24,The difference.... https://t.co/yAxtZIs4pT
978872073832615936,2018-03-28 05:51:03,You sapiens something else...
978871230001446912,2018-03-28 05:47:42,Dad hit moms in the wrong year... #ClassicBar
978423305995603969,2018-03-27 00:07:49,RT @CTrost7: RT if you got spanked and you are not violent https://t.co/gM2B5ZTFTJ
978154913363406848,2018-03-26 06:21:19,Lots of guys watch Bruce Lee movies...
977599307841863680,2018-03-24 17:33:32,@NickNPattiWhack @NickSwagyPYoung Lol!!
976638186683219968,2018-03-22 01:54:23,@NomadImagesLLC Good looking fam!!!
976518796033720322,2018-03-21 17:59:58,"RT @TTwersky: That dude @KlayThompson landed his first @SLAMonline cover...

And they let me pen the story.  https://t.co/4H0bHRrLsX 

 #S…"
976247374233260033,2018-03-21 00:01:26,Well give me my money back! Lol this is dope for real. https://t.co/K0U83zSfYH
975494322140282882,2018-03-18 22:09:04,That boy @McIlroyRory locked in...
975484023848890368,2018-03-18 21:28:09,@ChairmanSDot @LarryDavidSr I told y’all nobody messing with @McIlroyRory at his best...
975483885118083073,2018-03-18 21:27:36,@MichaelBreed Nope. Rory bout to win. #TakeThatJohnnyMiller
975479238466748416,2018-03-18 21:09:08,Damn Gina!!!!!
975239308545114112,2018-03-18 05:15:44,Cold!! https://t.co/jgjkxPoXhE
974492421705801729,2018-03-16 03:47:53,@D_West30 Our boy in full effect...
974491817843441664,2018-03-16 03:45:29,And I’m ain’t watchin’....
974488867087597569,2018-03-16 03:33:45,@iamnjohn13 No
974399948815974400,2018-03-15 21:40:25,@Richie_l0c0 “These hands work around the clock”!!!
974368086773002240,2018-03-15 19:33:49,Tiger and Rory getting busy!!!
974173761359380480,2018-03-15 06:41:38,Flight and Willie...
973359264424116224,2018-03-13 00:45:07,@TerezOwens @DragonflyJonez Eat you some soup b.... you’ll be aight!!
973262532696670208,2018-03-12 18:20:44,Uhhhhh.... nvm @_Michaelinho
973252668876505088,2018-03-12 17:41:33,Get my guy in @MoneyMase !!! https://t.co/Xgbk42mBfx
973252192151863298,2018-03-12 17:39:39,@JasonSobelESPN Yeah cause folks don’t know how to retee on OB shots.... ahem... @24Bazemore
972632647548760064,2018-03-11 00:37:48,@GolfDigest *☝
972195565814538240,2018-03-09 19:41:00,@HashtagChad Lol!!!
971534152091643905,2018-03-07 23:52:46,@elisabeth @SpankHorton Lol!!
971473304635686912,2018-03-07 19:50:59,@SpankHorton Lol!!!
