id,created_at,text
987703883316146176,2018-04-21 14:45:31,@mattbilinsky wow!  He will be ostracized in Hollywood!
987703604193644544,2018-04-21 14:44:24,"Ok Kanye!! Careful, you will have an “accident” if you keep this free thinking thing up!! #hollywoodisnotrolling"
987701781902778368,2018-04-21 14:37:10,Good watch https://t.co/PTZrMiD804
987672833110102017,2018-04-21 12:42:08,@The_Real_JimJam No bad blood. Business is business. And you guys will be fine to another 'chip this season.... IMO
987661977332862976,2018-04-21 11:58:59,A story about how team X lost because they had too much time to prepare  https://t.co/rjFVCqwZdA
987643543991734274,2018-04-21 10:45:45,One on one rocked ! Had that poster on the MJ side tho! Sorry Hammer.... https://t.co/K62dbDQt3U
987593496184815616,2018-04-21 07:26:52,"Im a bomber fan sir, it also effects us...... https://t.co/YV8ZsRaU1T"
987585066254516224,2018-04-21 06:53:22,"Will any journos write about the LONG break between games that MELB, RICH, ESS And COLL have? Or will we just hear… https://t.co/nj7zuLg6YC"
987535146688495616,2018-04-21 03:35:01,The @ThonMaker14 game!!!!
987501711643234304,2018-04-21 01:22:09,Great game so far in Indy vs Cle. Some tough calls the last few mins against Indy tho....
987260440882298880,2018-04-20 09:23:26,Very. Can you get me the signed Razor shoes for the pool room? #superstar https://t.co/K1d9hYtUfh
987260145125146624,2018-04-20 09:22:15,Pugs are beautiful dogs https://t.co/NDrHdXyaTu
987254200248578048,2018-04-20 08:58:38,Hopefully we get the boundary umps next week! Goal umps week after...🤩 https://t.co/Ei3Axaff1H
987222759552909312,2018-04-20 06:53:42,You always complain its too far to drive. https://t.co/sn8tRT37s2
987195524099989504,2018-04-20 05:05:28,Room with a view.... https://t.co/KYDno2OJ8u
986971046023544833,2018-04-19 14:13:29,@mattpav29 @FOXFootyLive @sarahjonesFOX @Neroli_M_FOX thanks Pav!
986942534650806272,2018-04-19 12:20:11,"@TheHBM Appreciate respecting the conversation! Not many do. Next time come and say hello, only ever an issue if i… https://t.co/OZL47s0dsn"
986941928355676160,2018-04-19 12:17:46,PIlates is a killer.... #sore
986931949817159685,2018-04-19 11:38:07,🤦‍♂️ https://t.co/JQlUxokmN6
986866861592559616,2018-04-19 07:19:29,RT @crownbet: .@andrewbogut joins the @DoubleDribble team alongside @ChrisAnstey13 for the remainder of the #NBAPlayoffs! Listen and Subscr…
986843995769790464,2018-04-19 05:48:37,Sad https://t.co/hcBplpPQS5
986814126646116353,2018-04-19 03:49:56,"RT @NbaStraya: AY! We celebrated today's 100th episode of #NBA #Straya with a very special guest: NBA Champ &amp; Aussie ledge, @andrewbogut!…"
986595676397039617,2018-04-18 13:21:53,@Vergops my mate that owned it sold it!
986591548203712512,2018-04-18 13:05:29, https://t.co/3x9AuCtyV2
986589560036515840,2018-04-18 12:57:35,@samjacobs24 you have never beaten us!!!!......... in 2018
986589356868583424,2018-04-18 12:56:47,Enjoyed the show today ladies &gt; @Neroli_M_FOX @sarahjonesFOX and anon acct Kelli! Thanks for the opp. And I promise… https://t.co/BssqzxhqSh
986587617645883397,2018-04-18 12:49:52,@samjacobs24 @JoshJenkins24 go you @EssendonFC BOMBERS!!!!
986430858474151936,2018-04-18 02:26:58,RT @Neroli_M_FOX: Just finished filming #OnTheMark with special guest @andrewbogut - a mad @EssendonFC fan. Really enjoyed his insights on…
986205345084096513,2018-04-17 11:30:51,@meeerko bice ona Predsjednica za jos par godine.......
986202200060846080,2018-04-17 11:18:21,@kingpodge if only
986202063435481088,2018-04-17 11:17:49,@WobblesfrmMELB thats actually pretty cool!
986200978583011329,2018-04-17 11:13:30,@GraceVassall0 i thought exactly the same thing. 27 bro!
986200848802856960,2018-04-17 11:12:59,"Only when I need to find my car.  Relax offendeds, bit of East West banter is ok still isnt it? https://t.co/VbRvm1jpuo"
986200251856912384,2018-04-17 11:10:37,This is why i follow the financial times! Absolute financial wisdom..... https://t.co/V6vXBfordW
986199290576977920,2018-04-17 11:06:48,So bad. Feel genuinely bad for the fella....Cringe bad https://t.co/Bm6oHq6ey3
986198736131903490,2018-04-17 11:04:36,This bloke can’t be serious.... #HWHAP
986132633947000832,2018-04-17 06:41:56, https://t.co/j1IWyZr5l2
985878908619796480,2018-04-16 13:53:43,"Sad, but true. https://t.co/XcX4FkpHB4"
985838837581561856,2018-04-16 11:14:29,"Think some are on the wrong trail, apologies. This involves the late great Peter Brock and a car........ https://t.co/9XWmcPgDOE"
985792796568125440,2018-04-16 08:11:32,Mr @ZO2_ has all the B’s ever made patented! https://t.co/TMl7sSWmAc
985786759559561216,2018-04-16 07:47:33,Big week of happenings. Will share soon.... 🤘
985767482202906624,2018-04-16 06:30:57,Old Holden Car ad. Imagine this in 2018! #riots https://t.co/mz2T3SoGbl
985757118752948225,2018-04-16 05:49:46,RT @AndrewVossy: @BuchananBlake @andrewbogut You are kidding..  he is not isolated out in the desert mate. Who is taking the photo? What ab…
985509172686049280,2018-04-15 13:24:31,Great Message! 4 Years! https://t.co/dddAvqyzSJ
985462441923330050,2018-04-15 10:18:49,@jacob21thompson @ChrisGoulding43 He deserves it! If they are paying why not...
985462172317761536,2018-04-15 10:17:45,RT @domstrama: @andrewbogut Ridiculous prices man... https://t.co/5Hm3LACBRI
985441590167519232,2018-04-15 08:55:58,@ChrisGoulding43 congrats! More important Q? Will we a see a bubbles special limited edition Elastoplast tape?
985432371875819523,2018-04-15 08:19:20,"@ERLZ33 disagree. Values were rising steadily the last three years, specifically the last 12 months prices have spi… https://t.co/sjjSjWrdJ9"
985430983267598336,2018-04-15 08:13:49,2 decades difference almost..... Give it time. Love ph 3 s tho! https://t.co/AkhdBYswVr
985424747365216261,2018-04-15 07:49:02,Unfortunately no. But you lead an interesting question. There will no doubtedly be a bunch of ppl of have a stock H… https://t.co/s5iQAOOA57
985424061009285126,2018-04-15 07:46:19,So that auction I was talking about earlier had numerous HSVs and HDT Brocks sold for more than 300k!  Crazy times… https://t.co/0Or5WOQuFF
985406630140366848,2018-04-15 06:37:03,RT @NikGiannopoulos: Much better pressure effort this week. Great to see Hooker &amp; Stringer back in their all Australian positions. Now leav…
985384604293984256,2018-04-15 05:09:31,Think RE prices are nuts? Check out the muscle/classic car scene. This auction is about to break a bunch of records… https://t.co/vc0bhZCWOE
985378849998319617,2018-04-15 04:46:39,Lets hope off of a big @EssendonFC win  https://t.co/gfxN2KkJrM
985378422300991488,2018-04-15 04:44:57,5am call today from @TheBlurBarbosa ! Still has not figured out time differences! #beepbeep
985376158169481216,2018-04-15 04:35:58,RT @MelbTigerTalk: @andrewbogut Poor judgment by you.. Trying to relate the tweet and the article attached to it !
985375547269132288,2018-04-15 04:33:32,@MelbTigerTalk tweeted by their own account so dont hold the article responsible. 
985373460409937920,2018-04-15 04:25:14,Would not click to check after that piss poor headline. Tweeted from its own acc affiliate says enough to me.… https://t.co/zB13CX2ayz
985368656736436225,2018-04-15 04:06:09,And dumbest article of the Comm Games goes to..... https://t.co/LrJvMrh5Bk
985364835113185286,2018-04-15 03:50:58,Go @EssendonFC !
985157981267419137,2018-04-14 14:09:00,Congrats @BasketballAus Opals on winning Gold! Goodluck to the @BasketballAus Boomers tomo v Canada! 
985001838620504064,2018-04-14 03:48:33,Good luck to all the Aussies in the first round of the @NBA playoffs! . I hope you all somehow make it to the… https://t.co/OkB1QaOK4w
984998376113655808,2018-04-14 03:34:47,"Hidden gem out in the burbs. Hendriks Cafe, Mordialloc."
984959617536086017,2018-04-14 01:00:47,@Steve_Horvat fancy!!!!
984957742099156992,2018-04-14 00:53:20,Melbourne Brunch. #bestintheworld
984948417376862210,2018-04-14 00:16:16,"RT @Blacklabellogic: The CEO of the fortune 500, has less liberty than the guy who owns his own plumbing business, reflect on that."
984948365224853504,2018-04-14 00:16:04,RT @Blacklabellogic: The hilarious thing is that people spend a life working their way up a structure that leaves them with less power over…
984697533610930176,2018-04-13 07:39:21,Preach equality through our sporting code. Sign a deal to play the next 30+ Grand Finals in one city. 🤔 Thats comin… https://t.co/Rpsjbreczx
984672258214916096,2018-04-13 05:58:55,Peppppppa PIG🤦‍♂️
984578367344205824,2018-04-12 23:45:50,Hey @DHughesy ! Found another sure fire investment for ya! . Ask the Mrs first this time tho... https://t.co/5EcJnbWTq7
984568282802896896,2018-04-12 23:05:45,@Cody_Fueger @bigrussia5 one word. It starts w K or C...
984420963914665986,2018-04-12 13:20:22,"Harsh, but true. https://t.co/pdzLcsDZlL"
984420269405102080,2018-04-12 13:17:36,@bigrussia5 can you get @Cody_Fueger on the diet plan? 
984377570182381568,2018-04-12 10:27:56,@deepap73 way too much
984373709837225985,2018-04-12 10:12:35, https://t.co/xeE7499mBQ
984370639619452929,2018-04-12 10:00:23,Get well @PickenLiam !
984365317395644416,2018-04-12 09:39:14,@AndyMaherDFA thats how i feel most days over there! #payback 
