id,created_at,text
985340043114856448,2018-04-15 02:12:27,"FROZEN MOMENT - NEW CHAPTER
@Jumpman23 
#STAYME7O 
#JUMPMAN https://t.co/6tXrviSCi6"
984606773553250304,2018-04-13 01:38:42,INSPIRATION  @cp3 #STAYME7O https://t.co/vDrf02SL5R
983914184147546112,2018-04-11 03:46:36,"Happiness is to be found within your own life, in your thoughts at this very moment. You yourself are most noble an… https://t.co/1TcxKIzkHa"
981720255088111616,2018-04-05 02:28:42,"The #DreamStillLives… What’s yours? 
#STAYME7O https://t.co/WbqUdgUmq6"
981719843886874624,2018-04-05 02:27:04,"RT @StevieWonder: On April 4th, 1968 at 7:05 p.m. central time, Dr. King’s life was cut tragically short. 50 years later a need for his dre…"
981648401262505984,2018-04-04 21:43:11,The #IAmMLKJr documentary…catch it tonight 9/8c @paramountnet #MLK50 https://t.co/zQfeDfizgI
981599784459894784,2018-04-04 18:30:00,"""Injustice anywhere is a threat to justice everywhere.” - #MLK50 #STAYME7O https://t.co/toHzA8Ea4f"
978767836515516416,2018-03-27 22:56:51,"""TRIUMPH"" - in theaters until 3/29 NYC &amp; LA 
#PerryWallaceFilm
#STAYME7O
https://t.co/SWDw2gcVaU https://t.co/AvYyKMF0zQ"
977250587954696192,2018-03-23 18:27:51,"Partnering with @MTV @NAACP and my city of Bmore to support #MarchForOurLives. 

Sending over 4,500 kids from Balti… https://t.co/8S4k6JQ47x"
975532417749430272,2018-03-19 00:40:27,"“Haters Gonna Say This Is Photoshopped”
Sorry @Money23Green 
#STAYME7O https://t.co/URMKDX9vMp"
974429360038932480,2018-03-15 23:37:18,"I’m sure we made The whole MHP and McHP(Those who know, know) proud. B’MORE period was represented to the world. On… https://t.co/26eyLby2qZ"
974429357572702208,2018-03-15 23:37:17,One of the greatest days of my life. Playing against my best friend first round of NCAA tourney. We sat in my house… https://t.co/KR0EmoTArh
974147760784986112,2018-03-15 04:58:19,"Squad Up
One Down!!!
Sorry @JHarden13  
#STAYME7O https://t.co/noJUPIm9rg"
972899770715930624,2018-03-11 18:19:15,RT @DwyaneWade: They need our help! I'm asking my NBA fam to join us in raising money to send kids from underserved communities to March….@…
972899754576261121,2018-03-11 18:19:11,RT @DwyaneWade: Spoke to my brother @carmeloanthony &amp; we're standing w/ students from MSD. We both come from communities where gun violence…
972602671919128576,2018-03-10 22:38:41,I'm giving and supporting to my community and the students of Baltimore. @TheNBPA Foundation will match up to $25k… https://t.co/oZjKAED0xB
972598049645109248,2018-03-10 22:20:19,.@DwyaneWade and I on the same page... Standing with the students of MSD - both of us come from hometowns where the… https://t.co/QsCrGAMAeA
971536677511442432,2018-03-08 00:02:48,"Happy Born Day 
""If I Could Give You One Thing In Life, I Would Give You The Ability To See Yourself Through My Ey… https://t.co/9y5WG5D6qA"
969288796574441472,2018-03-01 19:10:32,"“The Future Is In Good Hands”
Young Kings  
@Diddy 
#STAYME7O https://t.co/Y6sWSM2dll"
968593767845453824,2018-02-27 21:08:44,"We each move forward, secure on our own earth, not the earth of others. Happiness is something we must create for o… https://t.co/LD082sodJ6"
967511478231187456,2018-02-24 21:28:06,“Breath of fresh air” #STAYME7O @espn @okcthunder #ThunderUP https://t.co/RcVUJPlWA8
967198313748381696,2018-02-24 00:43:42,"hat: “Sage Camo”
#FreshGreens
#STAYME7O https://t.co/V0gCpFSj6X"
967198152238415875,2018-02-24 00:43:03," Hat: “Everyday Camo” 
MELOxGoorinBros
#FreshGreens
#STAYME7O https://t.co/5JFfjsw57R"
967197987314180097,2018-02-24 00:42:24,"New Collection “Fresh Greens”
MELOxGoorinBros.
 hat: Melo Mint
#STAYME7O https://t.co/lkangZXTIi"
966392696767004672,2018-02-21 19:22:28,"TRUST:NOBODYs
RED Vibes  ”BLUE LACES”
#VictoryLap
#STAYME7O https://t.co/qh1Pz5rZfY"
965335345532321792,2018-02-18 21:20:56,Tune in tonight @NBAonTNT 7p ET ‘Sports &amp; Society’ #STAYME7O https://t.co/TkL74fMwJY
965334693020254215,2018-02-18 21:18:20,"RT @NBAonTNT: #NBAAllStar pregame coverage will include a special Sports &amp; Society roundtable show featuring Dwyane Wade, Chris Paul &amp; spec…"
