id,created_at,text
987423292758736896,2018-04-20 20:10:33,Bosh Moments - Coachella experience (1-6) #BoshMoments #coachella #FBF https://t.co/7b0MgFCdJ6
987142148838440960,2018-04-20 01:33:23,RT @maxfrost: And that’s a wrap. My first performance on TV and it felt ooooooooooooh so good! A crazy highlight in my life. Thank you to e…
986677331388284928,2018-04-18 18:46:22,This season of @WestworldHBO can’t come soon enough! I’m ready! https://t.co/dT3Xy50l3K
985626465965232129,2018-04-15 21:10:36,"RT @chrisbosh: My NBA Playoff Experience in Toronto (4 of 4) 
#BoshMoments #NBA #NBAPlayoffs #Memories
•See the full episode:
https://t.co/…"
985619381806743553,2018-04-15 20:42:27,"My NBA Playoff Experience in Toronto (4 of 4) 
#BoshMoments #NBA #NBAPlayoffs #Memories
•See the full episode:… https://t.co/XSNmEc16Rp"
985284144795013120,2018-04-14 22:30:20,RT @chrisbosh: My playoff experience (3 of 4) #miami #boshmoments #nba #nbaplayoffs https://t.co/TY1XPM1kZ6
985277543732293634,2018-04-14 22:04:06,My playoff experience (3 of 4) #miami #boshmoments #nba #nbaplayoffs https://t.co/TY1XPM1kZ6
985251197090058240,2018-04-14 20:19:25,RT @chrisbosh: My playoff moments (2 of 4) #Boshmoments #toronto #nba #nbaplayoffs https://t.co/PgJTBuo0C6
985242792963092480,2018-04-14 19:46:01,My playoff moments (2 of 4) #Boshmoments #toronto #nba #nbaplayoffs https://t.co/PgJTBuo0C6
984995189876899845,2018-04-14 03:22:08,RT @chrisbosh: My playoff moments (1 of 4) #boshmoments #NBA #nbaPlayoffs2018 https://t.co/fCgJcCf4W9
984893083547348992,2018-04-13 20:36:24,My playoff moments (1 of 4) #boshmoments #NBA #nbaPlayoffs2018 https://t.co/fCgJcCf4W9
984890477462700033,2018-04-13 20:26:02,RT @chrisbosh: My playoff moments (1 of 4) #Boshmoments #nba #nbaplayoffs https://t.co/jsVHWz4uuh
984889414357848065,2018-04-13 20:21:49,My playoff moments (1 of 4) #Boshmoments #nba #nbaplayoffs https://t.co/jsVHWz4uuh
984205718692610049,2018-04-11 23:05:03,No problem. I appreciate the kind words and support! #TeamBosh https://t.co/RTGewMcEOF
981963518164467712,2018-04-05 18:35:21,"RT @statmuse:  This Day in Stats, 2010: @chrisbosh has 42 points &amp; 13 rebounds against the Warriors, giving him five 40p/10r games in his…"
981963487609049088,2018-04-05 18:35:14,"RT @ShineText: We loved having the 2 of you by the office yesterday! Exciting things in the works. 
https://t.co/s9NkmKZFE9"
980925482915909632,2018-04-02 21:50:34,RT @chrisbosh: Happy Easter from my Family to Yours!  #BoshFamily https://t.co/C4HeD61IqK
980869431516569600,2018-04-02 18:07:50,Happy Easter from my Family to Yours!  #BoshFamily https://t.co/C4HeD61IqK
978089424201199616,2018-03-26 02:01:05,"RT @mikescriba: Happy Birthday to one of my favorite players ever, i remember being at the arena when this happened and yelling at the top…"
977572332528066560,2018-03-24 15:46:21,RT @MrsAdrienneBosh: HAPPY BIRTHDAY to the man who makes our WHOLE WORLD  go round @chrisbosh   We LOVE you to the moon and back! #March…
977572306078715905,2018-03-24 15:46:14,"RT @usabasketball: 

Happy birthday @chrisbosh #USABfamily https://t.co/QNrTedvsNK"
977572288789807105,2018-03-24 15:46:10,"RT @BET: Love and respect to the homie, @chrisbosh. Make sure y'all wish him a happy birthday! https://t.co/n3THuuOFAw"
977572078797783041,2018-03-24 15:45:20,"RT @NBAFRANCE:  

Happy B. @ChrisBosh  https://t.co/ii6KyMz0Kk"
977571605013454848,2018-03-24 15:43:27,"RT @MiamiHEAT: HEAT Nation, we're celebrating something special today!

Happy Birthday @ChrisBosh! https://t.co/qTwcRQ5Yds"
977085944082743296,2018-03-23 07:33:37,Looking forward to this season! @SiliconHBO https://t.co/AGItEEL3vb
977083626952126464,2018-03-23 07:24:24,RT @MrsAdrienneBosh: The #BoshTwins are officially 2! Our Paddington Bear/London themed party was a hit for our little Princes and Princes…
974463268746964992,2018-03-16 01:52:02,On March 15th 2016 these little guys came into the world! I remember how worried I was for them as the nurses and D… https://t.co/Mwi96T2iHw
974453154321321984,2018-03-16 01:11:51,My main man Lenny! Happy 2nd Birthday buddy. It’s like I blinked and now you have a mouth full of teeth.… https://t.co/cnma583gR1
974451973108899841,2018-03-16 01:07:09,Can’t believe this little guy Is already 2. Happy Birthday  to the first born of the Bosh Twins! #PhoenixAvery… https://t.co/a8hNgfPzpD
974446592001327104,2018-03-16 00:45:46,RT @MrsAdrienneBosh: The Birthday Boy  #PhoenixAvery #BoshFamily #BoshTwins https://t.co/YTkml47IOW
974446582987874304,2018-03-16 00:45:44,RT @MrsAdrienneBosh: #LennoxNoel is the happiest Birthday Boy  #BoshFamily #BoshTwins https://t.co/VjYfsjrKJo
971838632263733248,2018-03-08 20:02:40,RT @espn: Chris Bosh got real about what his life looks like without the NBA: https://t.co/gXSGQuv798 https://t.co/FaD3RlH6t3
971838420241694720,2018-03-08 20:01:49,"RT @BillSimmons: @chrisbosh Here’s a story from Part 1

https://t.co/cyJPNsP8fw"
971824456917118976,2018-03-08 19:06:20,"RT @BillSimmons: New BS Podcast (part 1): @chrisbosh on 4 crazy years in Miami with LeBron and Wade ... part 2 is about everything else, th…"
971824185382092800,2018-03-08 19:05:16,RT @ramonashelburne: Love @chrisbosh on how important talking to his wife @MrsAdrienneBosh has been in dealing with the abrupt way his care…
971470055975239681,2018-03-07 19:38:05,RT @BillSimmons: I’m excited about the podcast that I taped with @chrisbosh yesterday. One of the best basketball pods I’ve ever done. Rele…
970453037431992320,2018-03-05 00:16:48,RT @chrisbosh: Weekend brunch with these little rascals and @MrsAdrienneBosh #BoshFamily https://t.co/hms6qdAgCu
970429672159768576,2018-03-04 22:43:58,Weekend brunch with these little rascals and @MrsAdrienneBosh #BoshFamily https://t.co/hms6qdAgCu
969657815169081344,2018-03-02 19:36:53,RT @MrsAdrienneBosh: Our little cubs ❤️ #BoshTwins #PhoenixAvery #LennoxNoel #BoshFamily #Turning2 #March15 https://t.co/Hr9mrIZqk4
969635747501256709,2018-03-02 18:09:11,RT @MrsAdrienneBosh: Happy Boy #PhoenixAvery ready to turn 2 on March 15! #BoshFamily https://t.co/rKnVncJthX
969629557840949248,2018-03-02 17:44:36,RT @MrsAdrienneBosh: Sneak peek Of the Twins Birthday shoot!❤️ #LennoxNoel #BoshTwins #PaddingtonBear #March15 #Turning2  #BoshFamily h…
969375972846747648,2018-03-02 00:56:56,RT @chrisbosh: Thanks for watching and sharing! https://t.co/BUuVI6SQlz #TeamBosh https://t.co/YqXHiN8PLw
969375963489320960,2018-03-02 00:56:54,RT @chrisbosh: This was a good time. Thanks for sharing one of my favorite @miamiheat memories! https://t.co/zz8UsuWCpi https://t.co/8DRrFZ…
969374239462535173,2018-03-02 00:50:03,"RT @ava: @MrsAdrienneBosh @Oprah @WrinkleInTime @chrisbosh Thanks to you and the family for coming, Adrienne. You kids are cutie patooties!…"
969373513453731840,2018-03-02 00:47:10,This was a good time. Thanks for sharing one of my favorite @miamiheat memories! https://t.co/zz8UsuWCpi https://t.co/8DRrFZAnp0
969372855380017152,2018-03-02 00:44:33,Thanks for watching and sharing! https://t.co/BUuVI6SQlz #TeamBosh https://t.co/YqXHiN8PLw
968951640286883840,2018-02-28 20:50:47,It was our pleasure! Thanks for having us. The #BoshBabies are still talking about the movie @WrinkleInTime and my… https://t.co/08l05Dez6j
968634111714668544,2018-02-27 23:49:03,RT @MrsAdrienneBosh: Thank you @oprah @ava for making @WrinkleInTime !! The kids loved it ❤️ This is the first novel my husband read when h…
968568741553258496,2018-02-27 19:29:17,"RT @HowardBeck: Whether you Trust the Process or not, I think you'll enjoy this panel I moderated at #SSAC18, featuring @samhinkie, @dg_rif…"
968074397197086720,2018-02-26 10:44:56,"RT @drew_mitchell: Put me down for 1 alley oop assist..
I got a few looks at the rim but just couldn’t close, seems to be a common theme 🤔…"
