id,created_at,text
847862246365515776,2017-03-31 17:24:46,I’m here @UOFPX stadium for the @INFINITIUSA Hardwood Heroes game. Tune in here https://t.co/fqLki1pDuA @ 10:20am t… https://t.co/Ms2spBcBhl
847840618453680129,2017-03-31 15:58:50,"Join me at @UOPXStadium for the @INFINITIUSA Hardwood Heroes game today, 3/31 at 10AM PST. #Unbustable https://t.co/OuDU973dsu"
751323845714440192,2016-07-08 07:55:38,"If I resist they can kill me, if I don't they can kill me, if I move to fast they can kill me.doesn't mean I should kill them though #dallas"
748914865662664704,2016-07-01 16:23:12,@Mack_Throwin_3 why u not in the league then?
748309786584883200,2016-06-30 00:18:50,There it is https://t.co/ANpotNFqwu
747896858467409920,2016-06-28 20:58:00,@Mack_Throwin_3 ur handle was better than mine?
747896557056385025,2016-06-28 20:56:49,"RT @JPadmore92: ELEVEN years ago today, the Pacers drafted Danny Granger with the 17th pick in the 2005 NBA Draft. Memories. https://t.co/R…"
747797919818997760,2016-06-28 14:24:52,@Mack_Throwin_3 u obviously don't kno anything about basketball
747788455812415488,2016-06-28 13:47:15,RT @KonradPutzier: .@dgranger33 has some interesting things to say about the real estate industry https://t.co/fm0qy79XEk via @trdny
747583206594076672,2016-06-28 00:11:40,Fresh of a red eye flight... https://t.co/cervQJjZdy
747581324593078272,2016-06-28 00:04:11,RT @TheNBPA: Day 1 ✔️! #NBPARES #LifeAfterBasketball https://t.co/YsxOUKdv7O
747297369020989440,2016-06-27 05:15:51,You know I love the kids!! https://t.co/zPjGZA5lJT
747146542134398978,2016-06-26 19:16:31,RT @GregAnthony50:  for a peaceful journey https://t.co/694i3sljnt
746466546151718912,2016-06-24 22:14:27,Just landed in #albuquerque #newmexico !! #lobos #unm #collegeroots @ Albuquerque International… https://t.co/rqouGbacBG
745663621905035264,2016-06-22 17:03:55,@DiamondBarbie_3 wth does that mean??
744759063339204608,2016-06-20 05:09:32,RT @Corey_Maggette: How many people are going to jump on that @NBA2K tonight running with the @Cavs? 
744721650814492672,2016-06-20 02:40:52,You should never poke the bear.... Congrats to the #ClevelandCavaliers !!!
743901682115846145,2016-06-17 20:22:36,"RT @Chris_Broussard: If Cavs win this, it's LeBron's greatest NBA achievement: ends CLE's 52-yr drought, beats 73-W team w/2X reigning MVP,…"
743477316479705088,2016-06-16 16:16:20,@StacyPaetz cmon stace we all do it lol ...I just have an audience 
743454240799133697,2016-06-16 14:44:38,#Tbt out trip to Hawaii last year... This pic pretty much sums up my life  #nopeace #noprivacy… https://t.co/vMDyE8RaD6
743312092757786624,2016-06-16 05:19:47,I have many hidden talents  https://t.co/SiwHJRQhhS
743311812041465856,2016-06-16 05:18:40,@SMosley21 lol that's a clone!!
