id,created_at,text
986701883891961856,2018-04-18 20:23:55,Wise words from a @celtics icon! Proud of this team's persistence! #CUsRise #WednesdayWisdom https://t.co/qrpDAkIFKi
984810813692235777,2018-04-13 15:09:29,Congrats to @SMavunga_23 on getting drafted by the @IndianaFever! So proud of you! Welcome to the league!
984171254830829568,2018-04-11 20:48:06,RT @freemagic: During PAX East we got to sit down with the wonderful @gordonhayward ^_^ https://t.co/xj2FoZu7E5
983023397230620672,2018-04-08 16:46:56,"Happy birthday to this amazing and one of a kind woman! She is such a good mom, wife, daughter,… https://t.co/94j9yi3Co1"
982350860721184768,2018-04-06 20:14:31,"Once a gamer, always a gamer. #FlashbackFriday #TiggerSweatshirtFTW https://t.co/YT3mjRgbVt"
982088377783738369,2018-04-06 02:51:30,Good times celebrating @StarCraft’s anniversary with good people. Thanks to everyone who joined us and shared their… https://t.co/A7mxGIMW1b
982023604845121536,2018-04-05 22:34:07,Yes you too! I'm looking forward to it https://t.co/TwwUhKP0dY
981895684075982848,2018-04-05 14:05:48,Looking forward to sharing @StarCraft memories at the #PAXEast Albatross theater later! Stop by if you're here or t… https://t.co/bb8glRDAfQ
981272407544655872,2018-04-03 20:49:07,New blog! Running is just another step in the right direction. Full details on my progress! https://t.co/O5gORsP0L5
980832355664441344,2018-04-02 15:40:31,First time running without assistance. @PlayersTribune https://t.co/otaHVlodFE
980486852191891456,2018-04-01 16:47:36,Happy Easter! #HALLELUJAH
979458803690344449,2018-03-29 20:42:30,Proud to be my wife's #1 teammate. Learn 3 ways you can support the women in your life at https://t.co/9d1VIouRV0.… https://t.co/RpIq7OURtc
979402346374447104,2018-03-29 16:58:10,"Exhausted after the on court workout today #stillcashtho 

.

: @smeathers5 https://t.co/ITCz8gXMja"
979398404659916800,2018-03-29 16:42:30,Happy #OpeningDay and good luck to the @RedSox at the start of another @MLB season! https://t.co/ciwJUZovM4
978389565420564480,2018-03-26 21:53:44,Good win today @NickKyrgios! Enjoyed getting the chance to watch some of the @MiamiOpen! On to the next one! Now ti… https://t.co/1zUmTHVM6U
978336286053412864,2018-03-26 18:22:01,Every day I'm a step closer to being back. @PlayersTribune https://t.co/zExMdb419r
978336243212800001,2018-03-26 18:21:51,RT @PlayersTribune: Small steps. Progress. @GordonHayward https://t.co/b0SUOglffR
976600895537532930,2018-03-21 23:26:12,Had fun streaming! Thanks for everyone that tuned in. Preciate the homie @WittLowry stopping by and to @hyperx for… https://t.co/fYKjQX0LLg
