id,created_at,text
987546324106067968,2018-04-21 04:19:26,RT @LordSize: @madisonsmother1 @imanshumpert But she mind her business tho...🤔
987546088214163458,2018-04-21 04:18:29,RT @XANDER__0: What a great plug.  but imma listen to yours right after I saturate in this Cole album lol  #KOD https://t.co/pCTCL…
987524242362187776,2018-04-21 02:51:41,We was Happy as Hell lmao https://t.co/Yb2sXWTKEe
987519281700134912,2018-04-21 02:31:58,RT @ciroquel: Critical | @imanshumpert   a wholeeee moood .
987506672254910464,2018-04-21 01:41:52,Stick to putting a sleeve over your pillow . The Cavs shirt the best thing in ur avi #substanceabuse available n… https://t.co/kZRMZZxRjT
987504574725419008,2018-04-21 01:33:32,RT @thewill93:   tweet https://t.co/90TnQj71ns
987504047765602304,2018-04-21 01:31:26,RT @JustinLaboy: I see what u did there. Salute  https://t.co/YqWggNXv8B
987503909911511040,2018-04-21 01:30:53,RT @HollyanneLiz: Wow now this is marketing https://t.co/zed506t1px
987503329541419008,2018-04-21 01:28:35,This Cavs vs Indy game is OD. Indy finally adjusted to the double team. Basketball is a game of runs and… https://t.co/PxOb1Z62UI
987502834533912576,2018-04-21 01:26:37,RT @Da_Rise_Of_Blee: Make sure y’all support @imanshumpert and listen to substance abuse “Now only time she call is when she's searching fo…
987502808558522368,2018-04-21 01:26:31,RT @KarenCivil: No one wins when the family feuds. https://t.co/HSUyIIIwVI
987494630273966080,2018-04-21 00:54:01,RT @JacobKitts1: W @imanshumpert https://t.co/qmV2IjYGSB
987492465929142272,2018-04-21 00:45:25,RT @chl03k__: @imanshumpert this EP is too good
987492427899461632,2018-04-21 00:45:16,Don't focus on the women in the pool #substanceabuse is out now!!! @ me a lyric for a rt. https://t.co/ayttpzxTL1 https://t.co/BfyoHA4Il3
987449765100011520,2018-04-20 21:55:44,RT @danielpatrick_: at the HQ // @TEYANATAYLOR @imanshumpert https://t.co/5XjNv2jdV6
987408723910901760,2018-04-20 19:12:39,RT @BriJGotti: Elevators | @imanshumpert
987303764942991367,2018-04-20 12:15:35,RT @KimKardashian: Listening to @TEYANATAYLOR ‘s new album OMGGGGG it’s SO good!
987161645318209536,2018-04-20 02:50:51,RT @itsaleshajay: Major Pressure  https://t.co/6c7vHcTdTY
987130746761392130,2018-04-20 00:48:04,The baby makers is on the way @TEYANATAYLOR
987128815808692225,2018-04-20 00:40:24,RT @kanyewest: Teyana Taylor June 22nd
987128717888520192,2018-04-20 00:40:00,Oh lort @TEYANATAYLOR drop June 22nd...‍♂️ https://t.co/XU4cNy6r1t
986969900894666754,2018-04-19 14:08:56,RT @joshua_southpaw: @imanshumpert this EP is nice #critical is a  track. #tidal #substanceabuse
986828505781436416,2018-04-19 04:47:04,RT @Ripp_Flamez: Gotta stay “you” thru all this shit..
986791649010319360,2018-04-19 02:20:37,I'm on that jaun pleading the case  https://t.co/2XjS8ZTD3y
986779500519211008,2018-04-19 01:32:21,RT @pblackkjr: @imanshumpert That EP 
986779486522757120,2018-04-19 01:32:17,RT @gcorniel13: My life line I feel the same way about my daughter how @imanshumpert feels about his she n my son are my everything they ca…
986761262615818240,2018-04-19 00:19:52,RT @1future: I want the best for u less stress for u.
986761233956130816,2018-04-19 00:19:45,RT @gucci1017: Make a Way! Period!
986761132084903936,2018-04-19 00:19:21,Am i the only one still trippin off what Kenny did? 2018 goin crazy!!
986744704560578560,2018-04-18 23:14:05,"RT @NiklasVJ: @imanshumpert Yo Iman! We need that Substance Abuse EP on the European Spotify, please. Only two of your old songs are availa…"
986744664911839233,2018-04-18 23:13:55,RT @GrassyNol: damn @imanshumpert 's #EP is pretty fire  #SubstanceAbuse
986739104636289024,2018-04-18 22:51:49,RT @RuckMilll: Critical - @imanshumpert 
986739097619152897,2018-04-18 22:51:48,RT @rap_WAVE: NEW MUSIC: @imanshumpert - Substance Abuse (EP) https://t.co/AqsZe9nDpe #rapWAVE https://t.co/JTiqhG147p
986739025846272000,2018-04-18 22:51:31,RT @itsaleshajay: Morning Vibes @imanshumpert ♨️⚡️ https://t.co/b6wnd7dliP
986738778394914816,2018-04-18 22:50:32,"RT @AyannaKayc: @imanshumpert @XXL @breakfastclubam @HotNewHipHop @HipHopEarly @KarenCivil @spotifyartists @Spotify @pandoramusic @TIDAL ""G…"
986738391042605057,2018-04-18 22:48:59,RT @iDoRatchets: @imanshumpert Heard you  Thank you https://t.co/l3IECyqOW2
986738299321573376,2018-04-18 22:48:37,RT @wallflowerMJ_: @imanshumpert That 'Substance Abuse' is fye https://t.co/t1WiYcjiqw
986738233609351168,2018-04-18 22:48:22,"RT @HotNewHipHop: .@imanshumpert returns with his #SubstanceAbuse EP 

Listen here: 
https://t.co/zUj25NIKPv"
986738083948199936,2018-04-18 22:47:46,RT @AyannaKayc: @imanshumpert @XXL @breakfastclubam @HotNewHipHop @HipHopEarly @KarenCivil @spotifyartists @Spotify @pandoramusic @TIDAL Th…
986738030588248064,2018-04-18 22:47:33,RT @RdotDoornick: @imanshumpert came thru on this!!! https://t.co/AwW2NJgs3y
986399812491689984,2018-04-18 00:23:36,"RT @RhymeHipHop: +@imanshumpert comes through and drops new project ""Substance Abuse."" stream it:
https://t.co/Bny1Tgwm4o"
986399426661855232,2018-04-18 00:22:04,"RT @XXL: Iman Shumpert is getting back to rapping
https://t.co/JKxBdflFCB"
986391729732382720,2018-04-17 23:51:29,RT @simasuccar:  @imanshumpert #SubstanceAbuse https://t.co/QhczQLw0W6
986390931912908800,2018-04-17 23:48:19,RT @_deannacherise: when @imanshumpert said I was on shorty’s bumper..I loved that! #ChicagoVibes I’ve fallen in love with @TEYANATAYLOR &amp;…
986390826270863360,2018-04-17 23:47:53,"RT @HotNewHipHop: .@imanshumpert drops off his new project #SubstanceAbuse 

Listen here: 
https://t.co/zUj25Nr9XX"
986390808847790081,2018-04-17 23:47:49,RT @AustinCoyle2358: @imanshumpert just dropped that fire   https://t.co/lZMBhuQX9e
986390790954823681,2018-04-17 23:47:45,RT @princericosuave: @imanshumpert reaction to the speaking in tongues is the same I had  #TeyanaAndIman
986390757920587777,2018-04-17 23:47:37,RT @Bruavo: yoooo @imanshumpert you did it man!!! good job on this EP #SubstanceAbuse 
986390701679104000,2018-04-17 23:47:24,#substanceabuse just dropped https://t.co/zUnlCBedF5
986320882971828224,2018-04-17 19:09:58,"RT @bpbutler95: Elevators goin' up, elevators goin' up New mixtape from @imanshumpert go cop that rn, proud to have him here in Sac and ca…"
986320851023745024,2018-04-17 19:09:50,RT @MikeThrone_: @imanshumpert wait bro your header ❤️June Bug &amp; Mrs. Shumpert
986320821596520449,2018-04-17 19:09:43,"RT @200Flair: I fw this 🅱️ROZAY  @imanshumpert  idek you made music , that’s hard ✊✊✊ https://t.co/PSGXxWgM0I"
986313404653568001,2018-04-17 18:40:15,RT @laurenis_coolJ: @imanshumpert Critical on REPEAT https://t.co/bpAJaF5nvu
986313156321411072,2018-04-17 18:39:15,RT @Onyema_Grace: I can turn wood to a pearl...word to @imanshumpert
986310471245426688,2018-04-17 18:28:35,RT @LGrubbs_: @imanshumpert I love your header♥️
986308938915201025,2018-04-17 18:22:30,RT @Tae_Takeo: Now Playing Iman Shumpert - Substance Abuse (EP)  via @DatPiff https://t.co/lKmVOBeCT2 #Cavs
986307980533481472,2018-04-17 18:18:41,RT @saamstevenss: Had a dream about old @imanshumpert on the Knicks 
986307582372470784,2018-04-17 18:17:07,"RT @pinkyyhussle: we can learn a lot from this show .
@TEYANATAYLOR @imanshumpert"
986307556669870082,2018-04-17 18:17:00,"RT @kitwotimes: the @TEYANATAYLOR and @imanshumpert show  I just love them ❤️ I feel the love Iman has for her through the screen, and t…"
986307514047217664,2018-04-17 18:16:50,RT @SavageGSoulja: @imanshumpert bro i fw yo aggressive as flow you can hear the hunger in yo voice 🤒🤒 ... we need more music from u that…
986307474792697856,2018-04-17 18:16:41,RT @IAMRolandaJ_: This @imanshumpert Substance Abuse EP is suppppppeeeerrrr nice  can’t wait to write about it.
986307442786025472,2018-04-17 18:16:33,RT @XXL: .@imanshumpert is stepping away from the basketball court for the time being to step into the booth. Check out his new EP ‘Substan…
986307309914632192,2018-04-17 18:16:02,RT @Blacc_jesus: Gotta show love to the new King @imanshumpert and this well put together mixtape.. When you bac n Sac let’s watch these ga…
986307268923633664,2018-04-17 18:15:52,RT @CallMeRobbie: @imanshumpert mixtape fire  broddie
986307209729421312,2018-04-17 18:15:38,"RT @HotNewHipHop: .@imanshumpert comes through with his new EP #SubstanceAbuse 

Listen here: 
https://t.co/zUj25Nr9XX"
986061372302807041,2018-04-17 01:58:45,RT @BoomRere: I love how @TEYANATAYLOR  and @imanshumpert  🤟 support each other 🤙 #DopeBlackLove
986061348906954752,2018-04-17 01:58:40,RT @GogglesJesten: @imanshumpert  funny as shit 
986061342523224065,2018-04-17 01:58:38,"RT @mzfla81: When @imanshumpert said “you know when you were little you did those little trust falls and somebody catches you, and he was f…"
986061168077926400,2018-04-17 01:57:57,RT @kaelharvey: I am in absolute adoration for @TEYANATAYLOR and @imanshumpert and baby Junie  Ugh so much love. #TeyanaAndIman https://t.…
986057780250529792,2018-04-17 01:44:29,RT @GeedUP_Geoff: @marissataylorTX Substance abuse- @imanshumpert
986057726953512960,2018-04-17 01:44:16,RT @CoreyPacino: @imanshumpert “I’m slow but I’m dangerous” then the beat drop got me weak 
986057411269222400,2018-04-17 01:43:01,RT @Lovee_Nasiaa: @imanshumpert said “you know when you’re little and you do those little trust falls to see if someone will catch you? Onl…
986056704864522240,2018-04-17 01:40:13,RT @NotPaidByMona: @imanshumpert funny af bro 
986056660178341890,2018-04-17 01:40:02,RT @ShiAnna_913: @TEYANATAYLOR and @imanshumpert doing a clothing line together would be dope making his and her clothing for couples who l…
986056543815729152,2018-04-17 01:39:34,RT @MoNiq_DoMiniq: I really love @TEYANATAYLOR and @imanshumpert marriage I know that shit ain’t easy but its beautiful
985587707635290112,2018-04-15 18:36:35,RT @realblackchanel: I just had a dream that @TEYANATAYLOR &amp; @imanshumpert let me watch Junie for them lol
985587683899723776,2018-04-15 18:36:29,RT @___dazed: @imanshumpert you blessed fam  https://t.co/UmzzuVDVsU
985587669588733953,2018-04-15 18:36:26,"RT @RayyCee3: Teyana personality, her vibe, her sense of humor ❤️ @imanshumpert  you a lucky man "
985577375751647232,2018-04-15 17:55:32,RT @MissEttaJames: Teyana Taylor looks tf BOMB at Coachella!
985418023241699328,2018-04-15 07:22:19,RT @_VibinLow_: @imanshumpert makes the most gif worthy faces https://t.co/36egBPIZoH
985417992677797888,2018-04-15 07:22:12,RT @alexandralatino: Me and @nickash24 will pay @TouchTunes however much it takes to have @imanshumpert songs put on their jukebox... #plea…
985147060776259585,2018-04-14 13:25:37,RT @GThydration: Yo bro !  ( this fire )  https://t.co/TWgK7dMNlf
985085255433572352,2018-04-14 09:20:01,RT @ThelifeofDeeg: @imanshumpert @XXL @breakfastclubam @HotNewHipHop @HipHopEarly @KarenCivil @spotifyartists @Spotify @pandoramusic @TIDAL…
985085248009621504,2018-04-14 09:19:59,RT @TEYANATAYLOR: @imanshumpert @XXL @breakfastclubam @HotNewHipHop @HipHopEarly @KarenCivil @spotifyartists @Spotify @pandoramusic @TIDAL…
985085181420851200,2018-04-14 09:19:43,RT @ballstate90: Critical is real nice @imanshumpert
985084478610698240,2018-04-14 09:16:56,RT @QueeenRob: @imanshumpert header is so ❤️
985084459056852992,2018-04-14 09:16:51,"RT @quanie1721: He say “We gotta Union like we D Wade , so when we fight it take 3 days fa we makeup like Mac and Sephora “  Why u do it…"
984990389462622208,2018-04-14 03:03:03,"RT @CarsonAMerk: Even though he's not on the Cavs anymore, I still rock with Shumpman. He's always been one of the better athlete rappers f…"
984969084466094080,2018-04-14 01:38:24,RT @Reece_is_3ABM: “Bandana round the neck ion false flag ion throw in towels” on me u took it there @imanshumpert 
984969073661538304,2018-04-14 01:38:21,RT @Reece_is_3ABM: Go off shorty @imanshumpert  https://t.co/AVv6Id0wYG
984965406132760576,2018-04-14 01:23:47,RT @40_Ali_: Must hear  https://t.co/afCmcDESo5
984965385563852800,2018-04-14 01:23:42,"RT @AverySmith3: If I told you I want you I need you to love me , you too critical of me - @imanshumpert"
984947181592379392,2018-04-14 00:11:22,RT @telfrombedstuy: @imanshumpert  Critical https://t.co/EJMxSwS7aZ
984947160822243328,2018-04-14 00:11:17,RT @MisterKing730: Nah...my man @imanshumpert is a legitimate Emcee. https://t.co/KSjvRnptw1
984947089770778625,2018-04-14 00:11:00,RT @Chris_Gotti187: MY NIGGA @imanshumpert  I WANNA PRODUCE ONE WITH YOU AND WIFEY!!!! @teyanataylor A… https://t.co/R31MPI6U4k
984940518667948033,2018-04-13 23:44:53,RT @_munoz_8: “What can I do” by @imanshumpert  goes too hard! 
984940379769327616,2018-04-13 23:44:20,RT @NyakalloDaDakie: This nigga Iman  Shumpert can actually rap his ass off 
984940373754695680,2018-04-13 23:44:19,RT @dee2timess: Iman Shumpert is so fiiiiiiiiiiiiiiiinnnneee gosh
984940245614460928,2018-04-13 23:43:48,Yeah the video for “Garfield” gon hurt. I anticipated that lol https://t.co/JK4PK38fIP
984940056971530240,2018-04-13 23:43:03,RT @YOUNGSAVx: @imanshumpert @XXL @breakfastclubam @HotNewHipHop @HipHopEarly @KarenCivil @spotifyartists @Spotify @pandoramusic @TIDAL 
984940040286588928,2018-04-13 23:42:59,Thank you https://t.co/j6E0KVoveL
984939294832852992,2018-04-13 23:40:01,RT @MasonJalloway: From the first day in the studio together I believed. @imanshumpert is not just a rapper but an… https://t.co/BmMgd9iJhR
984939280358428672,2018-04-13 23:39:58,RT @__lilbiit: Alert  Alert  CREATIVE GENIUS ALERT  @imanshumpert  https://t.co/PH0PK6Waob
984930076000219136,2018-04-13 23:03:23,"“Substance Abuse” Available now!!!!! Apple Music, Spotify, SoundCloud....u name it 🤷‍♂️ it’s lit!!!!… https://t.co/7U8koIwDBc"
984901713848135683,2018-04-13 21:10:41,RT @doctormillice: Mastered @imanshumpert new project #SubstanceAbuse - out today on all platforms - shoutout… https://t.co/7O743F0f8s
984901652443475968,2018-04-13 21:10:27,The beat is OD! Thank you for that! https://t.co/jBTH2KwpTM
984894277858873345,2018-04-13 20:41:08,"RT @PJJones6262: @imanshumpert On REPEAT, “CRITICAL” &amp; “GARFIELD” "
984894232996564992,2018-04-13 20:40:58,RT @KarenCivil: .@imanshumpert Unveils New 6-Song EP ‘Substance Abuse’ Stream It Here: https://t.co/Ykpzvj0SMC https://t.co/CoaepwmYX6
984894195285544960,2018-04-13 20:40:49,RT @IMG_98: Hero  https://t.co/aCZ1oLQegp
984879446288191488,2018-04-13 19:42:12,“Elevators” was a fav of mine to bring back in OutKast feel. Love outkast!!! https://t.co/10hpIpOeZq
984871128467374080,2018-04-13 19:09:09,"RT @OHMYYEME: the cover is lovely, woah ! https://t.co/Ve4LLUrY8c"
984855428457779201,2018-04-13 18:06:46,"https://t.co/RMtgX29eAM

Can get it here https://t.co/J3kwefX5mX"
984855366461730816,2018-04-13 18:06:31,RT @MVPR3IGNS: @imanshumpert Shump your delivery is on point  
984852677728317441,2018-04-13 17:55:50,"RT @colleenvallo: @imanshumpert Loving *Critical* by Iman Shumpert!!!! Y'all need to check it out it's 

Just giving him a shout out! He…"
984847292472623106,2018-04-13 17:34:26,Waiting on that sorry...i have no label  https://t.co/AxfRQgaTnM
984847218451632128,2018-04-13 17:34:09,"RT @telfrombedstuy: @imanshumpert It’s cool , i’m bumping it right now on soundcloud "
