id,created_at,text
987052593347223553,2018-04-19 19:37:31,Been banging Nas and Lauryn Hill last couple days anticipating the Cole.
986721910741487616,2018-04-18 21:43:30,Cover is crazy!! https://t.co/68JjovCIzR
986291042981785600,2018-04-17 17:11:23,Go to sleep and wake up that Solange
986058976109330432,2018-04-17 01:49:14,RT @startupcrunch: Jordan Crawford thinks LaVar Ball’s Big Baller Brand is ‘genius’ https://t.co/Cf4qEz0m4a
985648799920996353,2018-04-15 22:39:21,That young boy on Utah.. omg
985206020325588992,2018-04-14 17:19:54,Serious!!!! https://t.co/FPK3g8JwLC
984868644596269056,2018-04-13 18:59:17,These crazy!!! https://t.co/OOGLYlFUZH
984843439484190720,2018-04-13 17:19:08,Miss my guy B Heath... hold it down playa
984617749719560192,2018-04-13 02:22:19,"“Spoke some thangs into the universe and they appeared, I’ll say it’s worth it I won’t say it’s fair, find yo purpo… https://t.co/eIjoSFqvGN"
984265927876374530,2018-04-12 03:04:18, https://t.co/hOQXDomb9O
984146286654959621,2018-04-11 19:08:53,Love Ben Simmons game and his swagger on court but Mitchell is Rookie of the year
983768730286022657,2018-04-10 18:08:37,I remember asking Quinn Cook last year after practice “ how was you mature enough to sacrifice your opportunity at… https://t.co/lXsAayAS02
983766143516078081,2018-04-10 17:58:20,Yall still talkin bout these shoes huh? It’s been bout 4 days now..... chilllll
983601602912112640,2018-04-10 07:04:31,Wolves vs Nuggets gotta get change to prime time ASAP!!!!
983215886336016386,2018-04-09 05:31:49,Project pac booming riding thru the burbs
983090755353759744,2018-04-08 21:14:35,I don’t know if yall know this but Marshon Brooks is real good at basketball
982622698810388480,2018-04-07 14:14:42,"RT @DoItAll9: @jcraw55 Right where you left off! I see you...the perseverance, persistence, and consistency."
982485538035789824,2018-04-07 05:09:40,Dat way sac!!! https://t.co/qTFknV8kYm
982481133664284673,2018-04-07 04:52:10,“You gotta keep the devil in his hole  #|€€@“
982014268982878208,2018-04-05 21:57:01,I be taking jab after jab... haven’t seen a mark on me yet 
981330137395449856,2018-04-04 00:38:31,Get emmmmmm lol .. Nate rob silly
980982253500162049,2018-04-03 01:36:09,Jordan Poole need to ✌fareal 
980889878278926342,2018-04-02 19:29:05,Obama and George Clooney was great.. excited for this one https://t.co/BGb0Yk3VBz
980880989906964480,2018-04-02 18:53:46,RT @kingJay79: Had a great time with!! @usabasketball Blessed to have USA  across my chest  thanks for having me https://t.co/345Hy8zlDd
980880876648230912,2018-04-02 18:53:19,"RT @Hansonian88: @jcraw55 Saw you play live at Cintas back in 2010, came in from outta town had to scalp a ticket, paid through the nose to…"
980661174181285888,2018-04-02 04:20:18,RT @MittenClassic: Words of advice straight from the heart. Thank you @jcraw55 for dropping knowledge to our student athletes before the Mi…
980599141997957120,2018-04-02 00:13:48,RT @ElenaBergeron: ARIKE is cold. blooded.
980587243424374786,2018-04-01 23:26:31,Shii be lookin like lil league sometimes lol 🤦‍♂️
980232866327130114,2018-03-31 23:58:21,This a rough one to watch
980217984034754561,2018-03-31 22:59:13,Michigan jus need to go out and shoot at halftime
980140401884528642,2018-03-31 17:50:56,Aye you know I’m proud of you Coach Steele!!! We walked outta IU the same morning together! Great Choice Xav! https://t.co/6wA3mY1Rhg
979921605068541953,2018-03-31 03:21:31,A Brooks you gotta chill!!! OMG
