id,created_at,text
987136529419005952,2018-04-20 01:11:03,Ha! Next #detail episode will be the 30th. I haven’t decided which player will be the focus. https://t.co/N0zVcSZJUq
986925576987406337,2018-04-19 11:12:48, #coachpop
986622629514625024,2018-04-18 15:09:00,"Thanks @Gatorade, @DrinkBODYARMOR will take it from here... #ObsessedWithBetter #ObsessionIsNatural @JHarden13… https://t.co/A2P5mk4VP5"
986616880700903424,2018-04-18 14:46:09,#ObsessedWithBetter #obsessionisnatural @DrinkBODYARMOR @darrenrovell https://t.co/CQRP827nbi
986319847817601024,2018-04-17 19:05:51,Nah... I coach with content #Detail https://t.co/X8z7i4UJp8
986260613956435968,2018-04-17 15:10:28,My man (Denzel voice) #DETAIL https://t.co/sD2aKshSws
986242680484057090,2018-04-17 13:59:13,That’s what I LOVE to hear @mrcramher If he can start understanding these concepts at 12 then how high will his bas… https://t.co/EUtAiZRgzO
986240894461345792,2018-04-17 13:52:07, #detail https://t.co/Gor8FfD4CS
985718329947013122,2018-04-16 03:15:38, @demar_derozan #Detail. Watch Episode 2 now on ESPN+ https://t.co/qzWPnGEJUa
985471960476893184,2018-04-15 10:56:39,#BEYCHELLA
984550910813659136,2018-04-12 21:56:43,"Determination wins games, but Detail wins championships...Check out Detail, our new show from Granity Studios, on E… https://t.co/HdZUd5izg1"
983939485594370048,2018-04-11 05:27:08,LOVE IT https://t.co/H80FOjRuhm
983491019931971585,2018-04-09 23:45:06,Congrats @ivypochoda  https://t.co/nkMq703BZ5
982374904363282432,2018-04-06 21:50:03,"RT @TheEllenShow: Just shooting some hoops with the star of the NCAA season @Arike_o, @KobeBryant and @IceCube. No big deal. https://t.co/D…"
981978588080586752,2018-04-05 19:35:14,"RT @VandyWBB: What @kobebryant said 
 https://t.co/SmrYab39P9"
981352008769708032,2018-04-04 02:05:26,Wow!  Dear Basketball nominated for three Sports Emmys and a Webby! Thank you for keeping the love going for our an… https://t.co/KKl22R3UNF
981029788721627136,2018-04-03 04:45:02,Congrats @NovaMBB #champs  https://t.co/2xySr5rhCA
980600297465683968,2018-04-02 00:18:24,WOW! @Arike_O #lifecomplete #MambaMentality
980598958778081280,2018-04-02 00:13:05,@Arike_O WOW
979944699875221504,2018-03-31 04:53:17,Shoutout to two of my all time fav @UConnWBB players on the end of an amazing collegiate career @KayNurse11 @MochaTrapuccino 
979944046264307712,2018-03-31 04:50:41,Nah... it’s complete by finishing the job on Sunday @Arike_O  #MambaMentality https://t.co/pvL95JCZHn
979943202902937600,2018-03-31 04:47:20,@NancyLieberman @ncaawbb Great to catch up with you @NancyLieberman and witness two epic games. The future of women… https://t.co/HGiIsUvpUd
979938438672678912,2018-03-31 04:28:24,Big time shot Arike! We are a @UConnWBB family but we love seeing great players making great plays. I know my lil s… https://t.co/pH6cpKARhA
979866813692485633,2018-03-30 23:43:48,From the Book of Antetokounmpo:  The greatest gift is understanding HOW to use the gifts we’ve been given.… https://t.co/qKLB96eyAY
976673691483258880,2018-03-22 04:15:28, @DeMar_DeRozan #kobe360 #MambaArmy https://t.co/jSuvuO3LTY
974778341860372480,2018-03-16 22:44:01,I LOVED IT  https://t.co/o4cfzMlh3c
974765530237190145,2018-03-16 21:53:07,Well deserved @tomi_adeyemi I read it in just about a day!! LOVED it #ChildrenofBloodandBone #congrats https://t.co/8wTh0OwKq2
971955119121027072,2018-03-09 03:45:33,Jimmy dresses up my Oscar and I talk about what’s coming next - tonight on ABC #KIMMEL #DearBasketball https://t.co/OS2gZrZJnb
970105444126437376,2018-03-04 01:15:36, https://t.co/5KH8psknD0
970043793389977600,2018-03-03 21:10:37, @33katielou @UConnWBB https://t.co/mDLwSnF2cE
969390202841001989,2018-03-02 01:53:29,RT @judyseto: You too can get championship care for your injuries and help to prevent future ones. #GetPT1st @MoveForwardPT @kobebryant htt…
969279645198688257,2018-03-01 18:34:10,"When the world stops, there’s only one option - #ChooseGo #Nike https://t.co/JKJsrBpbBU"
969191982038892544,2018-03-01 12:45:49,Cheryl Boone Isaacs  #ICONMANN https://t.co/iHCRPNJ8AV
969008979236941827,2018-03-01 00:38:38,Lace up. Get out. #ChooseGo https://t.co/Yem7pKthUW
964289655762968578,2018-02-16 00:05:44,On my way LA! https://t.co/TZUWXqpTo3
963941542564999169,2018-02-15 01:02:27,"Shark or Seal, Lion or Gazelle, Wolf or Sheep...which one are you? Watch the latest episode of Musecage Basketball… https://t.co/SVWmlY1hMY"
963546713662173186,2018-02-13 22:53:33,"RT @UConnWBB: BIG NEWS! CD will be inducted into the Women's Basketball Hall of Fame!!  Congrats CD!!

@WBHOF // #UConnNation // #DemandMor…"
963178454953771008,2018-02-12 22:30:13,Proud to have my own Granity Studios be a part of the Evolve Entertainment Fund. L.A. is a global hub of creativity… https://t.co/SzEklCEDrd
963109783992598528,2018-02-12 17:57:20,"Happy birthday to the , my muse, my mentor and friend @RealBillRussell"
961780638968721408,2018-02-09 01:55:48,Much luv to @JordanClarksons and @Larrydn22 two of my fav young guns. Do great things! You know where to find me sh… https://t.co/kVBqH4glfw
961625634387542016,2018-02-08 15:39:52,RT @Eagles: Watch live as the World Champion Philadelphia Eagles celebrate the city's first-ever Super Bowl. https://t.co/sctJ7uEuDp
961443232834977793,2018-02-08 03:35:04,I wish I could be there @greengoblin but building a studio from the ground up got me in #Mambamode not to mention m… https://t.co/fDBShmMf9N
961381200450351104,2018-02-07 23:28:34,Loved all the Protro thoughts. @BrianPatrickP @ImGeraLd @AirMikey were fastest and closest. Congrats and please hit… https://t.co/dJKTWszLLF
961365731353874432,2018-02-07 22:27:06,Dream Big things then Do Big things @WNBAPrez the @WNBA future is bright https://t.co/DrpdN2SbQh
961306831195787265,2018-02-07 18:33:03,Kobe 1 Protro. 2005 design. Modern day technology. Drops Feb. 17. #yourewelcome https://t.co/ltNbRYqBM2
961306385844649984,2018-02-07 18:31:17,Protro = Performance Retro
961096080069980161,2018-02-07 04:35:36, https://t.co/6lHlUpKV19
961014713843826688,2018-02-06 23:12:17,"RT @jemelehill: Spent this morning chatting w/ legend @kobebryant. Got his thoughts on his relationship w/ Bill Russell, the evolution of b…"
960983172128190465,2018-02-06 21:06:57,"RT @TheUndefeated: Be a part of our live audience taping for our BHM special #DearBlackAthlete in Birmingham, Ala. on Feb. 7. 
Doors open a…"
960577360587243520,2018-02-05 18:14:24,What does the word “Protro” mean? 🤔 Special prize to the first to reply with the correct guess.
960352456113733632,2018-02-05 03:20:42,YES!!!!!!!!!!!! #EAGLES #SUPERBOWLCHAMPS #PHILLY YES!!!!!!!!!!!!!!!!!
960292573314138112,2018-02-04 23:22:45,It’s go time #EaglesNation #FlyEagleFly
960286317115404288,2018-02-04 22:57:53, https://t.co/bMubNoZTZ0
960243138425118720,2018-02-04 20:06:19, https://t.co/gp5JbAZx2h
959886990442348544,2018-02-03 20:31:07, @VULions https://t.co/3SIgKM1VgF
959224068577812480,2018-02-02 00:36:54,Yup! I LOVE it @DrinkBODYARMOR #fam #ObsessionIsNatural https://t.co/Qq599gJq14
959117045353799680,2018-02-01 17:31:37,Congrats and well deserved @SerenaWinters wish you nothing but epicness!! #laker4life #brightfuture https://t.co/b4sIB2VYbx
959099075336417281,2018-02-01 16:20:13,@MilesBrown  #Blackish
958882999306612736,2018-02-01 02:01:36,Thank you for having me! I learned so much in just the one day!@violadavis you are truly one of the greats … https://t.co/oe8OD8w8TU
958803306310074369,2018-01-31 20:44:56,Rest In Peace my brother #RasualButler
958561446790483968,2018-01-31 04:43:52,@JHarden13 #60 #tripdub @DrinkBODYARMOR #obsessionisnatural
958188404860047360,2018-01-30 04:01:32,Great to witness the whole @shondarhimes family doing work today. Happy early bday @kerrywashington! https://t.co/ZPJuWP8vBV
957990454187851776,2018-01-29 14:54:57,Congrats to my man @kendricklamar on a big night last night #GrammyAwards #damn
957719655296090113,2018-01-28 20:58:54,Simple @rogerfederer =  #AustralianOpen
957322714301149184,2018-01-27 18:41:35,Get healthy @boogiecousins You will comeback stronger. If you need anything on my end just holla 
955990269664542721,2018-01-24 02:26:56,From #Akron to #30k @KingJames well done my brotha
955797425427423232,2018-01-23 13:40:38,What?? This is beyond the realm of imagination. It means so much that the @TheAcademy deemed #DearBasketball worthy… https://t.co/dC7Yxkcioo
