id,created_at,text
987045165096407041,2018-04-19 19:08:00,#PorzingisComeback - Episode 1 ONLINE NOW!!! https://t.co/i0M7lZKzcC https://t.co/9Cf7jXrJrJ
986671970866606090,2018-04-18 18:25:03,"First episode of my @YouTube series coming out tomorrow. Stay tuned 
#PorzingisComeback https://t.co/UPKFlNMY57"
986611547555487744,2018-04-18 14:24:57,"Thanks @Gatorade, we’ll take it from here: https://t.co/F6QJud1AbJ @DrinkBODYARMOR  #ObsessedWithBetter… https://t.co/03kqSVOxTB"
983026614756880384,2018-04-08 16:59:43,Yessir!! lets goo @FKLiepajaMogo https://t.co/QyQ8rbmovf
982993089362046976,2018-04-08 14:46:30,Celebrating 100 years of our country’s independence with our President @Vejonis  https://t.co/OZMmiOeCzg
982814612822396928,2018-04-08 02:57:18,this dagestani dude is special! #ufc223
981584302864584709,2018-04-04 17:28:29,Taking it one day at a time. My @JBLaudio Link 20 keeps the tunes going and mood high. #JBLxNBA #ad https://t.co/DyoBU3MjYH
979183306460860416,2018-03-29 02:27:47,Miss being out there  https://t.co/mRXPjPpbdO
974680078641762304,2018-03-16 16:13:34, https://t.co/9SCIM6KCPT
974025875183239168,2018-03-14 20:53:59,RT @zingbars: Look who stopped by the Zing Bars stand at the @nassaucandy trade show earlier! The one and only @kporzee  https://t.co/BRE9…
972303472526798848,2018-03-10 02:49:47,"Supporting the team from home. 
Doing everything I can to be back asap. I miss being out there on the floor and pla… https://t.co/p8kBlb0G2y"
971858443081576448,2018-03-08 21:21:23,"Ya me acostumbré
A callarle la boca al que no me cree... https://t.co/zA7RUh0yrF"
970888750132801537,2018-03-06 05:08:10,Yup  https://t.co/iZpihDBcvW
970888479260463104,2018-03-06 05:07:06,My alliance https://t.co/qU0LAlfs6g
969647698071707658,2018-03-02 18:56:41,Love these people https://t.co/WWMqEYV0Lw
969277983981752320,2018-03-01 18:27:34,I could do a better translating job than that cmoon.. Talking about #WilderOrtiz Press conference. Excited about the fight tho!! 🥊
968207118728867841,2018-02-26 19:32:20,Yessirr!!! Svarīga uzvara @basketbols #TrīsZvaigznes
967957645046042624,2018-02-26 03:01:01,Anybody else play @PLAYERUNKNOWN battlegrounds?? https://t.co/M1L90C8rNM
967956564291346437,2018-02-26 02:56:43,When can I get this one??  https://t.co/ENx1Z9Om0M
965382110784651264,2018-02-19 00:26:45,All-Star Recovery. All-Star Hydration @DrinkBODYARMOR. Be back ASAP! https://t.co/5FFljrXHqk
965381368007069696,2018-02-19 00:23:48,Congrats to @DevinBook and @spidadmitchell for last nights W!!
963860880805986307,2018-02-14 19:41:56,"First of all I want to thank you for all the love and support.
Im attacking my rehab right away. 
I truly believe t… https://t.co/4GeXmjmv4d"
960902768507703297,2018-02-06 15:47:27,Meet me at #747WarehouseSt. Get your tickets at https://t.co/lyb64EgBQ7 https://t.co/pRb9YE4JMV
957417493303300103,2018-01-28 00:58:13,Congrats brother!! @carmeloanthony #History #25k https://t.co/i1FWbHPRWw
957390226841849856,2018-01-27 23:09:52,Džekiem izturība normālā līmenī .. Kas par cīņu  #UsykBriedis
957350298397310984,2018-01-27 20:31:12,"Good luck to the champ @BriedisMairis
#UsykBriedis  https://t.co/kUgi9Ehjff"
955917028363087873,2018-01-23 21:35:54,Just a kid from Latvia... https://t.co/NTQLIQN9JT
954855653759115264,2018-01-20 23:18:22,"RT @DrinkBODYARMOR: .@DrinkBODYARMOR Sports Drink TAKING OVER the Octagon tonight as the OFFICIAL SPORTS DRINK of @UFC, hydrating #UFC220 i…"
953304877165359104,2018-01-16 16:36:08,"Back on track.
Roadtrip now ahead of us  https://t.co/M5paZE7iwN"
952938263488155650,2018-01-15 16:19:21,"RT @RenarsZeltins: Vienojamies un saliedējamies pēdējam triecienam!
Kristaps Porzingis 🦄 #NBAVOTE"
952938208026914818,2018-01-15 16:19:08,RT @zingbars: Retweet for your chance to win a signed game-worn Kristaps Porzingis jersey from tonight’s game against the @BrooklynNets #NB…
952592078839697408,2018-01-14 17:23:44,RT @Kyle_OQuinn: @kporzee #NBAVote @DrinkBODYARMOR #NBAVote #NBAVote https://t.co/lGDIriHMbR
951900860560363521,2018-01-12 19:37:05,RT @MightyMouseUFC: Making sure everyone remembers to vote for my guy @kporzee before voting ends Monday #NBAVote https://t.co/j5DxWXHjmr
951900461040324609,2018-01-12 19:35:30,RT @ArtursKenzo15: Kristaps Porzingis #NBAVOTE
951871195825233922,2018-01-12 17:39:12,"RT @nyknicks: “Best. Day. Ever.” ➡️ @MakeAWish 

#ThisIsWhyWePlay https://t.co/ja84DdcDVN"
951871138711433217,2018-01-12 17:38:59,RT @nyknicks: . @ActionBronson knows. #NBAVOTE every day for the 🦄 @kporzee https://t.co/qQfqR7mJnf
951870847458906112,2018-01-12 17:37:49,RT @TheRealAlexis: Kristaps Porzingis @kporzee the 🦄🦄🦄🦄🦄🦄 #NBAVOTE
951598071850393601,2018-01-11 23:33:54,RT @emcb13: #NBAVOTE @kporzee Porzingis has to be there!!!! 
