id,created_at,text
983864836282114049,2018-04-11 00:30:30,Small Giants #smurfGang #holdat https://t.co/rSuSNgIKFX
981978387680866305,2018-04-05 19:34:26,"Hey guys it’s about that time 
https://t.co/smBYgeyZ3Z"
981175573685948416,2018-04-03 14:24:20,https://t.co/2GsY6dfiM1
980229940451868672,2018-03-31 23:46:44,Loyola ain’t playing games y’all #Cinderellateam #holdat
980229206633320449,2018-03-31 23:43:49,Big Blue here they come #holdat
980229094112743424,2018-03-31 23:43:22,Here come the big blue
979116519782211584,2018-03-28 22:02:24,"When it comes to trivia, I'm not messing around.
Check out some behind the scenes action at the @PlayersTribune and… https://t.co/soIT6clPSW"
978433215189757952,2018-03-27 00:47:11,JAM FEST TONIGHT GONNA BE LIT @mcdaag. Tre I know you got secret bunnies  bro just join the JAM FEST bro #holdat https://t.co/3iosOencVJ
978100804887465985,2018-03-26 02:46:18,Watching McDonald’s All-Americans ball out today was lit #holdat https://t.co/hpO37cFlV5
976971141645590534,2018-03-22 23:57:26,"16 teams left. Who you got? 
#SUBWAYpartner

https://t.co/1hH2upGNH6

#holdat"
972519232381603840,2018-03-10 17:07:08,"My favorite way to get my family to unplug is playing games, and today  we’re playing DOS! A new… https://t.co/8lTv7L188b"
971978484602949633,2018-03-09 05:18:23,RT @savoirfairenupe: Rockin my EQUALITY @strideline socks today from @nate_robinson… https://t.co/7bxVDpoK3O
971910975908495360,2018-03-09 00:50:08,"Check this story out 
https://t.co/5sQjqYNMdR"
969390652000583680,2018-03-02 01:55:16,"Just getting ready for any opportunity #holdat 
https://t.co/WLMl79nMCr"
968935777164967936,2018-02-28 19:47:45,"Just a little something for the summer , come watch us ball out 
https://t.co/3dcKSQUtzI"
968879300362436609,2018-02-28 16:03:20,"Show some love to the podcast #holdat 
https://t.co/P4KQDCvZO0"
967229744704929793,2018-02-24 02:48:36,"Oh, it’s definitely about to go down! #GatoradePartner #TheDebut https://t.co/SSTmPchaxZ #holdat"
967186811272380417,2018-02-23 23:57:59,"You know what it is, #TheDebut tonight at 10pm EST.  #GatoradePartner #holdat hope you ready for the show get that ready"
967084954990518272,2018-02-23 17:13:15,https://t.co/P4KQDCvZO0 listen up y’all #holdat
966851726920761344,2018-02-23 01:46:29,"Aye, me and @RADeMita are back at it again with #TheDebut. This time we’re out in Vegas for Findlay Prep vs. AZ Com… https://t.co/0SbaHxZaBS"
963990862177951744,2018-02-15 04:18:26,Bounce ain’t going nowhere anytime soon #holdat https://t.co/U4dBEwAx5V
963990423034318849,2018-02-15 04:16:41,RT @SInow: NEW podcast: @MisterCBooz and @nate_robinson are teaming up to host #HOLDAT and break down the NBA  https://t.co/LGLRKjGKBi htt…
963807878195961856,2018-02-14 16:11:19,"RT @UncleDrewFilm: OG All-Stars from the  courts to the big screen. Watch @KyrieIrving play #UncleDrew  in this NEW teaser trailer, then…"
963798707186618370,2018-02-14 15:34:52,https://t.co/aaau6ODp5L getcha popcorn ready guys uncle drew the movie coming to theaters June 29th hope y’all read… https://t.co/07s1P9s3sT
963493494894530561,2018-02-13 19:22:04,"“We love @unoanytime, it’s our favorite card game! When we found out they were launching DOS we… https://t.co/9FTAhNBNSG"
963143474324189184,2018-02-12 20:11:13,Hero’s break fast 2 become the fast break hero lol #UncleDrew the movie coming to theaters June 29th https://t.co/H6Mb8xAGTg
962169520428371969,2018-02-10 03:41:04,Had a blast wit @rademita &amp; @BaronDavis on #theDebut⚡️ fueled by @gatorade . The top high school… https://t.co/g6YKWNqx9Y
961799606483824640,2018-02-09 03:11:10,#HOLDAT #TheDebut⚡️is lit hope y’all ready https://t.co/v5YAd6qcHW
961799217072111621,2018-02-09 03:09:37,RT @TheDebut:  #TheDebut https://t.co/7r7sK8O4jL
961744737534328832,2018-02-08 23:33:08,"I’ll be on #TheDebut tonight at 10pm ET with @RADeMITA and @BaronDavis. #GatoradePartner
 #holdat see y’all tonight let’s get it"
961108673195102211,2018-02-07 05:25:38,I know ya’ll are ready to see my boy @SSJreef ball out on Thursday! Tips at 10pm ET. #TheDebut #GatoradePartner #holdat
961108585014054912,2018-02-07 05:25:17,https://t.co/FPvOdBvZGO cop u come for the culture ... #BHM
