id,created_at,text
986700839636033536,2018-04-18 20:19:46,"RT @NBATheJumpFP: .@paulpierce34: Care to explain your IG story this morning?

#BetterCallPaul #TheJump https://t.co/ILc5HKJuLJ"
984810890703749121,2018-04-13 15:09:47,Trying to survive in the Playoffs? Turnovers will kill ya. #TWDxFearTWD is Life #ad https://t.co/laGAnyXcZK
984358470806851584,2018-04-12 09:12:02,"RT @ESPNNBA: Last day of the season means we've got a year's worth of outtakes from @MichelleDBeadle, @paulpierce34, @Real_T_Mac, , @JalenR…"
978051618242351104,2018-03-25 23:30:51,Rooooockkkkkkk chaaaaaaallllllkkk Jayhaaaaack Kkkkkkkkkkkkk uuuuuuuuuuuu🤜
975895188399783940,2018-03-20 00:41:58,Hey @JayBilas and @ESPN_ReceDavis... thanks for calling! You guys know what you’ve got to do #ad #RangeRoverSport.… https://t.co/YO4tF3D2eh
974396783064358913,2018-03-15 21:27:51,RT @OhhItsJessicaX: Chace worked so hard on his “Expert Fair” project...of course he picked his idol @paulpierce34 ! @celtics @tdgarden htt…
974367441189969920,2018-03-15 19:31:15,RT @isaacdsaenz: I’m here touring Allen Field-house and just saw this plaque of  @paulpierce34 from his time as a Jayhawk. https://t.co/hK0…
973971038999474177,2018-03-14 17:16:05,"RT @PrepHoopsSeries: With our Los Angeles event only 1 month away, we are excited to announce @TheTruthEYBL's attendance at our LA event!…"
972911256884731905,2018-03-11 19:04:54,RT @JalenRose: .@nba Countdown is now on @ABCNetwork w/@paulpierce34 &amp; @MichelleDBeadle! Followed by Warriors at Timberwolves. @ESPNNBA
971495539664568321,2018-03-07 21:19:20,Hey @JayBilas and @ESPN_ReceDavis... good talk. Big challenge coming up… let’s see what you got! #ad… https://t.co/DuFrDp797p
971493864648273920,2018-03-07 21:12:41,RangeRoverTrailer_Twitter_30_Pre_smaller https://t.co/8BWUZTpds4  Hey @JayBilas and @ESPN_ReceDavis... good talk. B… https://t.co/eyhyZICZzj
971215695055745024,2018-03-07 02:47:20,Habachi night https://t.co/7EZa5xjNiX
970489806366167042,2018-03-05 02:42:55,Props to #BlackMamba b-ball titles Oscars what’s next
967810323628531712,2018-02-25 17:15:36,RT @moon_truther: Hey @paulpierce34 can I get an RT in honor of my first born? https://t.co/YIqdmArUgk
