id,created_at,text
986830657270833153,2018-04-19 04:55:37,“The strength of our team is our TEAM”  #together #TakeNote #NBAPlayoffs2018 https://t.co/evKyV8YQsw
985942445136535558,2018-04-16 18:06:11,Tough Game1. Time to bounce back. #NBAPlayoffs2018 #TakeNote https://t.co/hzfbFJwm1e
985571419428999168,2018-04-15 17:31:52,"Thanks @JBLaudio for the hook up. A man of my word, isn’t it @spidadmitchell ??  https://t.co/GnC9cfBueY"
984473447358058498,2018-04-12 16:48:55,#NBAPlayoffs  https://t.co/QlrMCv2Aqk
983969887046402050,2018-04-11 07:27:57,#TakeNote https://t.co/0p0jeL8FLU
983931367581859841,2018-04-11 04:54:53,No love for the passer?  https://t.co/1bf159nvRH
983930549092794368,2018-04-11 04:51:38,"@Joeingles7: what are you saying?

Me: this dude broke the 3pt record for a rookie in a season 

@spidadmitchell :… https://t.co/TOCRpk8EGc"
983164424071430145,2018-04-09 02:07:19,What is that?? https://t.co/5BvxJuDlv3
983163039200391173,2018-04-09 02:01:49,"RT @CJC9BOSS: CONGRATS TO MY TEAMMATES,COACHES, ORGANIZATION &amp; FANS FOR CLINCHING A SPOT TO PLAY FOR IT ALL.!! #TAKENOTE"
983159529142566913,2018-04-09 01:47:52,RT @spidadmitchell: X-🤐
983154759841411073,2018-04-09 01:28:55,RT @BucketsONeale00: Playoff clinched ✅
983154752610418688,2018-04-09 01:28:53,RT @JonasJerebko: PLAYOFF BOUND ✅ #TakeNote
983144263218163713,2018-04-09 00:47:12,RT @rudygobert27: Shoutout to Everyone that counted us out!! #ontothenextone #weonlygettingstarted
983144238387838976,2018-04-09 00:47:07,✅ Playoff clinched... #TakeNote
982782313573498881,2018-04-08 00:48:57,Mi hermano @IamLuisFigueroa killing it. Proud of you man. Nos vemos en verano 🤙 #PorPerro https://t.co/tNxSKLpBgX
982642774083125248,2018-04-07 15:34:28,Mucho animo Fer !!!  https://t.co/NGlZ6ZagQd
981424399608893440,2018-04-04 06:53:05,Mood... #TakeNote 🤐 https://t.co/yfr1cj1J17
980634927682277376,2018-04-02 02:36:00,"Well, that was fun. #TakeNote https://t.co/5Pj626BYzd"
980195364803366914,2018-03-31 21:29:20, #RudyDPOY https://t.co/pXFBG8bxMd
980194477892603904,2018-03-31 21:25:49,Keep going lil bro #DonROY https://t.co/PZSTxV8x2v
979844647047462913,2018-03-30 22:15:43,Hakuna Matata  https://t.co/OqmLqzaei2
979469838610345984,2018-03-29 21:26:21,"Proxima lectura, gracias @AnderSkeleton por el detalle. Con ganas de empezarlo https://t.co/Fio5zgeZvE"
978825718233616384,2018-03-28 02:46:51,Wait for next month... https://t.co/lQUJKRwFQo
978825640186068993,2018-03-28 02:46:32,Punky Brewster https://t.co/GmC1029nyN
978774518364688384,2018-03-27 23:23:24,I’m auctioning my worn shoes and uniform of tomorrow’s game. Anyone wanna bid?  100% of the money goes straight to… https://t.co/p4mhArGZ5d
978748480519729153,2018-03-27 21:39:56,You the man. First of many more to come... nice work.  https://t.co/w0qKucxt6I
978744239268937728,2018-03-27 21:23:05,You can help us invest in cancer research by buying this 5 For The Fight beanie in the Jazz app or in the Team Stor… https://t.co/d1d1iypnS3
978731074954997760,2018-03-27 20:30:46,Shoes by @Kickstradomis for tomorrow are ...
978650901886857218,2018-03-27 15:12:12,🤪🤪🤩 https://t.co/4msU0lUdCq
977616674693066752,2018-03-24 18:42:33,☕️ @Joeingles7
977404427161231360,2018-03-24 04:39:09,TEAM. #OntoTheNextOne https://t.co/8bPr0zvgnM
977403563533127684,2018-03-24 04:35:43,RT @rudygobert27: Way to battle tonight. #ontothenextone
977401617585754112,2018-03-24 04:27:59,🤨 https://t.co/oQ7GuSsp0q
977202623181926401,2018-03-23 15:17:15,Con ganas de verte jugar ‍♀️ https://t.co/0GlnbtZ80T
976564170668814336,2018-03-21 21:00:16,"2x2. #JohnStockton @rudygobert27 vs Me and #KarlMalone who y’all got? FAV for them, RT for us 🤨 https://t.co/b1oE5KaOM2"
976173521234640896,2018-03-20 19:07:58,"Holaaaa.
¿Aún no te has apuntado a la segunda edición del campus de Madrid que se celebrará del 9 al 14 de Julio? N… https://t.co/9613QdqoZB"
975423140481318912,2018-03-18 17:26:13,‍♂️ https://t.co/NoWgtfNRjq
974356635748454401,2018-03-15 18:48:19,Bye bye perfect bracket... 
972983213651001350,2018-03-11 23:50:49, https://t.co/vFZp6UoaRD
971636137012973568,2018-03-08 06:38:01,Jazz win. Knock knock...  https://t.co/WOm3aGtbTp
971142667529793537,2018-03-06 21:57:09,RT @CampusRR9: Hemos abierto inscripciones en Madrid. No esperes más y entra en https://t.co/OfGLbQnJqy e inscríbete.
971068317556293632,2018-03-06 17:01:43,way to open up and keep it real !!  https://t.co/OvgbhLBo8q
969661316620103680,2018-03-02 19:50:47,Happy birthday old man !!! https://t.co/FJN8RIAl4d
969612663931023360,2018-03-02 16:37:28,🤨 google translator? https://t.co/Bdxwdgx2kj
969426394970140672,2018-03-02 04:17:18,Just wait for it...  https://t.co/nzqTSCV03C
965307394229125120,2018-02-18 19:29:51, https://t.co/QL14t8z50u
965065404337934336,2018-02-18 03:28:17,"ZachLavine, GlenRobinsonIII and DonovanMitchell... I guess you gotta be my teammate at some point to win the #DunkContest "
963296793948602369,2018-02-13 06:20:27,RT @RaulTogni: That’s 10 games of great basketball #TakeNote 
962794726502973440,2018-02-11 21:05:25,Desde Estados Unidos tambien luchando. Para todos nosotros. #ABPEstamosUnidos
962794457413206017,2018-02-11 21:04:21,"RT @Victor_Claver: No hay dudas, estamos todos juntos en esto #ABPEstamosUnidos"
962794441625882624,2018-02-11 21:04:17,"RT @PauRibas: Sin ninguna duda, todos unidos! 
Por nosotros, los que fueron y sobre todo por defender a los que serán!
#ABPEstamosUnidos"
961648648412020736,2018-02-08 17:11:19,Estoy orgulloso de formar parte de la familia Torrot y poder contribuir a un mundo más sostenible y ecológico para… https://t.co/HblSG4dsk0
961457064177537024,2018-02-08 04:30:01,7 W in a row... 
960030524512325633,2018-02-04 06:01:28,I see you  https://t.co/jcnx6yZPns
960021837131517952,2018-02-04 05:26:56,5 W in a row... keep it going. https://t.co/lo8gxFQtsJ
959307275427983361,2018-02-02 06:07:32,And now Harris... heck of a game
959304156719693824,2018-02-02 05:55:08,PaulGeorge... what a fun game.
959090811395698688,2018-02-01 15:47:23,"RT @ABOHLF_MN: Understanding the Biology of Women &amp; Lung Cancer, our current research focus. 11:59 pm tonight marks the deadline for applic…"
958016782047920128,2018-01-29 16:39:34, https://t.co/0ngye8auL2
957468486246133760,2018-01-28 04:20:50,@Joeingles7 Dont be jealous. You were invited... but I guess you too good to hang out with me 🤷‍♂️
957466952405929985,2018-01-28 04:14:44,Great win !! https://t.co/eR1Ngoeux4
955965874636296192,2018-01-24 00:50:00,RT @TeamLou23: Lol
955562701870325760,2018-01-22 22:07:56,#MiVoto40EfectoPasillo Daleee @efectopasillo 🤙
954038299030470656,2018-01-18 17:10:30,"Cero distracciones, entrenando para el próximo partido. #ALPHASKIN @adidas_es @adidas https://t.co/KSQW5iaTTU"
953291926706438144,2018-01-16 15:44:41,RT @spidadmitchell: Tough loss tonight but we will bounce back.... Can’t believe people were booing Rodney tonight that is insane to boo a…
952334620258783233,2018-01-14 00:20:41,"RT @utahjazz: UNITED. 

#IHaveADream https://t.co/R6see9aUgJ"
951295213804425217,2018-01-11 03:30:27,RT @spidadmitchell: EKPE UDOH @EkpeUdoh EKPE UDOH @EkpeUdoh EKPE USOH @EkpeUdoh https://t.co/xyVRvMcGw0
950861664366288897,2018-01-09 22:47:41,Can’t wait to watch the game. https://t.co/xh95XnAiel
949344852164206592,2018-01-05 18:20:25,Thank you  #NBACommunityAssist https://t.co/hxCDOFq37a
946440956282224640,2017-12-28 18:01:22,"No los tiene... yo debute con 14, él puede hacerlo con 44. Nada es imposible. Te atreves @2010MisterChip ?? https://t.co/lqFbO15RxS"
946274886036602880,2017-12-28 07:01:28,Tough one. Gotta keep working and improving. #ontothenextone #TakeNote https://t.co/KOePwmtf7f
945897011605377024,2017-12-27 05:59:56,RT @spidadmitchell: Tomorrow...
944455655754104832,2017-12-23 06:32:30, this one for you mom. Miss you. #5forthefight #fuckcancer https://t.co/IrEmMVoHOX
944357297018486784,2017-12-23 00:01:39,"RT @5forthefight_: Thank you, @rickyrubio9 for spreading cheer today with your visits to patients and donation to lung cancer research. htt…"
944357253007663104,2017-12-23 00:01:29,RT @huntsmancancer: We are so grateful to @rickyrubio9 of the @utahjazz for donating $20k —and to @LaytonBuilds for matching it—for the @5f…
944112468091006977,2017-12-22 07:48:47,@Joeingles7 I know. When I tweet Team I meant Jonas and DFaves...
944111609684701184,2017-12-22 07:45:23,TEAM https://t.co/sEtWq3Doax
941925509398712320,2017-12-16 06:58:36,What is he saying @Joeingles7 ?? 🤷‍♂️ https://t.co/CeRWi5KTw1
941884796355121152,2017-12-16 04:16:49,Sending prayers to my man @rudygobert27 Hope he can be back on the court in no time. Like once he said: “I’’m not human”  
941884476124262400,2017-12-16 04:15:33,Great team win ✋ https://t.co/dC8LBcjlZM
940824362990686211,2017-12-13 06:03:02,"RT @utahjazz: Just a couple Olympians on a shopping spree! 
#takenote #ThisIsWhyWePlay
@rickyrubio9 @specolyutah https://t.co/3JUFTMxRVJ"
940320389028122624,2017-12-11 20:40:25,Con ganas de ver esas !!!! https://t.co/CNSxW1jGXO
