id,created_at,text
983142534145691648,2018-04-09 00:40:20,Shoutout to Everyone that counted us out!! #ontothenextone #weonlygettingstarted
983140741537918976,2018-04-09 00:33:13,RT @rudygobert27: We will be fine
982321480225538048,2018-04-06 18:17:46, https://t.co/WIMTL7mXwE
982105640712552448,2018-04-06 04:00:06,Big team Win at home! #ontothenextone https://t.co/kk8pjNFIHL
981690586208940033,2018-04-05 00:30:49,"RT @markeaton7ft4: NBA Great, Mark Eaton, Releases New Book - The Four Commitments of a Winning Team: https://t.co/SFQcHzWpVp #4Commitments"
981391770239033346,2018-04-04 04:43:26,Much needed WIN tonight. Let's keep getting better. #ontothenextone
980627083004203009,2018-04-02 02:04:50,Big win on the road tonight. #OnToTheNextOne
980191543582535680,2018-03-31 21:14:09,#ROY https://t.co/iBnyUFHaKQ
979937674533380096,2018-03-31 04:25:22,Big game @daanteee ! #ontothenextone
979786750124965888,2018-03-30 18:25:39,RT @VivintHome: We had the privilege of opening a sensory room at @vivintarena with the help of Utah Jazz center Rudy Gobert! Now kids with…
979222602605412352,2018-03-29 05:03:56,Tough ending for us tonight. Let's be ready Friday. #ontothenextone
978851131920183296,2018-03-28 04:27:50,Feed the BOBAN
978122386888302597,2018-03-26 04:12:04,Good team win on the road! #ontothenextone
977402081505103872,2018-03-24 04:29:50,Way to battle tonight. #ontothenextone
976319018964430849,2018-03-21 04:46:07,Let's learn from this one. #ontothenextone #gottaplaythroughit
975222782060519424,2018-03-18 04:10:04,Great win against a young talented team. #ontothenextone
974831029406986240,2018-03-17 02:13:23,I only see Enes Kanter on this picture... https://t.co/Q4j5tDAvwB
974497618964312067,2018-03-16 04:08:32,Different night same story . #ontothenextone
973767140653191168,2018-03-14 03:45:52,Good team win at home. #ontothenextone
973019027265204225,2018-03-12 02:13:08, https://t.co/qLDK09EA1S
972968354855161857,2018-03-11 22:51:47,Started slow but we found a way to win this game tonight! #ontothenextone
972337757740851200,2018-03-10 05:06:01, #ontothenextone
971582784593649664,2018-03-08 03:06:01,Way to start the road trip.#ontothenextone
971124017313628160,2018-03-06 20:43:02,"RT @RudysKidsInc: Rudy’s Kids event at the Sacramento Kings game was a success, with Rudy’s blocked shots raising $4,000 for the Sacramento…"
970892069433589762,2018-03-06 05:21:22,Good team win tonight! #ontothenextone https://t.co/N2PsTHynrd
970190145608605696,2018-03-04 06:52:10,RT @SactoKidsHome: .@rudygobert27 of the @utahjazz is in #Sacramento to take on our @SacramentoKings tomorrow and has sponsored our residen…
970181091490279425,2018-03-04 06:16:11,#OnToTheNextOne https://t.co/OL80of3dbV
969835531252121601,2018-03-03 07:23:03,#OnToTheNextOne
967642235553464321,2018-02-25 06:07:41, #ontothenextone
967273982415138817,2018-02-24 05:44:23,Merci Babac ✊ https://t.co/WWjaygyD4z
967104504175894528,2018-02-23 18:30:56,"RT @GautierFrance: Nos gagnants sont arrivés chez @rudygobert27  pour un bon goûter at home! Dans qqes heures, game time vs Portland! #GoJa…"
965062731647733760,2018-02-18 03:17:39,Its ova 
965059860051116034,2018-02-18 03:06:15,Over 3 kids!!! #50
964012183003672576,2018-02-15 05:43:09,Great vibes! #ontothenextone
963576086507413504,2018-02-14 00:50:16,"RT @GautierFrance: Pour la 5ème année consécutive, 2 jeunes partiront découvrir la #NBA et rencontrer @rudygobert27 à Salt Lake City. Flori…"
963535645179129856,2018-02-13 22:09:34,Pass the ball https://t.co/P9zcYLg2Pp
963279955936161793,2018-02-13 05:13:33,Big TEAM win tonight! @dfavors14 way to play down the stretch! #OnToTheNextOne
962911875225739264,2018-02-12 04:50:55,"I don't know. But we are used to this.
Anyway Great win tonight! #ontothenextone https://t.co/L1L2Tgo2cP"
962206317183037440,2018-02-10 06:07:17,#ontothenextone
961723388879253504,2018-02-08 22:08:18,"Welcome to Utah!!! @CJC9BOSS 
#Defense"
961445927373475840,2018-02-08 03:45:46,Never easy to win in Memphis. Way to grind it out and get the win tonight. #ontothenextone
961090354597507072,2018-02-07 04:12:51,Damn man... @kporzee come back stronger bro.
960728077155422208,2018-02-06 04:13:17,Defense travels. #ontothenextone
960727768207159297,2018-02-06 04:12:04,"RT @statmuse: The Utah Jazz since Rudy Gobert's return

10.9 net rating (1st in league)
50.5% shooting (2nd)
7-2 record (2nd) https://t.co/…"
960253533370142720,2018-02-04 20:47:37,"He got just the right quantity of hair on @Joeingles7 's head, almost too realistic. https://t.co/9RWzJ3D363"
960011727265042433,2018-02-04 04:46:46,Long night but we got the job done. #ontothenextone
959879104203018240,2018-02-03 19:59:46,RT @D_Schweinhagen: @spidadmitchell @Joeingles7 @rudygobert27 seriously need a big player to retweet are that big https://t.co/KH2bgSA7pZ
959696487176323072,2018-02-03 07:54:07,Slowing us down  https://t.co/vRhEQtOq8L
959650694960619520,2018-02-03 04:52:09,. #ontothenextone
959172468383498240,2018-02-01 21:11:51,#AnotherOne https://t.co/Jnshg92dAq
959169287775666176,2018-02-01 20:59:13,"RT @utahjazz: ""Magnifique. Marvelous. Merci.""

Hard work #LIVESHERE @VivintHome https://t.co/LhGQ3TiXdk"
959151082550173697,2018-02-01 19:46:52,
958564368425410560,2018-01-31 04:55:29,"RT @statmuse: The Utah Jazz have the league's best defense since Rudy Gobert's return.

Jazz—103.4 DRtg
Spurs—103.6 DRtg
Heat—103.7 DRtg ht…"
958561424673988608,2018-01-31 04:43:47,Big team win tonight . #ontothenextone #wefocused
958124998270509056,2018-01-29 23:49:35,Seems like you were 40 already https://t.co/LchEKxsf8w
957139281524482048,2018-01-27 06:32:42,Come back stronger @boogiecousins ✊.
957100308223680512,2018-01-27 03:57:50,@spidadmitchell @rickyrubio9  https://t.co/64jKccylld
957093212883058688,2018-01-27 03:29:38,Big win on the road! #cojones #ontothenextone
956361767713738752,2018-01-25 03:03:08,It wasn't pretty but we had to get that one.  Let's keep getting better! #ontothenextone
954601629503733760,2018-01-20 06:28:58,Didn't get the Win tonight but so good to be back out there with my brothers! #ontothenextone
953380225949188096,2018-01-16 21:35:33,"Sometimes i wish we had that hockey rule, too many guys acting tough for the TV. That wouldn't happen."
952018440411385856,2018-01-13 03:24:18,Do you know what it means to have Dreams? To actually have to work for something? Does the fact that i left France… https://t.co/kQ3UIiG211
951326065837961216,2018-01-11 05:33:03,RT @spidadmitchell: EKPE UDOH #NBAVOTE
951300987851026435,2018-01-11 03:53:24,That one feels good...can't wait to be back. #ontothenextone
950141352859373568,2018-01-07 23:05:25,
949514542790381569,2018-01-06 05:34:42,We will be fine
947940421941858304,2018-01-01 21:19:43,"Très bonne année à tous! Santé, bonheur et succès! Toujours viser plus haut. ✊"
947312071917445120,2017-12-31 03:42:52,Great win to end the year fellas !!! #ontothenextyear
945885637814767617,2017-12-27 05:14:44,"Tough one tonight, but we have another one tomorrow, let's get it. #ontothenextone"
945112994517630976,2017-12-25 02:04:31,"Joyeux Noël à toutes et à tous! Appréciez les moments simples, seul ou en famille! "
943253973250859009,2017-12-19 22:57:26,"RT @utahjazz: A tribute to our fans, our community, and our state. 

Nike City Edition coming 12/27/17.

#TakeNote https://t.co/cCZWdX97IN"
941865936725868544,2017-12-16 03:01:52,Big win fellas! Way to grind it out ✊
941475335811592192,2017-12-15 01:09:46,But... i tought that the people had a choice 🤔🤔 #netneutrality #theillusionofachoice https://t.co/jA0haHiGRQ
941035518950825986,2017-12-13 20:02:05,"Pour tous ceux qui cherchaient mon maillot (pas facile à trouver en France je sais), il est disponible ici !… https://t.co/njTpKhx9xf"
940367055605215233,2017-12-11 23:45:51,"RT @utahjazz: Spreading some Holiday cheer up at @primarychildren's Hospital with the crew!! 

#ThisIsWhyWePlay #TakeNote https://t.co/MmO…"
939989689934651392,2017-12-10 22:46:20,Happy holidays everyone! My friends at @DestinyTheGame and I are going to give away some #Destiny2 and basketball g… https://t.co/kzbZUeB7Ri
938894696914419712,2017-12-07 22:15:14,Excited to announce the launch of my own charity called Rudy's Kids! Follow @RudysFoundation for more information.… https://t.co/CPkrXusBck
938471399173251072,2017-12-06 18:13:12,R.I.P Johnny Hallyday ✊
937909359220105216,2017-12-05 04:59:51, Great to back. #ontothenextone
937195242649927680,2017-12-03 05:42:12,@JonasJerebko 
937122551737696256,2017-12-03 00:53:21,@francis_ngannou  https://t.co/ncU8MBvRD6
936818573091020800,2017-12-02 04:45:27,Someone wasn't very happy about that rookie of the month #takefnnote
936666558419550209,2017-12-01 18:41:24,@SInow  https://t.co/hc7tnP67Xv
935750565925179392,2017-11-29 06:01:34,Say hello to my little friend @dfavors14 ! Big game and big win tonight! #OnToTheNextOne https://t.co/Zkbl2PuRgt
935615821837099008,2017-11-28 21:06:09,"RT @EvanFourmizz:  Nouveau centre @Hoops_Factory  officiellement ouvert à LILLE !!! Les Nordistes, les Belges et tous les autres on vous a…"
935274331055075328,2017-11-27 22:29:11,Les médias vont enfin porter attention au génocide qui a lieu en ce moment même  https://t.co/1VMYSGwg5K
935273137620508672,2017-11-27 22:24:27, https://t.co/rqUGnBwA0m
934651493482770432,2017-11-26 05:14:15,Another Great team win tonight! Let's keep getting better. #OnToTheNextOne
934281098330234880,2017-11-25 04:42:26,@Enes_Kanter is that a quote from a broadway show? https://t.co/5BWGVoz9Ug
934172060611256320,2017-11-24 21:29:09,Bonne première victoire!! @FRABasketball  #ontothenextone
933073863717425152,2017-11-21 20:45:19, https://t.co/0lDKxSehAE
932075150794809345,2017-11-19 02:36:47,Big team win tonight! Let's keep that same mindset. #OnToTheNextOne
931266797931769857,2017-11-16 21:04:41,Yes i got scared when i saw your bold head... https://t.co/H980fQJSGA
931235514279235584,2017-11-16 19:00:22,"RT @wojespn: Utah Jazz's @rudygobert27 on his long journey to becoming an All-NBA center, post-Gordon Hayward era, French national team and…"
929818689917947904,2017-11-12 21:10:25,
929506231449825280,2017-11-12 00:28:49,The celebration is better than the shot ✊ https://t.co/KEysAwOZ6G
929424458846056448,2017-11-11 19:03:53,Numero 10. @teddyriner ✊
929222622734192641,2017-11-11 05:41:52,Dove for the ball right... https://t.co/0xnXZVy2eG
928137234213040128,2017-11-08 05:48:55,Another loss. We will figure out how to defend and play together #ontothenextone
927644612000235520,2017-11-06 21:11:24,🤷‍♂️
927040683889659904,2017-11-05 05:11:37,GSP !!
925943426910117889,2017-11-02 04:31:30, Big team win tonight! #ontothenextone https://t.co/NzSNi9RTd3
925219944849031168,2017-10-31 04:36:39, #takenote #ontothenextone
924757133400223744,2017-10-29 21:57:36,"Et un joyeux anniversaire à mon grand @EvanFourmizz , de moins en moins de cheveux sur le crane mais de plus en plus de buckets ✊. #realone"
924499163269644288,2017-10-29 04:52:31,"Good win at home , let's build on that."
923069025596215296,2017-10-25 06:09:40,#ontothenextone
921971237408014336,2017-10-22 05:27:27,Thanks for inspiring us with your fight and positivity  #JPstrong https://t.co/sqa9mMz8cx
921945427246702593,2017-10-22 03:44:53,Another great team win at home . #takenote #imissshootingfreethrows
920861973662785537,2017-10-19 03:59:37,Big team win to start off the season.  #TakeNote
920484214297935873,2017-10-18 02:58:33,Hate to see @gordonhayward go down like that. I know he will be back stronger and wish him the best recovery possible.
920444259521589249,2017-10-18 00:19:47,Damn...
920398547312185344,2017-10-17 21:18:08,Je suis fier de toi... https://t.co/KOCcSiw3p6
920027358198882306,2017-10-16 20:43:10,Go to practice mode https://t.co/rTyxKbu49I
919064052847951873,2017-10-14 04:55:20,@JoelEmbiid @youngwhiteside  https://t.co/2hUs24GkFI
918255101554208768,2017-10-11 23:20:51,Get your timing right! #SuperRudyBlock https://t.co/qlPr6VqApC
917994045779083265,2017-10-11 06:03:30,Good win tonight to end our preseason. Still a lot of work to do but excited about this year! #theywill #takenote
917066877339189248,2017-10-08 16:39:16, https://t.co/pJFv3YOWA5
916530841043341312,2017-10-07 05:09:15,"Devastated for @daanteee ... who worked very hard this summer and was ready for a big year, come back stronger brother."
915707655393443840,2017-10-04 22:38:12,They didn't consider me a top 26 pick either 🤷‍♂️ https://t.co/xkFnIGKm0h
915414859092598784,2017-10-04 03:14:44,Best fans in the world? https://t.co/I9fYXsTE2N
915329156887355392,2017-10-03 21:34:11,✊ https://t.co/83S3EP9P2D
914944460391292928,2017-10-02 20:05:32,RT @utahjazz: Join us from start to finish on the creation of the @RudyGobert27 mannequin. https://t.co/E2itM9tkTp
914928539761131520,2017-10-02 19:02:17,"All my thoughts go to the people affected by this attack, humanity is in a tough place right now but we will overcome this."
913807438037389312,2017-09-29 16:47:25,From unexpected to unstoppable. #NIKExNBA https://t.co/N8uUB4Cype
913608808877875201,2017-09-29 03:38:08,These challenges are getting dumber and dumber
913254877488234496,2017-09-28 04:11:44,Rip Hugh Hefner ✊
913180389702647809,2017-09-27 23:15:45,She hit him with the @35_Fitz cut ✂️ https://t.co/CQEi2EnIW1
912504298621124608,2017-09-26 02:29:12,RT @utahjazz: We’re ready! #NBAMediaDay https://t.co/4oaLMzlY8y
910666985930866689,2017-09-21 00:48:23,RT @utahjazz: Bonjour!   Here at the French Immersion Assembly at Foxboro Elementary with @rudygobert27 https://t.co/DBkjH2sGXT
910650052548239360,2017-09-20 23:41:06,RT @utahjazz: @jazzteamstore @jjpgibson We will also have #JPStrong  shirts available as the item of the game vs. Phoenix on 10/6. https:/…
909522717061242881,2017-09-17 21:01:28,Congrats to coach Igor for helping Slovenia win Eurobasket. Great work !
909505923088916480,2017-09-17 19:54:44,I don't know if he is skilled enough 🤔 https://t.co/5rcX1iB7Lq
