id,created_at,text
977381861247811584,2018-03-24 03:09:29,My foundation @WhyNotFdn is having a spring cleaning sale. Stop by tomorrow @ 10am to buy t-shirts from our past ev… https://t.co/70Zw1vKwb7
975047465635319809,2018-03-17 16:33:25,"INNER CITY. 
@honorthegiftco 
#whynot https://t.co/jqAPloYBpr"
974363114962653184,2018-03-15 19:14:04,The Russell's Reading Room at Thelma Parks Elementary in OKC is officially open &amp; we announced 9 more opening in OK… https://t.co/GGGQLj7nEi
974032661097349120,2018-03-14 21:20:57,My partner @MountainDew is giving away some courtside playoff seats for y'all in the #CourtSidekickContest.  You'll… https://t.co/jlPIrv8oL9
973758670625562624,2018-03-14 03:12:13,ALL THANKS TO THE MAN ABOVE! Extremely blessed to go out every night and do something I love. WHY NOT? 🤷‍♂️… https://t.co/usyJoJfdnN
973249568480661504,2018-03-12 17:29:13,I will continue to honor my brother and friend in everything that I do! LOVE YOU BRO! RIP KB3… https://t.co/UF066tARLb
968869169142870016,2018-02-28 15:23:05,"My pops, the OG, taught me well...the #WhyNot Zer0.1 “Cotton Shot” is available now @jumpman23 IN ALL SIZES!!!… https://t.co/izg8WAxzhD"
966410508441194496,2018-02-21 20:33:14,Blessed and honored to be a part of the NikeEYBL circuit!!! #whynot TeamWhyNot? @teamwhynot https://t.co/DNz7gvX0nj
965701946974732288,2018-02-19 21:37:40, https://t.co/8Vk61P39OT
965701896039051264,2018-02-19 21:37:28, https://t.co/AF9VCE6kHq
964981397633945601,2018-02-17 21:54:28,"#INNERCITY 
Los Angeles Pop-Up
2:00-6:00 PM 
801 Mateo St. 
TODAY!!! https://t.co/xYPiENVoXJ"
964648575199145984,2018-02-16 23:51:57,LA! I’ll be at @mountaindew’s Courtside Studios this weekend. Corner of Pico &amp; Figueroa tomorrow at 3:30 PM come ch… https://t.co/UhQI2oWiP8
964548359594827776,2018-02-16 17:13:44,PULLLL UP!!!!!! https://t.co/Fei9BkmF9L
964157782189584384,2018-02-15 15:21:43,SNKRS app has both in a 15 #whynot https://t.co/Lm4xuO1aTU
964156948991168512,2018-02-15 15:18:24, https://t.co/W4nywNpq9u
964156808209338369,2018-02-15 15:17:50,#WhyNot 🤷‍♂️ https://t.co/EDL6zGEUOo
964156147778359301,2018-02-15 15:15:13,For my city! The #WhyNot Zer0.1 City of Flight &amp; 2-Way are available right now KIDS SIZES TOO!!! @jumpman23 🤷‍♂️ https://t.co/D2xWsbEUV5
963441077851164673,2018-02-13 15:53:47,INNER CITY COLLECTION! @honorthegiftco https://t.co/Bp0gcRY9EG
963164682629545984,2018-02-12 21:35:29,The 2-Way is comin’ for All-Star Weekend. #WhyNot @Jumpman23 https://t.co/WzYyyKy0HR
961390119277219841,2018-02-08 00:04:00,"It’s all about the recovery, that’s why I’m proud to partner with @SixStarPro https://t.co/lp66TQUi7W #whynot"
961328972293443589,2018-02-07 20:01:02,#Whynot is a mindset and fashion is a lifestyle. Go cop that WHY NOT? apparel now!!! https://t.co/OrZmlgtMuA… https://t.co/Znsr5QbOdu
959125189152968705,2018-02-01 18:03:59,#WhyNot X @jumpman23 🤷‍♂️ Available now on https://t.co/NbslejPAFE!!!! https://t.co/L9nGJc89u6 https://t.co/GnJcLaQt0X
957504138149089280,2018-01-28 06:42:30,Constant praying for my brother @flydre21 
954179941012332545,2018-01-19 02:33:20,Hey I am live on the @SixStarPro account...ask my anything! #SixStarxWestbrook #whynot
952926452483313665,2018-01-15 15:32:25, #whynot 🤷‍♂️ https://t.co/q5YBzCynvZ
952925342129360897,2018-01-15 15:28:00, #whynot https://t.co/d8e2nWZpQJ
952924092998602752,2018-01-15 15:23:02,@hstevens33 @Jumpman23 Niceeee!!!! #whynot
952921857711378438,2018-01-15 15:14:09,"""The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at… https://t.co/YyE32KKkDH"
952911662167789569,2018-01-15 14:33:39,"My shoe drops in 30 minutes, who is trying to get this colorway? @Jumpman23 #whynot https://t.co/3zr6ikJsit"
952357313775415296,2018-01-14 01:50:52,OKC!!!! I am going to be @BNMayAve from 4-6pm tomorrow signing copies of my book! Come thru!!!!! #StyleDrivers… https://t.co/PzOwrZJewZ
949414574733668352,2018-01-05 22:57:28,#whynot https://t.co/bfUK4ZvzKq
