id,created_at,text
987348713185083392,2018-04-20 15:14:11,Thanks @nikebasketball   The air Limpified  3 &amp; 4 coming to a nursing home near you soon   Straight  https://t.co/ctHxaCVPwB
985893636528332800,2018-04-16 14:52:14,"RT @FORTYONEmagazin: »Nenn mich Moritz« - Moritz Wagner schreibt auf FORTYONE über seine Anfänge, seine Pläne und darüber, was das alles mi…"
984572270545907712,2018-04-12 23:21:36,Who is up for some baseball again this year???? Game is June 8th. Get your tickets now!!!! More infos to follow! https://t.co/cjRLxmVAiv
983084282192257024,2018-04-08 20:48:52,Let’s go!!! @JordanSpieth
980234030212841473,2018-04-01 00:02:59,I see you @moritz_weasley
980189101294084096,2018-03-31 21:04:27,"RT @MLS: AMAZING.

#zLAtan
#LAvLAFC https://t.co/xyk78K6xSr"
980135465021005825,2018-03-31 17:31:19,RT @dallasmavs: Congrats to @RealJasonKidd  &amp; @SteveNash on making the 2018 Naismith Memorial Basketball Hall of Fame class of 2018! #18Hoo…
978291597526872064,2018-03-26 15:24:27,https://t.co/o8hvFMpD8K
974708258572308480,2018-03-16 18:05:32,Great career my man. Congrats. https://t.co/RU4FnCNQpX
973759903411113984,2018-03-14 03:17:07,"RT @HeroesCelebrity: Save the date.  Friday, June 8th for @swish41 2018 Heroes Celebrity Baseball Game"
971872178013659136,2018-03-08 22:15:58,RT @MFollowill: This is going to be outstanding. Tell your friends and set your DVRs for the premiere of the Defining Moments of Dirk at 6p…
971034826785656833,2018-03-06 14:48:38," Wichtiger Aufruf,@matshummels ! Wir können etwas verändern! #Stop10seconds https://t.co/RSbCw5PLtY"
965058742210326528,2018-02-18 03:01:48,50!
964930021977595905,2018-02-17 18:30:19,Good luck tonight my man @Dennis1SmithJr    Lets do this. Mix in a few makes
964620731869904896,2018-02-16 22:01:18,https://t.co/fCYbK0eTxQ
964525601913585664,2018-02-16 15:43:18,Hey Dallas! @WhichWich is giving you and 3 friends a chance to take me on. Go to https://t.co/mLk4wjo5Zy for info o… https://t.co/Z2Ovsug0VO
964199390507278337,2018-02-15 18:07:03,So sad. Legend. RIP https://t.co/xf0tmsz3L7
963823929696620544,2018-02-14 17:15:06,Year 20 and still playing above the rim...... https://t.co/94xQ2utyIN
959237336381898752,2018-02-02 01:29:37,RT @NBAAllStar: Representing the @dallasmavs in the #VerizonDUNK at #StateFarmSaturday... @Dennis1SmithJr! https://t.co/LPunXFcQL3
957639322886393856,2018-01-28 15:39:41,"Congrats @rogerfederer   Amazing. 
#RF20"
955979532166680576,2018-01-24 01:44:16,Congrats @KingJames. Welcome to the club!!!
951494287262408713,2018-01-11 16:41:30,Look forward to meeting the next winner! https://t.co/OkHe82KmjE
951494118852702211,2018-01-11 16:40:50,Thanks @whichwich for supporting my foundation. https://t.co/hagjx48Pb6
950052395920314368,2018-01-07 17:11:56,Congrats @D_Harp_12! Well deserved! https://t.co/NJwn27IabV
941867770760826880,2017-12-16 03:09:10,This game....
938074513874604032,2017-12-05 15:56:07,Very aggressive from papa smurf... https://t.co/vADwbwVz4h
932298377420779521,2017-11-19 17:23:49,"RT @dallasmavs: Love you, @jasonterry31!  https://t.co/qUcYhdPQOf"
930127904968708096,2017-11-13 17:39:08,RT @whichwich: DFW @swish41 @dallasmavs fans: you can win an unforgettable #DayWithDirk! Visit Which Wich &amp; snap a photo by 11/27 to enter.…
927610063916883970,2017-11-06 18:54:08,"RT @NBA: From #InsideStuff, we hit the court for charity with @swish41 at his celebrity tennis tournament in support of Hurricane relief ef…"
924863711088541697,2017-10-30 05:01:06,Are you serious?????
923625135642378246,2017-10-26 18:59:27,That’s awesome!! https://t.co/qGMbgqhUGK
