id,created_at,text
986364690505744384,2018-04-17 22:04:02,"Encore un coup de vieux pour moi, que de voir partir une légende du rugby francais de ma génération. À bientôt pour… https://t.co/B0lyYfVadI"
986357690673774592,2018-04-17 21:36:13,Content de ramener la victoire de Lyon dans cette dernière ligne droite de fin de saison. Merci à tous pour vos mes… https://t.co/H2ZG0z39zH
986164136773148672,2018-04-17 08:47:06,"THANK YOU for all the birthday messages. 36 and counting...

#birthday #feelold #whatelse… https://t.co/oAkr1aed9S"
985958786878722048,2018-04-16 19:11:07,@Nba_nat_france Merci
985958759787737088,2018-04-16 19:11:01,@PierrickGirault @FRABasketball Merci
985958730360475648,2018-04-16 19:10:54,@OnliacS Merci
985952171333074944,2018-04-16 18:44:50,@AntCrouzet Merci
985951971675811840,2018-04-16 18:44:02,@VincentBacha Merci
985951534432174080,2018-04-16 18:42:18,@Aurellimoge Merci. Ça marche
985951503172026371,2018-04-16 18:42:11,@FRASpurs Merci
985951409035071488,2018-04-16 18:41:48,@JeanMichel228 Tout ça ? Merci
985951370254495744,2018-04-16 18:41:39,@aurore_and_co Merci
985951330995875840,2018-04-16 18:41:30,@Fred_Tempier Merci fred
985951278697070592,2018-04-16 18:41:17,@LevalloisMetro Merci à vous ! #GoLM
985951204172681216,2018-04-16 18:40:59,@flopietrus Merci flo !
985951172405051392,2018-04-16 18:40:52,@jordunmiaw Thanks !
985951128012509184,2018-04-16 18:40:41,@NandoDeColo Merci Nando
985951054935220224,2018-04-16 18:40:24,@BigBangsFrance Ahah merci
985950995657113600,2018-04-16 18:40:10,@sergiotex72 Gracias
985950963704868864,2018-04-16 18:40:02,@mephisto1954 Merci
985950938992074752,2018-04-16 18:39:56,@EuroBasket @FRABasketball Thanks
985950466025467904,2018-04-16 18:38:03,@ChrisHaas Thanks
985950343837052928,2018-04-16 18:37:34,@LeBryantNBA Merci
985950318511833088,2018-04-16 18:37:28,@HornetsFR Merci
985950287725707264,2018-04-16 18:37:21,@SimplyJE Thanks
985950258193563649,2018-04-16 18:37:14,@otine64 Merci
985950230574067712,2018-04-16 18:37:07,@frenchbasketco Merci
985950214606307328,2018-04-16 18:37:03,@Ly_ch_ar Merci
985950189914435584,2018-04-16 18:36:58,@thebwbw Thanks
985950151867944960,2018-04-16 18:36:48,@SandyJordan11 Thanks
985950127675260928,2018-04-16 18:36:43,@SportITood @Nespresso @48MinutesOfHell @nicestnick @AnthonyLegarda @scHoolboyRivas @UtahJazzFanboy @SunsNationNBA @steventhesnfan Thanks
985950070687150080,2018-04-16 18:36:29,@basketlemag Merci
985950047538896896,2018-04-16 18:36:24,@SpursFanClubNYC Merci
985950022486310912,2018-04-16 18:36:18,@OuazanaA Merci
985949663382593536,2018-04-16 18:34:52,@mameight @dicodusport @Nba_nat_france @nbaextra_nation @NBA2k_Fr @X2thaV @LevalloisMetro @EspritBasket… https://t.co/kfVay64TIi
985949583237726208,2018-04-16 18:34:33,@ClaudioM96_ Merci
985949544608284672,2018-04-16 18:34:24,@jeanmarie971 Merci
985949501193052160,2018-04-16 18:34:13,@AirRusher Thanks !
985241426794397697,2018-04-14 19:40:35,@andrewcbutler1 even if wine is better ! 
985241088829964288,2018-04-14 19:39:15,@tiagosplitter @Patty_Mills Or at least tell us where Manu hides it ! 
985205725008773120,2018-04-14 17:18:43,@nachomiranda14 @tiagosplitter @manuginobili And I will !
