id,created_at,text
987489634606239744,2018-04-21 00:34:10, Rogerio está de parabéns!! Precisamos de mais pessoas como ele e ninguém para nossa basquete!   https://t.co/F2UEf7Hkum
987108772794396672,2018-04-19 23:20:45,@JoaquimOresko @lcportinho @KingJames @Cavsbrasil @Bulgarelli1971 @balanacesta @romulomendonca @camisa_23 @Le_BR_on… https://t.co/fJ9m7EIZjk
986769513373822977,2018-04-19 00:52:39,My condolences and prayers to Pop’s family! Rest In Peace Erin. 
986369593579991040,2018-04-17 22:23:31,Muito força leke! https://t.co/enXE7jaBmV
986077147650449408,2018-04-17 03:01:27,Fora de série! https://t.co/etvGAUFyqT
985639550302142464,2018-04-15 22:02:35,Big time W for Indy if they close this one... Vitoria importante pro Pacers !(se nada estranho acontecer nesse finalzinho)
985631079938768896,2018-04-15 21:28:56,Outra dica : não faça falta no arremesso! Regra dos times q defendem bem!! Poucas faltas e menos ainda no ato do arremesso!!!
985611976955981824,2018-04-15 20:13:01,"Ainda não , tá no carvão ainda https://t.co/Es3BdYFvJq"
985611575623954432,2018-04-15 20:11:26,"@balanacesta Liguei agora, tava fazendo o fogo do churrasquin"
985611473131945985,2018-04-15 20:11:01,Let’s go with Indiana vs Cleveland now
985605991566725120,2018-04-15 19:49:14,Jason Tatum is gooood ! what a rookie class this season...
985603772012347392,2018-04-15 19:40:25,Ladies and gentlemen!! More basketball!!
985603582383742976,2018-04-15 19:39:40,It is!!!! OT!!!
985603403211358208,2018-04-15 19:38:57,Shit!! On time?
985603345074110464,2018-04-15 19:38:43,.5  quick catch and shoot?
985603203889750016,2018-04-15 19:38:10,Rozier lll for lll !! 
985602483178192896,2018-04-15 19:35:18,Reigning rookie clutch with the 
985601365421404161,2018-04-15 19:30:51,My man Al Horford!!
985600232766386176,2018-04-15 19:26:21,Boston x Milwaukee 
985348590682828800,2018-04-15 02:46:25,Marcooooooo!!! @marcobelinelli https://t.co/WcTfwr05Bc
985308693867577346,2018-04-15 00:07:53,"Bom jogo do Lucas, intimidou, bloqueou e fez as jogadas certas. Vamos ver se ganha mais playing time no próximo jogo."
985305101446234112,2018-04-14 23:53:36,Lucas Nogueira jogando os momentos quentes do jogo!! 
985297552487493633,2018-04-14 23:23:37,Nem tudo eh enterrada e bola de três... outras coisas são importantes
985297353820155904,2018-04-14 23:22:49,"E aí mulekada q tá vendo jogo em casa, vc quer aprender como fazer um bloqueio no pic&amp;roll? Da uma olhada nos bloqu… https://t.co/lzQf7STBKS"
985287249234309120,2018-04-14 22:42:40,What about the second game of the day ? Who you got? E esse Toronto vs Washington? Quem leva?
985257918462177280,2018-04-14 20:46:07,@BauruBasket Muita força Brabo! 
985245976997707778,2018-04-14 19:58:40,"@theborisdiaw @Patty_Mills They playing right now, let’s check where the #grampajuice https://t.co/YHz2Et8Vke"
985233737024589825,2018-04-14 19:10:02,Who you got? Quem leva?
985233545575542784,2018-04-14 19:09:16,"Who’s is watching the @nba playoffs? Tune in!
Quem ta vendo os playoffs da @NBABrasil ? Se liga!"
985201563441381376,2018-04-14 17:02:11,"@Patty_Mills should have more intel ... Bala, tell us where to find #grampajuice ? https://t.co/ZFVD2buhYC"
985194117532549120,2018-04-14 16:32:36,"Well, @manuginobili keep dunking the ball and we haven’t heard anything from you! https://t.co/wn0NTqB1L0"
984947189049774080,2018-04-14 00:11:23,Pra quem não viu ainda! 🤙 https://t.co/dehv2dMmn1
984675291598487558,2018-04-13 06:10:58,@LeoDodici Me manda dm
984675181086953472,2018-04-13 06:10:32,@caiomaia Muito bom jogador!!
984605321015345155,2018-04-13 01:32:56,Q jogo em Salvador!!!
984553983447449600,2018-04-12 22:08:56,Three throw https://t.co/fBT4NC8Ivy
984548257836679168,2018-04-12 21:46:11,@NBAcoaching Same ✋
984525572226269184,2018-04-12 20:16:02,@luka7doncic Good luck Luka!
984264645140606976,2018-04-12 02:59:12,"Concordo, mas a hype foi a galera q colocou... pra ser um time ganhador leva tempo... https://t.co/zBY1yTH9Kn"
984261518639316992,2018-04-12 02:46:47,Depois de 13 anos o Timberwolves tá  de volta nos playoffs!!
984260060799889408,2018-04-12 02:40:59,Quem não gosta de basquete deve ser pq nunca viu um jogo desses... não tem como não gostar!
984258998315532288,2018-04-12 02:36:46,"Gibson mandou o jokic pra mão esquerda dele, boa defesa"
984257831124680705,2018-04-12 02:32:08,1:08 nuggets 106 x 107 wolves
984255647423201281,2018-04-12 02:23:27,OT !!!! 5 more min!!!
984254401937268737,2018-04-12 02:18:30,Bola em quem agora? Murray ou Joker?
984253400253530112,2018-04-12 02:14:31,Da a bola pro Joker!
984252887273357313,2018-04-12 02:12:29,Who is watching? Quem tá vendo? https://t.co/2dVzuY0NhK
984252762136330241,2018-04-12 02:11:59,Nuggets vs Wolves 
984177469778313216,2018-04-11 21:12:48,@UOLEsporte ????
983957774047444992,2018-04-11 06:39:49,Congrats to all! Had the pleasure to see them during preseason! Great group of guys! https://t.co/6GzYF6EChA
983923410550927360,2018-04-11 04:23:16,"RT @rodrigo77alves: Ah, basquete nacional é chato, não tem graça, não tem qualidade, não tem

Isso aí, amiguinho, não vê @NBB não!

Só…"
983922121620406273,2018-04-11 04:18:08,"A couple of weeks ago was Paulinho Boracini , today was Duda turn  https://t.co/lrBQV53JdY"
983542365141876737,2018-04-10 03:09:07,@JokicNikola15 is the typical guy that will not impress you on an individual work out... but... put him on a 5x5 is… https://t.co/sRcYqULOyd
983535817061625856,2018-04-10 02:43:06,@Patty_Mills ☔️
983535590061686784,2018-04-10 02:42:12,@manuginobili 
983150369311084544,2018-04-09 01:11:28,@ThalesSheen Respeito sua opinião
983095658503536640,2018-04-08 21:34:04,Essa não eh a questão ... são as formas! https://t.co/A1XjWGz2yR
983092231497179136,2018-04-08 21:20:27,🥇
983082083139534848,2018-04-08 20:40:08,"Na dúvida, decide no vídeo! Simples #ficaadica"
983081393797324801,2018-04-08 20:37:23,"Vendo a final do Paulista... gente, ninguém sente vergonha vendo os jogadores atrás do juiz dessa forma? Soh eu ten… https://t.co/p34HB7Mxb4"
983065624187363328,2018-04-08 19:34:43,Tauren Prince has improved a lot! Great job! Also s/o to the Hawks Staff!
983050065827643392,2018-04-08 18:32:54,"RT @aakkari: Se o Corinthians ganhar hoje ele se consagra como o maior clube do Brasil disparado, se perder também!"
982726463727136768,2018-04-07 21:07:01,"Sonhos não são desejos, desejos são intenções superficiais, enquanto sonhos são projetos de vida.
#AugustoCury #ficaadica"
982717497521688577,2018-04-07 20:31:24,@joaocaetanoblu Kkkk
982686670112800768,2018-04-07 18:28:54,@igormateus12 Desculpa aí
982686568753197056,2018-04-07 18:28:30,Se da pra comparar fala quem vc acha melhor https://t.co/qBuG4xUS61
982684043404705792,2018-04-07 18:18:27,Você acha Lebron comparável ao Jordan?
982087063263571968,2018-04-06 02:46:16,Congrats !!!! https://t.co/sCMtn9HiSn
982083501380927488,2018-04-06 02:32:07,"Pode ser, mas gosto muito do garoto do Jazz, sou fan https://t.co/68S7rwgSEa"
982082712209993728,2018-04-06 02:28:59, https://t.co/5oQ9Loi594
982081725030268928,2018-04-06 02:25:04,Pra mim tem q rachar esse troféu aí https://t.co/FIRaSR0K1C
982081162695786496,2018-04-06 02:22:50,Calouro vai pra quem @balanacesta esse ano?
982080548070866945,2018-04-06 02:20:23, https://t.co/6jOD1Jkhbz
982078475791028224,2018-04-06 02:12:09,🥄 https://t.co/CDZZRHT05h
982060549805563904,2018-04-06 01:00:55,Bora treinar! Gratidão 
982058102324281344,2018-04-06 00:51:12,Thanks guys!! Take care and see you next time!
982058020120113152,2018-04-06 00:50:52,"valeu pessoal!! Vou nessa , outro dia tem mais ... abraco fui!!"
982057587599265793,2018-04-06 00:49:09,Matt Bonner https://t.co/POOhiSbRsG
982057369428307968,2018-04-06 00:48:17,"Oscar, Pipoka, Marcel, Rogerio... https://t.co/Mm9jDgW7RL"
