id,created_at,text
983694973517418497,2018-04-10 13:15:32,"Amazing Broadway Musical! Time for Playoffs now, 17 in a row!!! 
#WifeyDateNoKids #SpursFamily 
@MeanGirlsBway… https://t.co/df5tcRmupq"
982956231311716353,2018-04-08 12:20:02,Félicitations @TonyYoka  https://t.co/dvuoB2mkgG
980917827740815360,2018-04-02 21:20:09,"RT @NBA: Congrats to @tonyparker of the @spurs for moving up to 19th on the NBA’s ALL-TIME ASSISTS list! 

#GoSpursGo #ThisIsWhyWePlay http…"
980236281518215168,2018-04-01 00:11:56,#FinalFour #AlmaMater @LoyolaChicago  https://t.co/lBWyLMP5l5
979812704767610881,2018-03-30 20:08:47,YAAASS https://t.co/2aJv8J9srb
977920485509029888,2018-03-25 14:49:47,"Super moment avec Elodie et Sylvain, les deux gagnants du jeu concours avec @Puressentiel! 
#PurChampions https://t.co/smYOH1IMYT"
977920413530509314,2018-03-25 14:49:30,"RT @TP_A_A: Dans le cadre de notre partenariat avec le @GroupeAdequat, Céline (Adéquat Toulon) et son client sont actuellement à San Antoni…"
971066562806501376,2018-03-06 16:54:44,"RT @spurs: Bringing some  off the bench

Tony Parker scored a team-high 23 points vs Memphis #GoSpursGo https://t.co/CS455KqYLv"
971065807236141056,2018-03-06 16:51:44,AHAHA old pic @alexisrambur  https://t.co/kmxpT1iJKh
967555272943329281,2018-02-25 00:22:08,"RT @NBAFRANCE: Quand le triple champion #NBA Bruce @Bowen12 revient dans son club d' @ALMEvreux ​ ! 

Il nous parle de son expérience en Fr…"
964494212426272768,2018-02-16 13:38:34,"RT @Puressentiel: Pour les 10 ans du Roller A&amp;M, on vous envoie à San Antonio rencontrer @tonyparker ! Pour partir 5 jours au soleil et ass…"
964469741975982080,2018-02-16 12:01:20,Happy Lunar New Year to all my friends in China ! ⛩  
961701302664335360,2018-02-08 20:40:32,@kmoreland14 @spurs Awesome !
961701172687048704,2018-02-08 20:40:01, https://t.co/dTg3uCdTcX
961697600842985473,2018-02-08 20:25:50, https://t.co/6FlkU6JVX7
961386797644308481,2018-02-07 23:50:48,"RT @spurs: two years ago today. ‍

CC: @selenagomez https://t.co/qCebkDPDSi"
961243035160993793,2018-02-07 14:19:33,"Enjoy the video that we did in #BuenosAires a few month ago, my stay there was fantastic, I really hope to come bac… https://t.co/lJODVQFBlc"
957989548256002049,2018-01-29 14:51:21,"Votez @MakeAWishFrance !
Cette association qui réalise les vœux d'enfants atteints d'affections graves a été pré-sé… https://t.co/4hFxQ1s9W5"
956283452197916675,2018-01-24 21:51:56,RT @spurs: Tony Parker right now... https://t.co/DEnMZUV8xH
955833488644739072,2018-01-23 16:03:56,"Je suis heureux de vous annoncer que je rejoins la team Fruit Shoot France pour encourager les enfants à bouger, à… https://t.co/W2RuFQzlO3"
947819388463349760,2018-01-01 13:18:46,RT @ASVEL_Basket: Nous avons ce soir une très forte pensée pour Fred Forte du @limogescsp
947490804624429058,2017-12-31 15:33:06,"Happy New Year ✨ 
Bonne Année ✨
Feliz Año ✨"
945288739709997056,2017-12-25 13:42:52,"Merry Christmas from my family to yours! Joyeux Noël à tous
#xmas #familytime"
944292252968472576,2017-12-22 19:43:11,#teamwork @manuginobili 🤣 https://t.co/K3wDn5nFA4
943149639980773378,2017-12-19 16:02:51, https://t.co/VHZKtuzeIg
943119874964049920,2017-12-19 14:04:35,Congrat's on your career @kobebryant ! #Ko8e24 #Goat #Mamba
943118538222469121,2017-12-19 13:59:16,"RT @spurs: TP was cookin' tonight 

16 points
7 assists 
2 steals https://t.co/E5k1OtSS3A"
