id,created_at,text
986812977662717953,2018-04-19 03:45:22,I see you @CP3 
986794782797082624,2018-04-19 02:33:04,Praying for the Popovich Family..
986466843299725312,2018-04-18 04:49:57,@RajonRondo
986427839753879553,2018-04-18 02:14:58,"2002 Doggystyle Presents snoopdogg 
#coachella @ Coachella https://t.co/QelrUg0QWw"
983903363652816898,2018-04-11 03:03:36,Love this dude like he’s my Blood  https://t.co/qElFKMFxPF
982184703649202176,2018-04-06 09:14:16,Life is crazy....  So yesterday my Son came home from basketball practice &amp; I asked him how it… https://t.co/Fhl9F9P8dI
979808417161265152,2018-03-30 19:51:45,"Great read, great lesson
https://t.co/EgxJwKmkBv"
976900729729372160,2018-03-22 19:17:38,Nearly HALF of the population in Burundi lacks access to safe drinking water. Let's change that this #WorldWaterDay… https://t.co/MqrzhAl92C
965089372675571712,2018-02-18 05:03:31,My youngin out here settin records!!! #Bookem
965086328873369600,2018-02-18 04:51:25,#BookEm
960353168465870848,2018-02-05 03:23:32,Great great great GAME! Hats off to all the players out there.. both teams gave everything
957446223752970240,2018-01-28 02:52:22,Congratulations @carmeloanthony 25k !!!! Glad I had the honor to lace  em up with you! #respect
957445119510306816,2018-01-28 02:47:59,@FlyDre21 prayers up bro
957160128230207488,2018-01-27 07:55:32,Praying for you @boogiecousins ..
956037475096514560,2018-01-24 05:34:31,@kylekuzma KUZZZZZZZZZ
953136652465000448,2018-01-16 05:27:41,@DevinBook 
948016709704728576,2018-01-02 02:22:51,Shout out to @TurnerSportsEJ !!!
946217040918056961,2017-12-28 03:11:37,It Was all A Dream... https://t.co/RcoTJ5N5vD
911807099675459584,2017-09-24 04:18:47,RT @PlayersTribune: Richard Sherman​ wants to address how the President is dividing the country. https://t.co/lWQhR0ARpZ
908850671054671873,2017-09-16 00:31:00,Vintage High School @vanityfair shoot https://t.co/tcwmg0Twgz
908459482346409984,2017-09-14 22:36:33,Dominguez Dons https://t.co/XyeBVmFKVI
905238271311060992,2017-09-06 01:16:37,Join me in helping kids like Anna realize their dreams! Fill the backpack of a #FutureGenius https://t.co/s74GMot2Lh https://t.co/9oVLkBHiSN
903316519345680384,2017-08-31 18:00:15,"Please support those people affected by the devastation of Hurricane Harvey, by joining me and… https://t.co/ZSkbXncQdh"
888470618848378880,2017-07-21 18:47:57,RT @AndyBarrPT: Controlling lateral trunk movement during dynamic tasks is essential for knee health #protection @tysonchandler @playerstri…
885266124287377408,2017-07-12 22:34:26,"#Repost playerstribune 
・・・
Let the good times roll at The Players' Night Out.
•
: @the1point8 https://t.co/jF7p6Yeu3h"
885218886097842176,2017-07-12 19:26:43,RT @AndyBarrPT: Advanced hamstring stiffness exercise to improve reactivity (elastic potential) required for tasks like sprinting @tysoncha…
883497261711237120,2017-07-08 01:25:36,RT @AndyBarrPT: Fantastic control of the lower back &amp; shoulder when performing this explosive core exercise on the @stott_pilates reformer…
882636037880664064,2017-07-05 16:23:24,"Had a great 4th of July! Sipped on @JohnnieWalkerUS cocktails, how did everyone else celebrate? #FourthofJuly #JohnnieWalker #JohnnieGinger"
878039763361554432,2017-06-22 23:59:27,I love watching these draft stories! Congratulations to all the young men in tonight's draft &amp; the families behind them
876237114639347718,2017-06-18 00:36:22,"Wedding season 
#happilyevergiles https://t.co/ZQgrF7nd1z"
876236336360980480,2017-06-18 00:33:16,"Wedding Season 
#happilyevergiles https://t.co/YvUFZHloGj"
875490015001759744,2017-06-15 23:07:40,Shoutout to @HarmlessHarvest for keeping me hydrated during my workouts https://t.co/cHnsb1mFXK
874079448915750913,2017-06-12 01:42:34,"This Way little Momma
#fleamarket #sundays https://t.co/GbSu7wpxiY"
873257376509558785,2017-06-09 19:15:57,"Congratulations Nephew! 
#graduation https://t.co/oJCDNsXMHQ"
872566183194767367,2017-06-07 21:29:24,What does @KimJChandler &amp; @UNICEFUSA wish for all families? Watch and share. #GlobalMoms #JNJ… https://t.co/ljUD7RRwiC
