id,created_at,text
983245199743823872,2018-04-09 07:28:18,I’m going to miss my “achsheli”. Great teammate even better person.  https://t.co/jaYfZwv5XQ
980514347914063873,2018-04-01 18:36:52,Get well soon young fella. Praying for you  pmccaw0 https://t.co/b02q51R0h0
979920651673788417,2018-03-31 03:17:44,It was an honor to be a part of the opening of Edwin M. Lee Court at the @SalArmySFCTC in Chinatown SF. https://t.co/nOevjL1J12
977073731452440576,2018-03-23 06:45:05,"Another great day with kids at Walt Disney Museum in SF. 
Learning without limits. #becreative https://t.co/IUAfhsUECM"
975252393058275328,2018-03-18 06:07:44,@qcook323 3rd splash brother?🤔 https://t.co/vFEIenluEv
974538549612593152,2018-03-16 06:51:10,Today I had an honor to visit Starr King Elementary to address issues to 80 amazing student… https://t.co/7ZVQ6tRL6d
962581028383723520,2018-02-11 06:56:15,Thanks for bday wishes  https://t.co/w7Y6kF2Xpi
956824758145961984,2018-01-26 09:42:53,"1000th NBA game =1000 pregame naps and 1000 double espressos
#Blessed #Thankful https://t.co/ZeaiVoJ6jj"
956644009283272704,2018-01-25 21:44:40,RT @LeftysSports: Really excited to have @zaza27 in our shop again this weekend! https://t.co/YVxvIQhl1E
955664530595495936,2018-01-23 04:52:34,"What’s up #DubNation ! I’m signing autographs Sunday, January 28th at 5pm over @LeftySports in Burlingame, CA! Get… https://t.co/kPyrBVZ6wz"
951367358949474304,2018-01-11 08:17:08,Congrats to my guy @KDTrey5 for getting in 20k club. More to come 
950970472254132224,2018-01-10 06:00:03,"Had an honor to meet and talk to legend today. 
#DrDre https://t.co/0V7ymnRLE3"
948675890912874497,2018-01-03 22:02:12,"Fun day in San Francisco helping families for holiday shopping. 
#Warriors @warriors @zteusa https://t.co/l8SPwYZvsQ"
944570761649438721,2017-12-23 14:09:53,"It was worthy to wake up this early to see my team kicking butt. Barcaaa⚽️⚽️⚽️
#ElClasico"
943752275377373184,2017-12-21 07:57:31,Thanks to DubNation for welcoming ensemble “Shvidkatsa” and showing love at my bobblehead night. Thanks to… https://t.co/Ed4g1hlbM7
940996165113221120,2017-12-13 17:25:43,Had great time with kids at Fitness Challenge event @BGCA_Clubs of San Francisco. #GoBig https://t.co/t7c267yWxa
940851562963927040,2017-12-13 07:51:07,"Very saddened to hear about @mayoredlee passing. Great person, always positive and big Warriors fan. My condolences… https://t.co/gqZ8lPSUFn"
940768805935919104,2017-12-13 02:22:16,Happy Hanukkah to my ach sheli @Casspi18 and all the Jewish people
939417186430603264,2017-12-09 08:51:25,Great article about hardest working guy I’ve seen that loves his job and wouldn’t trade for anything. Eric Housen … https://t.co/YUKJht28wF
935753793546997761,2017-11-29 06:14:24,"With one of my favorite anchors Neil Everett  and one of the best PR in sports Raymond Ridder✌
#espn #sportcenter… https://t.co/3lEZg0fxei"
933793124903632896,2017-11-23 20:23:24,Happy Thanksgiving America
932731134294790144,2017-11-20 22:03:26,"Took rook @1jordanbell to principal’s office. 
Great meeting lot of NBA league office employees. 
#NBA #Warriors https://t.co/nLNxSYUrcr"
930486952045920256,2017-11-14 17:25:51,"'World's oldest wine' found in 8,000 year old jars in Georgia - https://t.co/8cHE2Yp8iN"
927105135360299008,2017-11-05 09:27:43,"Great trip ✌
#Dubs https://t.co/T3a1wge4Qr"
924047745790361600,2017-10-27 22:58:45,Thanks for having me @ConsumerAttysCA as a guest speaker yesterday at your PAC NIGHT.Had a great time and enjoyed meeting to all the lawyers
